column,feature_block,measurement_level,grain,source_dataset,source_column,model_default_active,notes
campus_seq,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,campus_seq,True,candidate_feature_or_context
campus_branch,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,campus_branch,True,candidate_feature_or_context
credit_forfeit_flag,POLICY,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D02_v2,credit_forfeit_flag,True,candidate_feature_or_context
selectivity_proxy_pct,Q,department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D02_v2,selectivity_proxy_pct,False,target_candidate_not_feature
campus_region_raw,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D02_v2,campus_region_raw,False,identifier_label_or_qa_metadata
school_type,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,school_type,True,candidate_feature_or_context
degree_course,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,degree_course,True,candidate_feature_or_context
day_evening_raw,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,day_evening_raw,False,identifier_label_or_qa_metadata
region_sido,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,region_sido,True,candidate_feature_or_context
region_sigungu,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,region_sigungu,True,candidate_feature_or_context
hc_major_group_7,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D03_v2,hc_major_group_7,True,candidate_feature_or_context
field_middle_name,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,field_middle_name,True,candidate_feature_or_context
field_small_name,S0,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,field_small_name,True,candidate_feature_or_context
admission_capacity_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,admission_capacity_n,True,candidate_feature_or_context
recruitment_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,recruitment_n,True,candidate_feature_or_context
applicants_n,DENOM,school_department,analysis_year + school_uid + campus_uid + dept_uid + outcome_row_id,D01_v2,applicants_n,True,candidate_feature_or_context
