model_id,outcome,grade_signal,model_family,status,converged,warning,rank,diagnostic_flag
HEALTH_EMPLOYMENT_RAW_A_fractional_logit,HEALTH_EMPLOYMENT,RAW_A,fractional_logit,READY,True,,37.0,
HEALTH_EMPLOYMENT_RAW_A_ols_cluster,HEALTH_EMPLOYMENT,RAW_A,ols_cluster,READY,True,,37.0,
HEALTH_EMPLOYMENT_OOF_RESIDUAL_FULL_fractional_logit,HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,fractional_logit,READY,True,,37.0,
HEALTH_EMPLOYMENT_OOF_RESIDUAL_FULL_ols_cluster,HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,ols_cluster,READY,True,,37.0,
HEALTH_EMPLOYMENT_OOF_RESIDUAL_NOPOLICY_fractional_logit,HEALTH_EMPLOYMENT,OOF_RESIDUAL_NOPOLICY,fractional_logit,READY,True,,37.0,
HEALTH_EMPLOYMENT_OOF_RESIDUAL_NOPOLICY_ols_cluster,HEALTH_EMPLOYMENT,OOF_RESIDUAL_NOPOLICY,ols_cluster,READY,True,,37.0,
GRAD_SCHOOL_PROGRESSION_RAW_A_fractional_logit,GRAD_SCHOOL_PROGRESSION,RAW_A,fractional_logit,READY,True,,39.0,
GRAD_SCHOOL_PROGRESSION_RAW_A_ols_cluster,GRAD_SCHOOL_PROGRESSION,RAW_A,ols_cluster,READY,True,,39.0,
GRAD_SCHOOL_PROGRESSION_OOF_RESIDUAL_FULL_fractional_logit,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,fractional_logit,READY,True,,39.0,
GRAD_SCHOOL_PROGRESSION_OOF_RESIDUAL_FULL_ols_cluster,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,ols_cluster,READY,True,,39.0,
GRAD_SCHOOL_PROGRESSION_OOF_RESIDUAL_NOPOLICY_fractional_logit,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_NOPOLICY,fractional_logit,READY,True,,39.0,
GRAD_SCHOOL_PROGRESSION_OOF_RESIDUAL_NOPOLICY_ols_cluster,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_NOPOLICY,ols_cluster,READY,True,,39.0,
BOOTSTRAP_FAST_GENERATED_REGRESSOR,ALL,RAW_A|OOF_RESIDUAL_FULL,ols_fast_bootstrap,READY_WITH_WARNINGS,True,Bootstrap regenerates P3 residual inside each replicate but uses fixed development encoder and numpy least-squares for speed.,,BOOTSTRAP_APPROXIMATION_WARNING
