major_group_7,count,mean
ART,790,0.41139240506329117
EDU,640,0.678125
ENG,1282,0.25585023400936036
HUM,722,0.3656509695290859
MED,392,0.6913265306122449
NAT,720,0.12361111111111112
SOC,1128,0.5593971631205674
