fold,outcome,grade_signal,valid_n,valid_school_n,base_deviance,signal_deviance,iv_deviance,base_brier,signal_brier,iv_brier,base_mae,signal_mae,iv_mae
1,HEALTH_EMPLOYMENT,RAW_A,991,32,1.3621761576767415,1.3620377145021247,0.0001384431746167536,0.02726132218042089,0.02721777561333063,4.354656709026211e-05,0.12959795207178057,0.12901885785224132,0.0005790942195392501
1,HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,991,32,1.3621761576767415,1.3620377145459828,0.00013844313075872527,0.02726132218042089,0.02721777562353362,4.354655688727088e-05,0.12959795207178057,0.12901885789793707,0.0005790941738434974
2,HEALTH_EMPLOYMENT,RAW_A,990,31,1.3610671258075844,1.3596074425041837,0.0014596833034006274,0.023787255965761377,0.023427838321237602,0.0003594176445237754,0.12038376397506206,0.11972761148534947,0.000656152489712597
2,HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,990,31,1.3610671258075844,1.3596074425235858,0.0014596832839985918,0.023787255965761377,0.023427838325442124,0.00035941764031925325,0.12038376397506206,0.11972761148650927,0.0006561524885527886
3,HEALTH_EMPLOYMENT,RAW_A,990,31,1.3565381469073265,1.3563918924652882,0.00014625444203830718,0.022870864172024226,0.022828729456560504,4.2134715463722217e-05,0.11924489606922682,0.11924686712867874,-1.9710594519189995e-06
3,HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,990,31,1.3565381469073265,1.3563918924293523,0.00014625447797422808,0.022870864172024226,0.022828729448373775,4.213472365045129e-05,0.11924489606922682,0.11924686709438152,-1.971025154701156e-06
4,HEALTH_EMPLOYMENT,RAW_A,990,32,1.3549352312431056,1.3542864576225746,0.0006487736205309513,0.023069356347328155,0.02290762617890241,0.0001617301684257444,0.11611415754573384,0.115750536640416,0.0003636209053178435
4,HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,990,32,1.3549352312431056,1.3542864576680453,0.000648773575060213,0.023069356347328155,0.022907626189638836,0.00016173015768931875,0.11611415754573384,0.11575053663861239,0.00036362090712145634
5,HEALTH_EMPLOYMENT,RAW_A,990,32,1.3534516436856954,1.3534881539375536,-3.651025185824608e-05,0.023551043530326415,0.02351522121199196,3.582231833445387e-05,0.11879377042834321,0.11863119812787494,0.00016257230046827498
5,HEALTH_EMPLOYMENT,OOF_RESIDUAL_FULL,990,32,1.3534516436856954,1.353488153938574,-3.651025287854104e-05,0.023551043530326415,0.023515221215088786,3.582231523762899e-05,0.11879377042834321,0.11863119812597181,0.0001625723023714054
1,GRAD_SCHOOL_PROGRESSION,RAW_A,1003,33,0.6276034408333256,0.612939362123766,0.014664078709559658,0.016816414312068966,0.014991327449293018,0.001825086862775948,0.07950060448516963,0.07540670925284139,0.00409389523232824
1,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,1003,33,0.6276034408333256,0.6129393618955586,0.014664078937767,0.016816414312068966,0.014991327422907777,0.0018250868891611892,0.07950060448516963,0.07540670919925214,0.004093895285917484
2,GRAD_SCHOOL_PROGRESSION,RAW_A,1003,33,0.49409864036670526,0.49554269252340877,-0.0014440521567035125,0.011441735080801105,0.012125694091288799,-0.0006839590104876937,0.07010993025110437,0.07084378858176019,-0.0007338583306558122
2,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,1003,33,0.49409864036670526,0.49554269268130646,-0.0014440523146012074,0.011441735080801105,0.012125694123155251,-0.0006839590423541458,0.07010993025110437,0.07084378866542769,-0.0007338584143233157
3,GRAD_SCHOOL_PROGRESSION,RAW_A,1003,33,0.4231903823158644,0.422175423804778,0.0010149585110864057,0.008675724951216792,0.008532989067611607,0.00014273588360518528,0.06117036108239047,0.05970232638485282,0.0014680346975376457
3,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,1003,33,0.4231903823158644,0.4221754236711753,0.0010149586446891457,0.008675724951216792,0.008532989033834305,0.00014273591738248742,0.06117036108239047,0.059702326369018156,0.0014680347133723126
4,GRAD_SCHOOL_PROGRESSION,RAW_A,1002,33,0.5655623659466592,0.5560245685023184,0.009537797444340801,0.015178211010646432,0.014057515616221188,0.0011206953944252439,0.075258668911107,0.0730188768250636,0.002239792086043399
4,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,1002,33,0.5655623659466592,0.5560245685097088,0.00953779743695038,0.015178211010646432,0.014057515626359204,0.0011206953842872285,0.075258668911107,0.07301887681153403,0.0022397920995729653
5,GRAD_SCHOOL_PROGRESSION,RAW_A,1002,33,0.553643926356431,0.5459295750478071,0.007714351308623857,0.014903405872685373,0.01400771014254059,0.0008956957301447833,0.07534129202548535,0.07259938103572758,0.002741910989757776
5,GRAD_SCHOOL_PROGRESSION,OOF_RESIDUAL_FULL,1002,33,0.553643926356431,0.5459295748875409,0.007714351468890102,0.014903405872685373,0.01400771013508837,0.0008956957375970027,0.07534129202548535,0.07259938096927043,0.0027419110562149213
