missingness_variable,dimension,group,rows,observed_n,missing_n,observed_pct
has_selectivity,split,test,1199,364,835,30.35863219349458
has_selectivity,split,train,7529,2787,4742,37.016868109974766
has_selectivity,split,val,1514,586,928,38.70541611624835
has_selectivity,major_group_7,ART,1566,351,1215,22.413793103448278
has_selectivity,major_group_7,EDU,728,379,349,52.06043956043956
has_selectivity,major_group_7,ENG,2642,1000,1642,37.85011355034065
has_selectivity,major_group_7,HUM,1108,406,702,36.64259927797834
has_selectivity,major_group_7,MED,632,309,323,48.892405063291136
has_selectivity,major_group_7,NAT,1258,529,729,42.05087440381558
has_selectivity,major_group_7,SOC,2165,733,1432,33.8568129330254
has_selectivity,major_group_7,,143,30,113,20.97902097902098
has_selectivity,school_type,각종대학(대학),29,0,29,0.0
has_selectivity,school_type,교육대학,123,1,122,0.8130081300813009
has_selectivity,school_type,대학교,8324,3175,5149,38.14271984622778
has_selectivity,school_type,방송통신대학교,27,0,27,0.0
has_selectivity,school_type,산업대학,58,22,36,37.93103448275862
has_selectivity,school_type,,1681,539,1142,32.064247471743016
has_selectivity,region_sido,강원,497,121,376,24.346076458752517
has_selectivity,region_sido,경기,1081,367,714,33.95004625346901
has_selectivity,region_sido,경남,413,158,255,38.256658595641646
has_selectivity,region_sido,경북,687,186,501,27.074235807860266
has_selectivity,region_sido,광주,361,122,239,33.795013850415515
has_selectivity,region_sido,대구,219,130,89,59.3607305936073
has_selectivity,region_sido,대전,489,186,303,38.036809815950924
has_selectivity,region_sido,부산,895,325,570,36.312849162011176
has_selectivity,region_sido,서울,1629,680,949,41.743400859422955
has_selectivity,region_sido,세종,1,1,0,100.0
has_selectivity,region_sido,울산,92,3,89,3.260869565217391
has_selectivity,region_sido,인천,199,116,83,58.291457286432156
has_selectivity,region_sido,전남,245,25,220,10.204081632653061
has_selectivity,region_sido,전북,413,225,188,54.47941888619855
has_selectivity,region_sido,제주,105,53,52,50.476190476190474
has_selectivity,region_sido,충남,702,292,410,41.5954415954416
has_selectivity,region_sido,충북,533,208,325,39.02439024390244
has_selectivity,region_sido,,1681,539,1142,32.064247471743016
has_selectivity,match_status,auto_high_confidence,8561,3198,5363,37.35544912977456
has_selectivity,match_status,manual_pending,1316,491,825,37.31003039513678
has_selectivity,match_status,unmatched,365,48,317,13.150684931506849
has_structure_context,split,test,1199,996,203,83.06922435362803
has_structure_context,split,train,7529,6302,1227,83.70301500863329
has_structure_context,split,val,1514,1263,251,83.4214002642008
has_structure_context,major_group_7,ART,1566,1259,307,80.39591315453384
has_structure_context,major_group_7,EDU,728,687,41,94.36813186813187
has_structure_context,major_group_7,ENG,2642,2212,430,83.72445117335351
has_structure_context,major_group_7,HUM,1108,1010,98,91.15523465703971
has_structure_context,major_group_7,MED,632,519,113,82.12025316455697
has_structure_context,major_group_7,NAT,1258,1098,160,87.28139904610492
has_structure_context,major_group_7,SOC,2165,1776,389,82.0323325635104
has_structure_context,major_group_7,,143,0,143,0.0
has_structure_context,school_type,각종대학(대학),29,29,0,100.0
has_structure_context,school_type,교육대학,123,123,0,100.0
has_structure_context,school_type,대학교,8324,8324,0,100.0
has_structure_context,school_type,방송통신대학교,27,27,0,100.0
has_structure_context,school_type,산업대학,58,58,0,100.0
has_structure_context,school_type,,1681,0,1681,0.0
has_structure_context,region_sido,강원,497,497,0,100.0
has_structure_context,region_sido,경기,1081,1081,0,100.0
has_structure_context,region_sido,경남,413,413,0,100.0
has_structure_context,region_sido,경북,687,687,0,100.0
has_structure_context,region_sido,광주,361,361,0,100.0
has_structure_context,region_sido,대구,219,219,0,100.0
has_structure_context,region_sido,대전,489,489,0,100.0
has_structure_context,region_sido,부산,895,895,0,100.0
has_structure_context,region_sido,서울,1629,1629,0,100.0
has_structure_context,region_sido,세종,1,1,0,100.0
has_structure_context,region_sido,울산,92,92,0,100.0
has_structure_context,region_sido,인천,199,199,0,100.0
has_structure_context,region_sido,전남,245,245,0,100.0
has_structure_context,region_sido,전북,413,413,0,100.0
has_structure_context,region_sido,제주,105,105,0,100.0
has_structure_context,region_sido,충남,702,702,0,100.0
has_structure_context,region_sido,충북,533,533,0,100.0
