family,actual_column,source,grain,dtype,non_null_n,zero_n,min,max,semantic_evidence,numerator_or_denominator,usable_for_count_model,usage_note
PROGRESSION,graduate_school_progression_rate_pct,D02,source_native,Float32,7587.0,3343.0,0.0,100.0,D02 column name matched: graduate_school_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,domestic_progression_rate_pct,D02,source_native,Float32,7587.0,3119.0,0.0,100.0,D02 column name matched: domestic_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,overseas_progression_rate_pct,D02,source_native,Float32,7587.0,7406.0,0.0,18.18181800842285,D02 column name matched: overseas_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
EMPLOYMENT,has_employment,D02,source_native,boolean,10242.0,2765.0,0.0,1.0,D02 column name matched: has_employment,semantic_candidate,False,Candidate count only; not sufficient by itself.
PROGRESSION,has_progression,D02,source_native,boolean,10242.0,2655.0,0.0,1.0,D02 column name matched: has_progression,semantic_candidate,False,Candidate count only; not sufficient by itself.
EMPLOYMENT,employment_rate_pct,D03,source_native,Float32,7477.0,78.0,0.0,100.0,D03 column name matched: employment_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
EMPLOYMENT,health_employment_rate_pct,D03,source_native,Float32,7477.0,136.0,0.0,100.0,D03 column name matched: health_employment_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,progression_rate_pct,D03,source_native,Float32,7587.0,3098.0,0.0,100.0,D03 column name matched: progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,vocational_college_progression_rate_pct,D03,source_native,Float32,7587.0,7339.0,0.0,50.0,D03 column name matched: vocational_college_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,university_progression_rate_pct,D03,source_native,Float32,7587.0,7077.0,0.0,25.0,D03 column name matched: university_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,graduate_school_progression_rate_pct,D03,source_native,Float32,7587.0,3343.0,0.0,100.0,D03 column name matched: graduate_school_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,domestic_progression_rate_pct,D03,source_native,Float32,7587.0,3119.0,0.0,100.0,D03 column name matched: domestic_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
PROGRESSION,overseas_progression_rate_pct,D03,source_native,Float32,7587.0,7406.0,0.0,18.18181800842285,D03 column name matched: overseas_progression_rate_pct,stored_rate,False,No numerator/denominator pair with source contract; rate model only.
EMPLOYMENT,has_employment,D03,source_native,boolean,10242.0,2765.0,0.0,1.0,D03 column name matched: has_employment,semantic_candidate,False,Candidate count only; not sufficient by itself.
PROGRESSION,has_progression,D03,source_native,boolean,10242.0,2655.0,0.0,1.0,D03 column name matched: has_progression,semantic_candidate,False,Candidate count only; not sufficient by itself.
