label,path,relative_path,exists,size_bytes,sha256,mtime,shape,row_count,column_count,shape_error,manifest_hash,manifest_shape,hash_match,shape_match,modified_after_manifest
bridge_campus_alias,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_campus_alias.csv,workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_campus_alias.csv,True,35943,8033c6f596aec13af52dd3cb255ba4414b6a03299cd0a9cb7c6e8c91a3f7a0fa,2026-07-12T21:47:51.379408,"[229, 10]",229,10.0,,8033c6f596aec13af52dd3cb255ba4414b6a03299cd0a9cb7c6e8c91a3f7a0fa,"[229, 10]",True,True,False
bridge_department_alias,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_alias.csv,workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_alias.csv,True,4097995,2d380712d1220dab414976a8b0cc67708285dafe6f413e030e61fa953a1c936c,2026-07-12T21:47:51.431797,"[19990, 10]",19990,10.0,,2d380712d1220dab414976a8b0cc67708285dafe6f413e030e61fa953a1c936c,"[19990, 10]",True,True,False
bridge_outcome_headcount,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_outcome_headcount_v2.csv,workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_outcome_headcount_v2.csv,True,2046842,0ee76ab52f2f78e841ef341d740e9098cfafb1d7c1d277f577657d1b3d454bea,2026-07-12T21:47:51.344140,"[10242, 17]",10242,17.0,,0ee76ab52f2f78e841ef341d740e9098cfafb1d7c1d277f577657d1b3d454bea,"[10242, 17]",True,True,False
bridge_department_major7,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_major7_v2.csv,workbook/p2/p2_3/p4_handoff_candidate/local1/bridge_department_major7_v2.csv,True,1047119,7a92574bd2d8928304cffb08ecbafa4a3ce2c3112a3afe19ae2852e16138fbab,2026-07-12T21:47:51.368047,"[10242, 8]",10242,8.0,,7a92574bd2d8928304cffb08ecbafa4a3ce2c3112a3afe19ae2852e16138fbab,"[10242, 8]",True,True,False
column_registry,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,True,14689,5871ec9ae36dd0e078eed403c67322784e3880d2fa82849671be45a6d252e126,2026-07-12T21:47:51.527611,"[198, 6]",198,6.0,,,"[198, 6]",,True,False
feature_registry,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/p4_feature_set_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/p4_feature_set_registry.csv,True,588,776c7072444b5abee02f9a20942ca24cff5ec5c684593299a2c8c43dbf7a6529,2026-07-12T21:47:51.528370,"[4, 7]",4,7.0,,,"[4, 7]",,True,False
target_registry,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/p4_target_candidate_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/p4_target_candidate_registry.csv,True,715,3e48aaea329c4df989af2e078635fd7d7cd1677d5afd6c99d5f106e6313b5247,2026-07-12T21:47:51.528855,"[6, 4]",6,4.0,,,"[6, 4]",,True,False
sample_registry,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/model_sample_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/model_sample_registry.csv,True,1641,b3389c0051d9b9eeca555f43cd8194d99574c2444df68cd8273232f7f9a553f8,2026-07-12T21:47:51.515308,"[5, 12]",5,12.0,,,"[5, 12]",,True,False
sample_membership,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/model_sample_membership.parquet,workbook/p2/p2_3/p4_handoff_candidate/shared/model_sample_membership.parquet,True,97788,ef7eb73a35e9a058959747272d1b1e832622c415adeb363754dcb0fcb507c830,2026-07-12T21:47:51.522709,"[10242, 17]",10242,17.0,,,"[10242, 17]",,True,False
school_split,/home/sieg/projects-wsl/SBS_dataScience/workbook/p2/p2_3/p4_handoff_candidate/shared/dim_school_split.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/dim_school_split.csv,True,10962,85c2c851ddcfd02d5ead41dbd9424124e4ef1993347842c031e487e8f2a13583,2026-07-12T21:47:51.513828,"[200, 6]",200,6.0,,,"[200, 6]",,True,False
