column,rule,bad_n,status
outcome_row_id,all_null,0,INFO
school_name_raw,all_null,0,INFO
school_name_base_raw,all_null,0,INFO
school_name_std,all_null,0,INFO
campus_name_raw_x,all_null,0,INFO
campus_seq,all_null,0,WARN
campus_branch,all_null,0,WARN
campus_name_std_x,all_null,0,INFO
dept_name_raw,all_null,0,INFO
dept_name_std,all_null,0,INFO
dept_field_raw,all_null,0,INFO
dept_field_std,all_null,0,INFO
selectivity_proxy_pct,0<=percent<=100,0,PASS
a_rate_pct,0<=percent<=100,0,PASS
cd_rate_pct,0<=percent<=100,0,PASS
f_rate_pct,0<=percent<=100,0,PASS
employment_rate_pct,0<=percent<=100,0,PASS
health_employment_rate_pct,0<=percent<=100,0,PASS
progression_rate_pct,0<=percent<=100,0,PASS
vocational_college_progression_rate_pct,0<=percent<=100,0,PASS
university_progression_rate_pct,0<=percent<=100,0,PASS
graduate_school_progression_rate_pct,0<=percent<=100,0,PASS
domestic_progression_rate_pct,0<=percent<=100,0,PASS
overseas_progression_rate_pct,0<=percent<=100,0,PASS
rate_range_qa,all_null,0,INFO
source_file,all_null,0,INFO
source_sha256,all_null,0,INFO
campus_region_raw,all_null,0,INFO
dept_norm_strict,all_null,0,INFO
dept_norm_suffix_reduced,all_null,0,INFO
dept_token_signature,all_null,0,INFO
school_uid_x,all_null,0,INFO
headcount_row_id,all_null,1681,INFO
match_stage,all_null,0,INFO
match_method,all_null,0,INFO
match_status,all_null,0,INFO
unmatched_reason,all_null,0,INFO
match_evidence,all_null,0,INFO
candidate_headcount_row_ids,all_null,0,INFO
candidate_preview,all_null,0,INFO
headcount_grain_version,all_null,1681,INFO
headcount_grain_uid,all_null,1681,INFO
grain_resolution_method,all_null,1681,INFO
school_uid_y,all_null,1681,INFO
campus_uid,all_null,0,INFO
dept_uid,all_null,0,INFO
kedi_dept_code,all_null,1681,INFO
school_type,all_null,1681,WARN
degree_course,all_null,1681,WARN
school_status_raw,all_null,1681,INFO
day_evening_raw,all_null,1681,INFO
campus_name_raw_y,all_null,1681,INFO
campus_name_std_y,all_null,1681,INFO
region_sido,all_null,1681,WARN
region_sigungu,all_null,1681,WARN
hc_major_group_raw,all_null,1681,INFO
hc_major_group_7,all_null,1681,WARN
field_middle_name,all_null,1681,WARN
field_small_name,all_null,1681,WARN
admission_capacity_n,count>=0,0,PASS
recruitment_n,count>=0,0,PASS
applicants_n,count>=0,0,PASS
admits_n,count>=0,0,PASS
enrolled_students_n,count>=0,0,PASS
leave_students_n,count>=0,0,PASS
graduates_n,count>=0,0,PASS
fulltime_faculty_n,count>=0,0,PASS
nonfulltime_faculty_n,count>=0,0,PASS
international_students_n,count>=0,0,PASS
female_students_n,count>=0,0,PASS
masters_students_n,count>=0,0,PASS
doctoral_students_n,count>=0,0,PASS
leave_rate_pct,0<=percent<=100,0,PASS
female_student_share_pct,0<=percent<=100,0,PASS
international_student_share_pct,0<=percent<=100,0,PASS
fulltime_faculty_share_pct,0<=percent<=100,0,PASS
log_enrolled_students,count>=0,0,PASS
log_graduates,count>=0,0,PASS
school_uid,all_null,0,INFO
major_group_7,all_null,143,WARN
major7_mapping_method,all_null,0,INFO
major7_mapping_confidence,all_null,0,INFO
major7_evidence,all_null,0,INFO
major7_sample_exclusion_rule,all_null,0,INFO
row_qa_status,all_null,0,INFO
ctx24_income_300plus_pct,0<=percent<=100,0,PASS
ctx24_income_400plus_pct,0<=percent<=100,0,PASS
ctx24_large_company_pct,0<=percent<=100,0,PASS
ctx24_mid_company_pct,0<=percent<=100,0,PASS
ctx24_small_company_pct,0<=percent<=100,0,PASS
ctx24_large_mid_company_pct,0<=percent<=100,0,PASS
ctx24_public_nonprofit_pct,0<=percent<=100,0,PASS
ctx24_cert_rate_pct,0<=percent<=100,0,PASS
ctx24_industry_top3_pct,all_null,10242,INFO
ctx24_industry_hhi,all_null,10242,INFO
goms_aggregation_method,all_null,143,WARN
goms_recent_employment_rate_pct,0<=percent<=100,0,PASS
goms_recent_firm_300plus_pct,0<=percent<=100,0,PASS
goms_recent_public_nonprofit_pct,0<=percent<=100,0,PASS
goms_recent_permanent_pct,0<=percent<=100,0,PASS
goms_recent_unstable_pct,0<=percent<=100,0,PASS
goms_recent_self_employed_pct,0<=percent<=100,0,PASS
goms_recent_industry_top3_pct,0<=percent<=100,0,PASS
goms_recent_professional_highskill_pct,0<=percent<=100,0,PASS
goms_latest_2019_firm_300plus_pct,0<=percent<=100,0,PASS
goms_latest_2019_permanent_pct,0<=percent<=100,0,PASS
goms_mapping_confidence,all_null,143,WARN
goms_row_qa_status,all_null,143,WARN
