dept_uid,headcount_uid,parent_program_count,classification,repeated_structure_columns,context_feature_allowed,sum_denominator_weight_allowed,outcome_row_ids,school_names,campus_names,outcome_dept_names,match_methods,candidate_count_max,outcome_row_id,school,campus,outcome_dept_name,headcount_dept_name,match_method,match_score,candidate_count
DEP_01160bffef8e,HCG_006f4a7004ae,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01626|OC2024_01696,고려대학교,unknown|분교,사회학과|사회학과,exact_strict,1,OC2024_01626,고려대학교,unknown,사회학과,사회학과,exact_strict,1.0,1
DEP_01160bffef8e,HCG_006f4a7004ae,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01626|OC2024_01696,고려대학교,unknown|분교,사회학과|사회학과,exact_strict,1,OC2024_01696,고려대학교,분교,사회학과,사회학과,exact_strict,1.0,1
DEP_5775880d8f88,HCG_984fac045ce5,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01606|OC2024_01675,고려대학교,unknown|분교,국어국문학과|국어국문학과,exact_strict,1,OC2024_01606,고려대학교,unknown,국어국문학과,국어국문학과,exact_strict,1.0,1
DEP_5775880d8f88,HCG_984fac045ce5,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01606|OC2024_01675,고려대학교,unknown|분교,국어국문학과|국어국문학과,exact_strict,1,OC2024_01675,고려대학교,분교,국어국문학과,국어국문학과,exact_strict,1.0,1
DEP_608b06fc070c,HCG_8eb2aae466a7,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01602|OC2024_01665,고려대학교,unknown|분교,경영학과|경영학부,exact_strict|exact_token_unique,1,OC2024_01602,고려대학교,unknown,경영학과,경영학과,exact_strict,1.0,1
DEP_608b06fc070c,HCG_8eb2aae466a7,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01602|OC2024_01665,고려대학교,unknown|분교,경영학과|경영학부,exact_strict|exact_token_unique,1,OC2024_01665,고려대학교,분교,경영학부,경영학과,exact_token_unique,1.0,1
DEP_6646d76a3796,HCG_fd14c3ec4355,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01632|OC2024_01698,고려대학교,unknown|분교,수학과|수학과,exact_strict,1,OC2024_01632,고려대학교,unknown,수학과,수학과,exact_strict,1.0,1
DEP_6646d76a3796,HCG_fd14c3ec4355,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01632|OC2024_01698,고려대학교,unknown|분교,수학과|수학과,exact_strict,1,OC2024_01698,고려대학교,분교,수학과,수학과,exact_strict,1.0,1
DEP_69e8462a106a,HCG_a00973b2cdce,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01603|OC2024_01667,고려대학교,unknown|분교,경제학과|경제학과,exact_strict,1,OC2024_01603,고려대학교,unknown,경제학과,경제학과,exact_strict,1.0,1
DEP_69e8462a106a,HCG_a00973b2cdce,2,PARENT_HEADCOUNT_REUSED,headcount_row_id|headcount_grain_uid|admission_capacity_n|recruitment_n|applicants_n|admits_n|enrolled_students_n|leave_students_n|graduates_n|fulltime_faculty_n|nonfulltime_faculty_n|school_type|degree_course|region_sido|field_middle_name|field_small_name,True,False,OC2024_01603|OC2024_01667,고려대학교,unknown|분교,경제학과|경제학과,exact_strict,1,OC2024_01667,고려대학교,분교,경제학과,경제학과,exact_strict,1.0,1
