학과_계열,n,universities,admission_median,admission_mean,A_median,CD_median,employment_median,lift_vs_overall_median
한의예과,7,7,98.79999999999998,97.92971428571427,28.367981399115678,34.08724513987672,,25.799999999999983
의,3,3,98.77,98.47666666666667,26.087139313592218,15.397228022478522,62.96296296296296,25.769999999999996
웹툰,1,1,98.726,98.726,71.4311743485506,5.54267611565859,44.44444444444444,25.726
농경제사회,1,1,98.5,98.5,68.2224930362117,7.121169916434541,81.08108108108108,25.5
수리과,1,1,98.5,98.5,62.23517024515872,15.63153626157852,42.85714285714285,25.5
바이오시스템・소재,1,1,98.25,98.25,57.5194038052064,11.839755477711382,55.55555555555556,25.25
화학생물공,1,1,98.25,98.25,41.5278429073857,17.911430246189916,71.42857142857143,25.25
첨단융합,1,1,98.0,98.0,90.52128865144893,0.1173708920187793,,25.0
의예과,24,24,97.98983173076924,96.92023564796678,35.41666666666667,7.819282015476814,,24.98983173076924
치의예과,7,7,97.75,94.17328571428571,25.852272727272727,30.159774436090224,,24.75
조경・지역시스템공,1,1,97.75,97.75,59.24746429693129,8.2745210338648,88.88888888888889,24.75
인류,1,1,97.25,97.25,84.31832133489593,3.148892237290028,70.58823529411765,24.25
전기・정보공,1,1,97.25,97.25,50.44387864561643,16.869092239932357,62.65060240963855,24.25
약학,1,1,97.0,97.0,47.63595424806872,12.671404527989027,,24.0
소비자아동,1,1,96.69444444444444,96.69444444444444,77.26993986390252,4.601532415466582,70.58823529411765,23.694444444444443
응용생물화,1,1,96.5,96.5,59.30377069120525,11.27769845047332,82.6086956521739,23.5
약,29,29,96.272,94.61960714230963,37.16139850506862,22.527162995830693,92.14159811985898,23.272000000000006
미래산업약학,1,1,96.0,96.0,49.19923151735463,15.26362781205657,,23.0
식품・동물생명공,1,1,96.0,96.0,54.49913644214162,11.36614853195164,73.91304347826087,23.0
스마트보안,1,1,95.87,95.87,57.41156653565413,10.737610449481368,,22.870000000000005
수의예과,9,9,95.67,93.49744444444444,27.605703048180924,32.16041578873437,,22.67
바이오의공,1,1,95.67,95.67,49.71606334841629,15.771870286576169,74.28571428571429,22.67
지능형소프트웨어,1,1,95.67,95.67,63.46393034825872,7.151741293532339,,22.67
물리·천문,1,1,95.59722222222224,95.59722222222224,51.92530140110785,16.025985663082437,53.333333333333336,22.597222222222243
원자핵공,1,1,95.5,95.5,55.993728535165,15.020158279826788,100.0,22.5
식물생산과,1,1,95.25,95.25,59.42101037776845,7.344904287366227,61.76470588235294,22.25
바이오시스템의과,1,1,95.13,95.13,52.32599941205847,13.141555778296455,65.85365853658537,22.129999999999995
융합에너지공,1,1,95.05,95.05,66.80147556518207,3.7126032218762695,,22.049999999999997
보건환경융합과,1,1,94.83,94.83,63.01824068453155,8.724481831584423,77.02702702702703,21.83
건축사회환경공,1,1,94.67,94.67,53.39320723062307,12.08045641004458,76.78571428571429,21.67
생명환경공,1,1,94.67,94.67,34.74333983105913,23.74269005847953,,21.67
환경생태공,1,1,94.63,94.63,59.36345078077362,8.6155518438983,72.22222222222223,21.629999999999995
보건정책관리,1,1,94.57,94.57,71.08150492565188,8.044851232482216,73.07692307692308,21.569999999999993
반도체융합공,1,1,94.5,94.5,44.680851063829785,4.25531914893617,,21.5
에너지,1,1,94.5,94.5,100.0,0.0,,21.5
한국사,1,1,94.5,94.5,75.23084245597335,1.9149611296208155,77.77777777777777,21.5
제약,1,1,94.396,94.396,32.75242440708764,28.275573074346568,100.0,21.396
