학교명,rows,admission_n,admission_mean,admission_median,A_mean,CD_mean,F_mean,employment_mean,advancement_mean,admission_row_coverage_pct,final_grade_department_labels,final_admission_department_labels,admission_label_coverage_pct,zero_coverage_major_reason,zero_coverage_detail_reason
감리교신학대학교,1,1,42.6,42.6,38.83744855967078,8.024691358024691,3.960905349794239,,54.3859649122807,100.0,1,1,100.0,covered_or_partial,covered_or_partial
대전가톨릭대학교,1,1,72.9,72.9,70.95404595404597,1.8897768897768896,0.0,,100.0,100.0,1,1,100.0,covered_or_partial,covered_or_partial
대전신학대학교,1,1,90.91,90.91,79.7212915016753,7.845974210579754,1.0864047111381867,,50.0,100.0,1,1,100.0,covered_or_partial,covered_or_partial
한국성서대학교,5,5,75.8,76.3,42.80570138409481,23.612964238553833,2.111174015792981,68.30802655990627,9.98568162398097,100.0,5,5,100.0,covered_or_partial,covered_or_partial
아주대학교,38,34,82.94029411764706,82.33500000000001,37.194885898495,20.368049919868685,3.5399544007246946,68.99844113916997,15.392993067967932,89.47368421052632,38,34,89.47368421052632,covered_or_partial,covered_or_partial
한국교원대학교,25,22,85.50045454545455,85.58500000000001,29.6181391980139,8.901356723905348,1.2793266548185875,55.55309435749093,1.9627339572192515,88.0,25,22,88.0,covered_or_partial,covered_or_partial
고려대학교,67,58,94.37293103448276,94.5,57.591592714670234,10.74338976510417,4.991892538333096,67.0523763876599,20.84614966978622,86.56716417910447,67,58,86.56716417910447,covered_or_partial,covered_or_partial
부산대학교,107,92,79.70651395835013,80.0,41.585689113358086,21.001878459490477,2.7125342184005485,55.06295010347119,15.130778941721282,85.98130841121495,107,92,85.98130841121495,covered_or_partial,covered_or_partial
국립목포해양대학교,14,12,52.56927083333333,57.94,44.87627537522062,19.848359684825937,6.578958206550353,75.10934966261573,1.5720280256770194,85.71428571428571,14,12,85.71428571428571,covered_or_partial,covered_or_partial
충남대학교,103,86,73.19697674418605,73.13,40.70067619215152,22.096530591725962,2.556353527057097,58.64326272034663,15.684976325270801,83.49514563106796,103,86,83.49514563106796,covered_or_partial,covered_or_partial
중앙대학교,44,36,91.57642592592592,91.575,43.4654346214179,19.10004904852724,2.9332677813731567,63.93043646689264,12.24775590129627,81.81818181818183,44,36,81.81818181818183,covered_or_partial,covered_or_partial
남서울대학교,41,33,69.8030303030303,69.0,36.99969474312672,18.3637142470196,2.1303854817715555,67.31110882295467,1.7900535666515804,80.48780487804879,41,33,80.48780487804879,covered_or_partial,covered_or_partial
전남대학교,95,75,69.12193758064517,72.5,44.47436323429362,17.4541192862656,2.338877303023574,53.88497772049699,11.829886673283225,78.94736842105263,95,75,78.94736842105263,covered_or_partial,covered_or_partial
청운대학교,30,23,56.54217391304348,59.67,43.52098814292471,15.845742234963291,4.10330273172405,63.87824227701517,2.557449914587425,76.66666666666667,30,23,76.66666666666667,covered_or_partial,covered_or_partial
서울여자대학교,47,35,91.12314285714285,91.33,38.130550104346966,21.27420547683659,1.8687008009109507,63.19295740748086,10.291263172677269,74.46808510638297,47,35,74.46808510638297,covered_or_partial,covered_or_partial
충북대학교,104,77,70.83045640074212,69.67,35.304010599858906,24.51770340809815,1.5237181022752289,55.023382661805506,11.262657461941334,74.03846153846155,104,77,74.03846153846155,covered_or_partial,covered_or_partial
인하대학교,73,54,81.71000000000001,81.25,46.65362151678932,11.200396680948119,2.690489038917495,67.67369236680084,12.64165673977812,73.97260273972603,73,54,73.97260273972603,covered_or_partial,covered_or_partial
원광대학교,85,62,52.51209677419355,51.25,42.58405936590752,19.642049470395378,2.655589226348455,57.9420541172371,5.189043914693293,72.94117647058823,85,62,72.94117647058823,covered_or_partial,covered_or_partial
인천대학교,76,55,75.75272727272727,76.0,41.37210869457679,18.01426514479291,5.9698737952650385,60.96386014757784,9.893050070600014,72.36842105263158,76,55,72.36842105263158,covered_or_partial,covered_or_partial
경상국립대학교,137,99,61.66866884331531,61.67,38.96442947530741,24.39239900804109,3.701228660142738,54.0005280721372,8.30263808829502,72.26277372262774,137,99,72.26277372262774,covered_or_partial,covered_or_partial
한국공학대학교,18,13,70.52989936302905,70.6276923076923,42.03897253082179,17.26950263432566,3.560182864620446,68.28942941438714,6.144129665303553,72.22222222222221,18,13,72.22222222222221,covered_or_partial,covered_or_partial
전북대학교,126,91,69.52382229199372,68.0,51.31326181654996,17.702586711965502,0.0,56.86414539455665,10.753587346135335,72.22222222222221,126,91,72.22222222222221,covered_or_partial,covered_or_partial
한양대학교,71,51,92.82823529411765,92.75,51.46783120631907,15.019540185182853,4.9449346173872755,65.06861607888979,19.128097370698434,71.83098591549296,71,51,71.83098591549296,covered_or_partial,covered_or_partial
경희대학교,102,73,88.8427397260274,89.0,46.59057375160085,11.352451748072822,5.408706807391931,63.34794863835994,13.138971864042617,71.56862745098039,102,73,71.56862745098039,covered_or_partial,covered_or_partial
