feature,n_pair,pearson,spearman,abs_spearman
대학원진학률,2812,0.25114463652149926,0.29963804353939366,0.29963804353939366
전체진학률,2812,0.24823473030356352,0.291102099951132,0.291102099951132
국내진학률,2812,0.24596228730013497,0.28929356933341993,0.28929356933341993
A비율,3652,0.2279068215549285,0.28608680023011757,0.28608680023011757
A_minus_CD,3652,0.20026924129863574,0.2615468310860524,0.2615468310860524
CD비율,3652,-0.11730835816644669,-0.19875856370691006,0.19875856370691006
건보가입취업률,2787,0.11355339669395467,0.15072443823800022,0.15072443823800022
전체취업률,2787,0.0952607001561505,0.1497111896394951,0.1497111896394951
국외진학률,2812,0.0882858314954436,0.1371798056692571,0.1371798056692571
F비율,3652,-0.048091365636154446,-0.1128023578808734,0.1128023578808734
전문대학진학률,2812,-0.07199301759207437,-0.07235749974100908,0.07235749974100908
취업_건보_gap,2787,-0.05205519640899222,0.06378419324429216,0.06378419324429216
대학진학률,2812,0.006085516401906252,0.04921265790921802,0.04921265790921802
