column,count,mean,std,min,5%,25%,50%,75%,95%,max
입결_프록시,3652.0,70.49524802230033,18.057031585248755,0.1,34.352,62.62017857142856,73.0,83.01249999999999,94.32449999999999,100.0
A비율,10242.0,41.72642670389795,17.01099898825882,0.0,14.643037518037518,32.47653929826284,39.791551837104606,49.94047190971149,73.03608750946015,100.0
CD비율,10242.0,18.606949740883838,12.729525295905333,0.0,0.8335517524925484,10.41239873929138,17.96790734866772,24.79216425656456,35.551011500697264,100.0
F비율,10242.0,3.9370096858148194,9.650919013792794,0.0,0.0,0.5130970003232777,1.695089717198574,3.510925684266531,12.752199591732444,100.0
전체취업률,7477.0,61.58654550035534,17.444646864701912,0.0,33.333333333333336,50.0,62.06896551724138,72.0,91.66666666666669,100.0
건보가입취업률,7477.0,52.67570499998595,19.217385186951955,0.0,20.0,41.1764705882353,52.94117647058823,64.0,86.20689655172414,100.0
전체진학률,7587.0,8.3730697398367,13.086164312473247,0.0,0.0,0.0,2.9411764705882355,11.11111111111111,35.8974358974359,100.0
전문대학진학률,7587.0,0.1093474340025487,0.945584603507031,0.0,0.0,0.0,0.0,0.0,0.0,50.0
대학진학률,7587.0,0.2016327414472678,0.9872641071733173,0.0,0.0,0.0,0.0,0.0,1.4705882352941178,25.0
대학원진학률,7587.0,8.062089564386884,13.011694162496351,0.0,0.0,0.0,2.380952380952381,10.84119496855346,35.483870967741936,100.0
국내진학률,7587.0,8.297621014277402,13.025195102682593,0.0,0.0,0.0,2.857142857142857,11.11111111111111,35.714285714285715,100.0
국외진학률,7587.0,0.0754487255592994,0.657506988743876,0.0,0.0,0.0,0.0,0.0,0.0,18.181818181818183
A_minus_CD,10242.0,23.11947696301411,26.901092660245556,-100.0,-13.630970422094938,8.281591721288056,21.7266135799995,37.58847704983595,68.38272230802562,100.0
취업_건보_gap,7477.0,8.910840500369375,11.6240952178728,0.0,0.0,0.0,5.714285714285708,11.53846153846154,30.76923076923077,100.0
