raw_name_key,canonical_candidates,appears_in_admission_data,admission_raw_examples,same_concept_punct_variant_only,decision,decision_note
컴퓨터공학부컴퓨터공학전공,컴퓨터공 | 컴퓨터공컴퓨터공학,True,컴퓨터공학부 ( 컴퓨터공학전공 ),False,canonical_override,university_scoped_override로 처리(대학별 실제 학과_계열과 대조해 확정) — UNIVERSITY_DEPARTMENT_OVERRIDES 참고
기계공학부기계공학전공,기계공 | 기계공기계공학,True,기계공학부 기계공학전공,False,canonical_override,university_scoped_override로 처리(대학별 실제 학과_계열과 대조해 확정) — UNIVERSITY_DEPARTMENT_OVERRIDES 참고
전자공학부전자공학전공,전자공 | 전자공전자공학,True,전자공학부 전자공학전공 | 전자공학부 ( 전자공학전공 ),False,canonical_override,university_scoped_override로 처리(대학별 실제 학과_계열과 대조해 확정) — UNIVERSITY_DEPARTMENT_OVERRIDES 참고
디자인학부시각디자인전공,디자인 | 디자인시각디자인,True,디자인학부 ( 시각디자인전공 ),False,canonical_override,university_scoped_override로 처리(대학별 실제 학과_계열과 대조해 확정) — UNIVERSITY_DEPARTMENT_OVERRIDES 참고
경찰학부경찰행정학전공,경찰 | 경찰경찰행정학,True,경찰학부 ( 경찰행정학전공 ),False,canonical_override,university_scoped_override로 처리(대학별 실제 학과_계열과 대조해 확정) — UNIVERSITY_DEPARTMENT_OVERRIDES 참고
경찰행정학과,경찰・행정 | 경찰행정,True,경찰행정학과 | 경찰·행정학과,True,keep_duplicate_canonical_low_risk,"두 canonical이 가운뎃점(·/・) 표기 차이만 있는 사실상 동일 개념 — 어느 쪽이 선택되든 의미상 오류 아님. 단, 참조표 자체의 canonical 중복은 별도 정리 필요(이번 배치 범위 밖)"
경찰행정학부,경찰・행정 | 경찰행정,True,경찰행정학부,True,keep_duplicate_canonical_low_risk,"두 canonical이 가운뎃점(·/・) 표기 차이만 있는 사실상 동일 개념 — 어느 쪽이 선택되든 의미상 오류 아님. 단, 참조표 자체의 canonical 중복은 별도 정리 필요(이번 배치 범위 밖)"
사회복지학전공,사회・복지학 | 사회복지학,True,사회복지학전공,True,keep_duplicate_canonical_low_risk,"두 canonical이 가운뎃점(·/・) 표기 차이만 있는 사실상 동일 개념 — 어느 쪽이 선택되든 의미상 오류 아님. 단, 참조표 자체의 canonical 중복은 별도 정리 필요(이번 배치 범위 밖)"
회계세무학과,회계・세무 | 회계세무,True,회계세무학과 | 회계 · 세무학과,True,keep_duplicate_canonical_low_risk,"두 canonical이 가운뎃점(·/・) 표기 차이만 있는 사실상 동일 개념 — 어느 쪽이 선택되든 의미상 오류 아님. 단, 참조표 자체의 canonical 중복은 별도 정리 필요(이번 배치 범위 밖)"
호텔관광경영학과,호텔・관광경영 | 호텔관광경영,True,호텔관광경영학과,True,keep_duplicate_canonical_low_risk,"두 canonical이 가운뎃점(·/・) 표기 차이만 있는 사실상 동일 개념 — 어느 쪽이 선택되든 의미상 오류 아님. 단, 참조표 자체의 canonical 중복은 별도 정리 필요(이번 배치 범위 밖)"
