column_group,cause,rows
employment_rates,employment_source_has_school_but_no_department_key_match,2538
employment_rates,employment_source_has_no_school_rows,117
employment_rates,employment_denominator_zero,110
advancement_rates,advancement_source_has_school_but_no_department_key_match,2538
advancement_rates,advancement_source_has_no_school_rows,117
