column,입결_프록시,A비율,CD비율,F비율,전체취업률,건보가입취업률,전체진학률,전문대학진학률,대학진학률,대학원진학률,국내진학률,국외진학률
입결_프록시,1.0,0.2990121454724874,-0.19141336719651209,-0.12790091108296497,0.1365885588067742,0.13845114526214766,0.2925781260051073,-0.07261031925761335,0.048709995887342865,0.3019548517715213,0.29076284301994204,0.13720390832235516
A비율,0.2990121454724874,1.0,-0.673837146632549,-0.2217090581379801,0.04234805018025497,-0.01896282559291223,0.15856507777009274,-0.018915358167699053,-0.009648873874272119,0.16308860258832028,0.15637903639763048,0.07300742063813118
CD비율,-0.19141336719651209,-0.673837146632549,1.0,0.10715484518869464,-0.043715340520877555,0.04511257353598506,-0.06011421795243142,0.014666873793169059,0.01941964353661363,-0.060752991321576966,-0.05655956012185416,-0.04933850370741035
F비율,-0.12790091108296497,-0.2217090581379801,0.10715484518869464,1.0,-0.036823992580829724,-0.08342252831922883,0.02002792239729869,0.05469536534079712,0.03718034131777129,0.018726976497083346,0.018129298122656647,0.03105533569297646
전체취업률,0.1365885588067742,0.04234805018025497,-0.043715340520877555,-0.036823992580829724,1.0,0.8025905277939955,-0.014997295830386571,-0.0020383573071308856,0.002635993956234002,-0.01077568661753109,-0.016186683372262527,0.022916861522365283
건보가입취업률,0.13845114526214766,-0.01896282559291223,0.04511257353598506,-0.08342252831922883,0.8025905277939955,1.0,-0.02818659921215083,-0.020935484420378018,0.0009440974200606532,-0.025087885475758166,-0.026894365232829294,0.0002709105670701465
전체진학률,0.2925781260051073,0.15856507777009274,-0.06011421795243142,0.02002792239729869,-0.014997295830386571,-0.02818659921215083,1.0,0.09318545579106198,0.16484626913084377,0.9743090707651685,0.9967411385848435,0.15826202236974915
전문대학진학률,-0.07261031925761335,-0.018915358167699053,0.014666873793169059,0.05469536534079712,-0.0020383573071308856,-0.020935484420378018,0.09318545579106198,1.0,0.06951193233313496,-0.017976354739919754,0.09371344763353638,0.010449690337054656
대학진학률,0.048709995887342865,-0.009648873874272119,0.01941964353661363,0.03718034131777129,0.002635993956234002,0.0009440974200606532,0.16484626913084377,0.06951193233313496,1.0,0.043743087540346275,0.1626703979813647,0.06554990418532104
대학원진학률,0.3019548517715213,0.16308860258832028,-0.060752991321576966,0.018726976497083346,-0.01077568661753109,-0.025087885475758166,0.9743090707651685,-0.017976354739919754,0.043743087540346275,1.0,0.9713891690140785,0.15614976578509057
국내진학률,0.29076284301994204,0.15637903639763048,-0.05655956012185416,0.018129298122656647,-0.016186683372262527,-0.026894365232829294,0.9967411385848435,0.09371344763353638,0.1626703979813647,0.9713891690140785,1.0,0.11383821702148647
국외진학률,0.13720390832235516,0.07300742063813118,-0.04933850370741035,0.03105533569297646,0.022916861522365283,0.0002709105670701465,0.15826202236974915,0.010449690337054656,0.06554990418532104,0.15614976578509057,0.11383821702148647,1.0
