univ_name_std,raw_row_id,raw_recruitment_unit,raw_header_json,raw_cells_json,last_0_100_candidate,candidate_cell_index,all_numeric_cells
서울대학교,SRC_0000019_2025_0001_T72_R5,인류학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""인류학과"", ""1"", ""18:1"", ""0"", ""Θ"", ""-"", ""Θ""]",1.0,2,2:1 | 4:0
서울대학교,SRC_0000019_2025_0001_T72_R45,불어교육과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원 합격 순위"", ""대학별 환산 / 최종등록자 70% cut"", ""대학별 환산 / 총점 ( 수능 )"", ""최종등록자 70% cut 평균 백분위""]","[""‘ 나 ’ 군"", ""불어교육과"", ""1"", ""14:1"", ""0"", ""Θ"", ""-"", ""Θ""]",1.0,2,2:1 | 4:0
연세대학교,SRC_0000149_2025_0002_T7_R2,국어국문학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""국어국문학과"", ""23"", ""3.48:1"", ""7"", ""722.9417"", ""1,010"", ""97"", ""91"", ""85.5"", ""91"", ""1""]",1.0,11,2:23 | 4:7 | 5:722.942 | 6:1010 | 7:97 | 8:91 | 9:85.5 | 10:91 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R3,중어중문학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""중어중문학과"", ""17"", ""2.53:1"", ""4"", ""722.275"", ""1,010"", ""97"", ""91"", ""85.5"", ""90.5"", ""1""]",1.0,11,2:17 | 4:4 | 5:722.275 | 6:1010 | 7:97 | 8:91 | 9:85.5 | 10:90.5 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R4,영어영문학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""영어영문학과"", ""38"", ""3.89:1"", ""5"", ""725.15"", ""1,010"", ""96"", ""93"", ""87.5"", ""91.75"", ""1""]",1.0,11,2:38 | 4:5 | 5:725.15 | 6:1010 | 7:96 | 8:93 | 9:87.5 | 10:91.75 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R5,독어독문학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""독어독문학과"", ""17"", ""7.24:1"", ""1"", ""721.5667"", ""1,010"", ""97"", ""93"", ""86.5"", ""90.75"", ""1""]",1.0,11,2:17 | 4:1 | 5:721.567 | 6:1010 | 7:97 | 8:93 | 9:86.5 | 10:90.75 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R6,불어불문학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""불어불문학과"", ""18"", ""5.39:1"", ""2"", ""722.0083"", ""1,010"", ""96"", ""91"", ""88.5"", ""91.25"", ""1""]",1.0,11,2:18 | 4:2 | 5:722.008 | 6:1010 | 7:96 | 8:91 | 9:88.5 | 10:91.25 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R7,노어노문학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""노어노문학과"", ""17"", ""4.47:1"", ""2"", ""720.6917"", ""1,010"", ""96"", ""93"", ""85"", ""89.5"", ""1""]",1.0,11,2:17 | 4:2 | 5:720.692 | 6:1010 | 7:96 | 8:93 | 9:85 | 10:89.5 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R8,사학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""사학과"", ""25"", ""4.92:1"", ""2"", ""722.1167"", ""1,010"", ""96"", ""89"", ""87.5"", ""91.25"", ""1""]",1.0,11,2:25 | 4:2 | 5:722.117 | 6:1010 | 7:96 | 8:89 | 9:87.5 | 10:91.25 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R9,철학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""철학과"", ""19"", ""2.84:1"", ""1"", ""724.5083"", ""1,010"", ""98"", ""91"", ""85.5"", ""91"", ""1""]",1.0,11,2:19 | 4:1 | 5:724.508 | 6:1010 | 7:98 | 8:91 | 9:85.5 | 10:91 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R10,문헌정보학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""문헌정보학과"", ""15"", ""5.27:1"", ""0"", ""726.275"", ""1,010"", ""97"", ""95"", ""90"", ""92.75"", ""1""]",1.0,11,2:15 | 4:0 | 5:726.275 | 6:1010 | 7:97 | 8:95 | 9:90 | 10:92.75 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R11,심리학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""심리학과"", ""20"", ""3.55:1"", ""2"", ""728.3417"", ""1,010"", ""97"", ""94"", ""84.5"", ""90.75"", ""1""]",1.0,11,2:20 | 4:2 | 5:728.342 | 6:1010 | 7:97 | 8:94 | 9:84.5 | 10:90.75 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R12,경제학부,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""경제학부"", ""93"", ""3.57:1"", ""38"", ""731.8167"", ""1,010"", ""98"", ""95"", ""84.5"", ""91"", ""1""]",1.0,11,2:93 | 4:38 | 5:731.817 | 6:1010 | 7:98 | 8:95 | 9:84.5 | 10:91 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R13,응용통계학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""응용통계학과"", ""30"", ""4.33:1"", ""32"", ""737.6167"", ""1,010"", ""98"", ""97"", ""86.5"", ""92.25"", ""1""]",1.0,11,2:30 | 4:32 | 5:737.617 | 6:1010 | 7:98 | 8:97 | 9:86.5 | 10:92.25 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R14,경영학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""경영학과"", ""140"", ""4.10:1"", ""145"", ""731.925"", ""1,010"", ""98"", ""94"", ""87"", ""92"", ""1""]",1.0,11,2:140 | 4:145 | 5:731.925 | 6:1010 | 7:98 | 8:94 | 9:87 | 10:92 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R15,수학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""수학과"", ""18"", ""4.33:1"", ""13"", ""712.0389"", ""1,010"", ""89"", ""99"", ""91.5"", ""93"", ""1""]",1.0,11,2:18 | 4:13 | 5:712.039 | 6:1010 | 7:89 | 8:99 | 9:91.5 | 10:93 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R16,물리학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""물리학과"", ""14"", ""5.64:1"", ""4"", ""710.6222"", ""1,010"", ""92"", ""98"", ""93.5"", ""93.75"", ""2""]",2.0,11,2:14 | 4:4 | 5:710.622 | 6:1010 | 7:92 | 8:98 | 9:93.5 | 10:93.75 | 11:2
연세대학교,SRC_0000149_2025_0002_T7_R17,화학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""화학과"", ""18"", ""3.78:1"", ""6"", ""712.0722"", ""1,010"", ""91"", ""98"", ""94"", ""95"", ""1""]",1.0,11,2:18 | 4:6 | 5:712.072 | 6:1010 | 7:91 | 8:98 | 9:94 | 10:95 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R18,지구시스템과학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""지구시스템과학과"", ""14"", ""4.57:1"", ""2"", ""706.7222"", ""1,010"", ""89"", ""97"", ""94.5"", ""93.75"", ""1""]",1.0,11,2:14 | 4:2 | 5:706.722 | 6:1010 | 7:89 | 8:97 | 9:94.5 | 10:93.75 | 11:1
연세대학교,SRC_0000149_2025_0002_T7_R19,천문우주학과,"[""구분"", ""모집단위"", ""모집 인원"", ""경쟁률"", ""충원인원"", ""최종등록자 대학별 환산점수"", ""최종등록자 대학별 환산점수"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut"", ""최종등록자 영역별 70% cut""]","[""가군"", ""천문우주학과"", ""11"", ""5.64:1"", ""3"", ""707.8444"", ""1,010"", ""91"", ""98"", ""90"", ""92.5"", ""1""]",1.0,11,2:11 | 4:3 | 5:707.844 | 6:1010 | 7:91 | 8:98 | 9:90 | 10:92.5 | 11:1
