기준연도,학교명,학과_계열,raw_rows_for_school,raw_metric_rows_for_school,reason_norm,cause_bucket
2024,가야대학교(김해),간호,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),경영물류,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),경찰소방,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),귀금속주얼리,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),물리치료,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),방사선,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),부동산금융재테크,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),사회복지상담,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),스포츠재활복지,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),안경광,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),외식조리영양,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),유아교육과,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),작업치료,0,0,,raw_html_not_collected_for_university
2024,가야대학교(김해),특수교육과,0,0,,raw_html_not_collected_for_university
2024,가천대학교,AI・소프트웨어,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,건축공학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,건축학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,게임・영상,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,경영학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,경찰・안보,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,글로벌경영학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,금융수,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,기계・스마트・산업공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,기계공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,도시계획학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,동양어문,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,미래자동차,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,미술·디자인,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,바이오의료기기,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,반도체・디스플레이,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,반도체공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,반도체설계,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,산업경영공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,스마트시티융합,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,식품생물공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,실내건축학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,연기예술,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,영미어문,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,운동재활복지,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,유럽어문,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,음악,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,의,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,의료경영,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,의용생체공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,전자공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,조경학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,첨단의료기기,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,컴퓨터공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,한국학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,한의,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,화공생명공,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가천대학교,회계세무학,60,60,,no_recruitment_unit_mapped_to_this_final_department_label
2024,가톨릭관동대학교,CG디자인,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,간호,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,건축공학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,건축학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,경기지도학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,경영,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,경영학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,경찰,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,경찰행정학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,공공행정학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,관광경영,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,관광경영학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,광고홍보,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,광고홍보학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,국어교육과,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,군사학,0,0,,raw_html_not_collected_for_university
2024,가톨릭관동대학교,기술창업,0,0,,raw_html_not_collected_for_university
