univ_name_std,raw_rows,raw_score_nonnull,raw_score_0_100,raw_score_gt100,raw_units,crosswalk_rows,crosswalk_score_nonnull,valid_primary,exact,alias,unmatched,absent,loose,broad,final_rows,final_admission_nonnull,final_coverage_pct
고려대학교,200,140,140,0,86,24,24,0,0,0,2,22,0,0,67,0,0.0
경북대학교,108,105,0,105,108,0,0,0,0,0,0,0,0,0,158,0,0.0
동국대학교,52,52,0,52,52,0,0,0,0,0,0,0,0,0,81,0,0.0
서경대학교,43,40,40,0,42,0,0,0,0,0,0,0,0,0,54,0,0.0
한국항공대학교,35,35,35,0,14,0,0,0,0,0,0,0,0,0,14,0,0.0
덕성여자대학교,7,7,0,7,7,0,0,0,0,0,0,0,0,0,76,0,0.0
가야대학교(김해),0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0
가톨릭관동대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0.0
가톨릭꽃동네대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0
가톨릭대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0
가톨릭대학교_제3캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
감리교신학대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
강남대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0.0
강서대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0
강원대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0.0
건국대학교(글로컬)_분교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0.0
건양대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0.0
건양대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0.0
경기대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0.0
경남과학기술대학교(폐교),0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0.0
경남대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0.0
경동대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0
경동대학교_제3캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0
경동대학교_제4캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0.0
경상국립대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0.0
경성대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0.0
경운대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0.0
경인교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0
경인교육대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0
경일대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0.0
계명대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0.0
고려대학교(세종)_분교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0.0
고신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0.0
공주교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0.0
광신대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0
광운대학교,65,0,0,0,29,0,0,0,0,0,0,0,0,0,54,0,0.0
광주가톨릭대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0
광주과학기술원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0
광주교육대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0.0
광주대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0.0
광주여자대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0.0
국립강릉원주대학교(폐교),0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0.0
국립강릉원주대학교_제2캠퍼스(폐교),0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0.0
국립경국대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0.0
국립공주대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0.0
국립군산대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0.0
국립금오공과대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0.0
국립목포대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0.0
국립목포해양대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0.0
국립부경대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0.0
국립순천대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0.0
국립창원대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0.0
국립한국교통대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0.0
국립한국해양대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0.0
국립한밭대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0.0
극동대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0.0
금강대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0.0
김천대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0.0
나사렛대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0.0
남부대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0.0
남서울대학교,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0.0
단국대학교_제2캠퍼스,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0.0
