학과_계열,universities,rows,admission_non_null,a_rate_mean,cd_rate_mean,f_rate_mean,employment_rate_mean,advancement_rate_mean
경영,120,120,68,37.053013834964496,21.787990704756883,4.994972671391897,62.20776767816464,2.0249663049987316
사회복지,114,114,57,41.48280660597661,18.343836405102525,2.968697515913762,58.059305894268945,2.5197545874881637
간호,113,113,77,46.409402377040294,17.769607846701224,0.5856406272809984,74.42414026962416,0.25986530645267675
컴퓨터공,83,83,41,35.91482835364527,22.68827745988736,3.834933378283622,53.184756767961346,7.0593884907061275
식품영양,75,75,43,40.44909104171559,19.969538358539047,1.592564868705311,61.9258761082382,11.246973804559591
행정,67,67,40,42.03658624738209,20.096286296652814,2.1836380925138057,54.95589899391355,2.395388239743803
건축,64,64,39,36.287450594058036,18.716140091457756,6.800629027971717,72.79769634370545,3.671758023528159
영어영문,64,64,42,41.091085106724144,20.266496765465636,3.8025688218843943,59.61626579935867,3.4630824339395274
유아교육과,64,64,38,46.767855912754875,14.290031939668086,1.0793323561226604,66.22398294785798,1.090529940456481
기계공,63,63,34,39.750137060383835,19.184934128477,4.800336047914245,66.61386840459559,17.306861370246118
전자공,59,59,33,38.0703451763318,19.848044828310492,5.43754150254688,64.90362636871916,10.36408462287726
국어국문,54,54,34,40.32339136450611,18.935431555986284,5.510474109039962,57.190454513526255,5.946448283326531
화,53,53,33,44.271207065817926,17.66070504731873,1.8139777857796147,57.916340045726436,44.88511593963904
경제,52,52,32,35.8007134751544,24.365504535081165,4.405030776793312,59.2651536061283,3.962234949015376
수,47,47,30,39.738842283831296,23.564864708090575,3.4382301035210063,60.320981085017024,15.864104543503355
수학교육과,46,46,33,37.886158186604845,20.543427582192496,2.4270203273224533,45.40757553735077,4.201981379984006
영어교육과,45,45,28,45.95663305777144,15.840529758265646,1.6686475917471462,49.38524846407956,2.2708644182328395
물리치료,44,44,31,41.77188641227924,20.225231319638315,1.2861291427198032,87.08632244933041,1.2229136277340134
법,44,44,24,36.08937524724499,22.005891678465193,4.096414001138288,50.14625216939837,2.7640249502275043
생명과,44,44,25,42.84611162122666,19.473505150811892,2.4512644892403617,53.35423062734613,34.316736011181774
신소재공,44,44,26,44.57287955965389,17.628848215554992,2.5501914861484956,63.18797014088415,27.723615386483875
경찰행정,43,43,18,35.95387264261656,20.583038861459787,3.0659744270305676,49.08943580291811,1.0598305120182938
국어교육과,42,42,31,43.22207787430969,17.207079185569974,1.4519769917069196,43.661903283147616,3.8812034552682646
교육,41,41,27,51.19278830944689,12.214989961671291,1.2067358002149322,51.93982697972854,7.093519925555896
건축공,40,40,25,38.80419989182557,19.470591945767488,4.407700833732877,69.70599522788088,6.52997673986857
사,39,39,25,41.602649408279326,18.48679070446655,2.7881589901139483,53.0828919375321,15.243266004189456
음악,39,39,3,50.51158038588486,10.169143841479006,3.404521464732559,62.02116576245984,17.14801954812348
