crawl_priority,univ_name_raw,univ_name_std,campus_name_std,univ_id,adiga_univ_code,adiga_label,target_institution_flag,manual_review_required,seed_note,source_registry_exists,raw_html_exists,http_status,parse_status,parse_note,raw_rows,raw_tables,recruitment_unit_nonnull,raw_score_70cut_nonnull,raw_score_max_nonnull,raw_percentile_70cut_nonnull,raw_percentile_0_100,raw_percentile_gt100,v1_any_score_field_nonnull,v2_metric_nonnull,v2_percentile_rows,v2_score_ratio_rows,v2_missing_or_unusable,v2_header_rows,gate1_fetched,gate1_raw_rows_ok,crawl_v1_semantic_score_ok,v2_metric_ok,verification_status,raw_file_path
1,서울대,서울대학교,본교/미구분,U0000019,19,서울대학교[본교],True,False,,True,True,200,success,result_tables=4,91,4,91,91,91,91,89,0,91,89,89,0,2,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000019_2025.html
2,연세대,연세대학교,본교/미구분,U0000149,149,연세대학교[본교],True,False,,True,True,200,success,result_tables=4,235,4,227,229,0,0,0,0,229,68,68,0,159,8,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000149_2025.html
3,고려대,고려대학교,본교/미구분,U0000069,69,고려대학교[본교],True,False,,True,True,200,success,result_tables=3,176,3,176,116,176,116,116,0,116,116,116,0,60,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000069_2025.html
4,성균관대,성균관대학교,본교/미구분,U0000133,133,성균관대학교[본교],True,False,,True,True,200,success,result_tables=1,30,1,30,30,30,30,30,0,30,30,30,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000133_2025.html
5,한양대,한양대학교,본교/미구분,U0000203,203,한양대학교[본교],True,False,,True,True,200,success,result_tables=1,53,1,53,53,53,53,53,0,53,53,53,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000203_2025.html
6,서강대,서강대학교,본교/미구분,U0000120,120,서강대학교[본교],True,False,,True,True,200,success,result_tables=1,27,1,27,27,27,27,27,0,27,27,27,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000120_2025.html
7,중앙대,중앙대학교,본교/미구분,U0000175,175,중앙대학교[본교],True,False,,True,True,200,success,result_tables=1,60,1,60,60,60,60,60,0,60,60,60,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000175_2025.html
8,이화여대,이화여자대학교,본교/미구분,U0000163,163,이화여자대학교[본교],True,False,,True,True,200,success,result_tables=1,24,1,24,24,24,24,24,0,24,24,24,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000163_2025.html
9,시립대,서울시립대학교,본교/미구분,U0000040,40,서울시립대학교[본교],True,False,,True,True,200,success,result_tables=1,40,1,38,40,0,0,0,0,40,38,38,0,0,2,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000040_2025.html
10,경희대,경희대학교,본교/미구분,U0000066,66,경희대학교[본교],True,False,,True,True,200,success,result_tables=1,85,1,85,85,85,85,85,0,85,85,85,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000066_2025.html
11,건국대,건국대학교,본교/미구분,U0000052,52,건국대학교[본교],True,False,,True,True,200,success,result_tables=1,50,1,50,50,50,50,50,0,50,50,50,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000052_2025.html
12,한국외대,한국외국어대학교,본교/미구분,U0000192,192,한국외국어대학교[본교],True,False,,True,True,200,success,result_tables=1,72,1,72,72,72,72,72,0,72,72,72,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000192_2025.html
13,동국대,동국대학교,본교/미구분,U0000100,100,동국대학교[본교],True,False,,True,True,200,success,result_tables=1,52,1,52,0,52,52,0,52,52,52,0,52,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000100_2025.html
14,홍익대,홍익대학교,본교/미구분,U0000212,212,홍익대학교[본교],True,False,,True,True,200,success,result_tables=1,50,1,50,50,50,50,50,0,50,50,50,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000212_2025.html
15,숭실대,숭실대학교,본교/미구분,U0000143,143,숭실대학교[본교],True,False,,True,True,200,success,result_tables=1,41,1,41,41,41,41,41,0,41,41,41,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000143_2025.html
16,숙명여대,숙명여자대학교,본교/미구분,U0000141,141,숙명여자대학교[본교],True,False,,True,True,200,success,result_tables=1,42,1,40,0,0,0,0,0,0,40,40,0,0,2,True,True,False,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000141_2025.html
17,국민대,국민대학교,본교/미구분,U0000078,78,국민대학교[본교],True,False,,True,True,200,success,result_tables=1,62,1,62,62,62,62,62,0,62,62,62,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000078_2025.html
18,부산대,부산대학교,본교/미구분,U0000014,14,부산대학교[본교],True,False,,True,True,200,success,result_tables=2,109,2,109,103,109,97,97,0,103,103,97,6,6,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000014_2025.html
19,세종대,세종대학교,본교/미구분,U0000138,138,세종대학교[본교],True,False,,True,True,200,success,result_tables=4,31,4,31,31,31,31,31,0,31,31,31,0,0,0,True,True,True,True,ok_raw_and_metric,data/crawl_2024_admission/raw_html/0000138_2025.html
