학교명,final_grade_department_labels,raw_rows,raw_metric_nonnull,final_matched_source_rows,final_admission_department_labels,admission_label_coverage_pct,zero_coverage_detail_reason,zero_coverage_major_reason
국립목포대학교,65,33,0,0,0,0.0,raw_fetched_but_no_usable_metric,crawled_but_zero_coverage
세명대학교,65,34,0,0,0,0.0,raw_fetched_but_no_usable_metric,crawled_but_zero_coverage
호남대학교,64,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
서원대학교,52,36,35,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
국립강릉원주대학교(폐교),51,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
상명대학교_제2캠퍼스,49,27,27,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
명지대학교_제2캠퍼스,44,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
신경주대학교,43,19,1,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
우송대학교,41,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
경남과학기술대학교(폐교),40,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
전남대학교_제2캠퍼스,35,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
위덕대학교,32,12,0,0,0,0.0,raw_fetched_but_no_usable_metric,crawled_but_zero_coverage
송원대학교,28,19,0,0,0,0.0,raw_fetched_but_no_usable_metric,crawled_but_zero_coverage
한국방송통신대학교,27,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
한국예술종합학교,27,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
울산과학기술원,24,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
을지대학교_제2캠퍼스,24,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
홍익대학교_제2캠퍼스,24,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
경동대학교_제4캠퍼스,23,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
영산대학교(양산)_제2캠퍼스,22,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
대구예술대학교,20,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
중앙대학교_제2캠퍼스,20,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
한국과학기술원,20,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
건양대학교_제2캠퍼스,17,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
경기대학교_제2캠퍼스,15,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
안양대학교_제2캠퍼스,15,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
경인교육대학교,14,3,3,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
경인교육대학교_제2캠퍼스,14,0,0,0,0,0.0,not_crawled_or_scope_excluded,not_crawled_or_scope_excluded
예원예술대학교,14,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
경동대학교,13,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
경동대학교_제3캠퍼스,13,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
광주교육대학교,13,3,1,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
부산교육대학교,13,3,3,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
차의과학대학교,13,3,3,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
공주교육대학교,12,4,3,0,0,0.0,metric_exists_but_department_unmatched,crawled_but_zero_coverage
전주교육대학교,12,0,0,0,0,0.0,fetched_but_result_tables_0,crawled_but_zero_coverage
