row_no,category_column,category_rank,category_value,row_count,row_pct,color_hex
1,기준연도,1,2024,10242,100.0,#4E79A7
2,학교명,1,경북대학교,158,1.5426674477641087,#4E79A7
3,학교명,2,강원대학교,154,1.5036125756688148,#F28E2B
4,학교명,3,신라대학교,144,1.4059753954305798,#59A14F
5,학교명,4,동의대학교,138,1.3473930872876392,#E15759
6,학교명,5,경상국립대학교,137,1.3376293692638157,#76B7B2
7,학교명,6,국립공주대학교,128,1.2497559070494044,#EDC948
8,학교명,7,대구가톨릭대학교,127,1.239992189025581,#B07AA1
9,학교명,8,전북대학교,126,1.2302284710017575,#FF9DA7
10,학교명,9,국립부경대학교,120,1.1716461628588166,#9C755F
11,학교명,10,한국외국어대학교,115,1.1228275727396992,#BAB0AC
12,학교명,11,대구한의대학교,113,1.1033001366920525,#4E79A7
13,학교명,12,동아대학교,109,1.0642452645967586,#F28E2B
14,학교명,13,부산대학교,107,1.0447178285491114,#59A14F
15,학교명,14,전주대학교,104,1.015426674477641,#E15759
16,학교명,15,충북대학교,104,1.015426674477641,#76B7B2
17,학교명,16,이화여자대학교,103,1.0056629564538175,#EDC948
18,학교명,17,충남대학교,103,1.0056629564538175,#B07AA1
19,학교명,18,경희대학교,102,0.9958992384299941,#FF9DA7
20,학교명,19,연세대학교,102,0.9958992384299941,#9C755F
21,학교명,20,영남대학교,100,0.9763718023823472,#BAB0AC
22,학교명,21,상지대학교,99,0.9666080843585236,#4E79A7
23,학교명,22,목원대학교,98,0.9568443663347002,#F28E2B
24,학교명,23,한신대학교,98,0.9568443663347002,#59A14F
25,학교명,24,전남대학교,95,0.9275532122632298,#E15759
26,학교명,25,서울대학교,94,0.9177894942394065,#76B7B2
27,학교명,26,제주대학교,94,0.9177894942394065,#EDC948
28,학교명,27,계명대학교,93,0.9080257762155829,#B07AA1
29,학교명,28,대구대학교,92,0.8982620581917594,#FF9DA7
30,학교명,29,국민대학교,89,0.868970904120289,#9C755F
31,학교명,30,조선대학교,89,0.868970904120289,#BAB0AC
32,학과_계열,1,경영,120,1.1716461628588166,#4E79A7
33,학과_계열,2,사회복지,114,1.1130638547158758,#F28E2B
34,학과_계열,3,간호,113,1.1033001366920525,#59A14F
35,학과_계열,4,컴퓨터공,83,0.8103885959773481,#E15759
36,학과_계열,5,식품영양,75,0.7322788517867604,#76B7B2
37,학과_계열,6,행정,67,0.6541691075961726,#EDC948
38,학과_계열,7,건축,64,0.6248779535247022,#B07AA1
39,학과_계열,8,영어영문,64,0.6248779535247022,#FF9DA7
40,학과_계열,9,유아교육과,64,0.6248779535247022,#9C755F
41,학과_계열,10,기계공,63,0.6151142355008787,#BAB0AC
42,학과_계열,11,전자공,59,0.5760593634055848,#4E79A7
43,학과_계열,12,국어국문,54,0.5272407732864675,#F28E2B
44,학과_계열,13,화,53,0.517477055262644,#59A14F
45,학과_계열,14,경제,52,0.5077133372388205,#E15759
46,학과_계열,15,수,47,0.45889474711970324,#76B7B2
47,학과_계열,16,수학교육과,46,0.4491310290958797,#EDC948
48,학과_계열,17,영어교육과,45,0.4393673110720563,#B07AA1
49,학과_계열,18,물리치료,44,0.42960359304823276,#FF9DA7
50,학과_계열,19,법,44,0.42960359304823276,#9C755F
51,학과_계열,20,생명과,44,0.42960359304823276,#BAB0AC
52,학과_계열,21,신소재공,44,0.42960359304823276,#4E79A7
53,학과_계열,22,경찰행정,43,0.41983987502440934,#F28E2B
54,학과_계열,23,국어교육과,42,0.4100761570005858,#59A14F
55,학과_계열,24,교육,41,0.4003124389767624,#E15759
56,학과_계열,25,건축공,40,0.39054872095293885,#76B7B2
57,학과_계열,26,사,39,0.3807850029291154,#EDC948
58,학과_계열,27,음악,39,0.3807850029291154,#B07AA1
59,학과_계열,28,전기공,39,0.3807850029291154,#FF9DA7
60,학과_계열,29,화학공,39,0.3807850029291154,#9C755F
61,학과_계열,30,물리,37,0.36125756688146843,#BAB0AC
62,학점포기제유무,1,O,1149,11.21851200937317,#2F80ED
63,학점포기제유무,2,X,9093,88.78148799062683,#F2994A
