학교명,final_rows
신라대학교,144
동의대학교,138
경상국립대학교,137
국립공주대학교,128
대구가톨릭대학교,127
국립부경대학교,120
대구한의대학교,113
동아대학교,109
전주대학교,104
영남대학교,100
상지대학교,99
목원대학교,98
한신대학교,98
제주대학교,94
계명대학교,93
대구대학교,92
조선대학교,89
동명대학교,86
경성대학교,86
원광대학교,85
배재대학교,84
청주대학교,81
국립한국교통대학교,80
동서대학교,80
가톨릭관동대학교,80
호서대학교,78
선문대학교,78
경남대학교,77
부산외국어대학교,77
동국대학교(WISE)_분교,76
한경국립대학교,75
한남대학교,75
국립경국대학교,73
건국대학교(글로컬)_분교,73
울산대학교,72
순천향대학교,67
국립순천대학교,67
중부대학교,66
대전대학교,65
국립목포대학교,65
세명대학교,65
호남대학교,64
강원대학교_제2캠퍼스,63
인제대학교,62
연세대학교(미래)_분교,62
국립군산대학교,62
우석대학교,62
고려대학교(세종)_분교,59
광주대학교,57
한서대학교,56
동신대학교,56
단국대학교_제2캠퍼스,54
국립창원대학교,54
한림대학교,53
대진대학교,53
서원대학교,52
나사렛대학교,52
국립강릉원주대학교(폐교),51
한양대학교(ERICA)_분교,51
상명대학교_제2캠퍼스,49
신한대학교_제2캠퍼스,48
유원대학교,47
명지대학교_제2캠퍼스,44
신경주대학교,43
경일대학교,42
국립한밭대학교,41
우송대학교,41
용인대학교,41
남서울대학교,41
동양대학교,41
영산대학교(해운대),41
중원대학교,40
경남과학기술대학교(폐교),40
극동대학교,40
호원대학교,39
협성대학교,38
건양대학교,37
경운대학교,35
전남대학교_제2캠퍼스,35
평택대학교,35
성공회대학교,35
안양대학교,33
한라대학교,33
위덕대학교,32
광주여자대학교,32
고신대학교,31
강남대학교,31
국립금오공과대학교,30
세한대학교,30
청운대학교,30
초당대학교,28
송원대학교,28
국립한국해양대학교,28
백석대학교,28
한국방송통신대학교,27
성결대학교,27
한국예술종합학교,27
제주국제대학교,26
한국교원대학교,25
홍익대학교_제2캠퍼스,24
을지대학교_제2캠퍼스,24
김천대학교,24
울산과학기술원,24
경동대학교_제4캠퍼스,23
한세대학교,22
영산대학교(양산)_제2캠퍼스,22
화성의과학대학교,22
부산가톨릭대학교,21
대구예술대학교,20
한국과학기술원,20
중앙대학교_제2캠퍼스,20
창신대학교,20
남부대학교,19
건양대학교_제2캠퍼스,17
서울신학대학교,16
경기대학교_제2캠퍼스,15
안양대학교_제2캠퍼스,15
가야대학교(김해),14
경인교육대학교,14
예원예술대학교,14
국립목포해양대학교,14
경인교육대학교_제2캠퍼스,14
한국체육대학교,13
대구교육대학교,13
차의과학대학교,13
광주교육대학교,13
경동대학교_제3캠퍼스,13
부산교육대학교,13
경동대학교,13
서울교육대학교,13
춘천교육대학교,12
공주교육대학교,12
한동대학교,12
포항공과대학교,12
진주교육대학교,12
전주교육대학교,12
청주교육대학교,12
한국기술교육대학교,11
강서대학교,11
서울한영대학교,11
아신대학교,11
국립강릉원주대학교_제2캠퍼스(폐교),11
칼빈대학교,10
총신대학교,10
한국침례신학대학교,10
광주과학기술원,10
추계예술대학교,9
서울기독대학교,9
인천가톨릭대학교_제2캠퍼스,9
금강대학교,8
광신대학교,7
신한대학교,7
한국전통문화대학교,7
가톨릭꽃동네대학교,6
대신대학교,6
한일장신대학교,6
중앙승가대학교,5
호남신학대학교,5
한국성서대학교,5
루터대학교,5
서울장신대학교,5
예원예술대학교_제2캠퍼스,5
영남신학대학교,5
을지대학교_제3캠퍼스,4
가톨릭대학교_제2캠퍼스,3
장로회신학대학교,3
목포가톨릭대학교,3
순복음총회신학교,2
을지대학교,2
대구경북과학기술원,2
부산장신대학교,2
예수대학교,2
가톨릭대학교_제3캠퍼스,1
광주가톨릭대학교,1
감리교신학대학교,1
대전가톨릭대학교,1
대전신학대학교,1
영산선학대학교,1
수원가톨릭대학교,1
인천가톨릭대학교,1
한국에너지공과대학교,1
