metric,value,note
rows,10242,1 row = 2024 university-department-label
columns,17,final analytic columns
csv_encoding,utf-8-sig,encoding used by pd.read_csv
matplotlib_font,NanumGothic,font used for Korean plot text
universities,227,unique 학교명
department_labels,4195,unique normalized labels
raw_department_name_cells,4946,unique raw-name bundles
duplicate_key_rows,0,duplicate 기준연도+학교명+학과_계열 rows
admission_non_null,3737,raw_percentile_70cut mapped to final key
employment_non_null,7477,employment matched to final key
advancement_non_null,7587,advancement matched to final key
policy_values,"O, X",binary credit-forfeit variable
