column,non_null_n,q1,q3,iqr,lower_bound,upper_bound,lower_outlier_n,upper_outlier_n,out_of_0_100_n,zero_n,outlier_n
입결_프록시,3737,61.4,82.87,21.470000000000006,29.194999999999986,115.07500000000002,165,0,0,0,165
A비율,10242,32.47653929826284,49.94047190971149,17.463932611448648,6.280640381089871,76.13637082688446,365,387,0,319,752
CD비율,10242,10.41239873929138,24.79216425656456,14.379765517273182,-11.15724953661839,46.36181253247433,0,274,0,475,274
F비율,10242,0.5130970003232777,3.510925684266531,2.9978286839432533,-3.983646025591602,8.00766871018141,0,895,0,1808,895
전체취업률,7477,50.0,72.0,22.0,17.0,105.0,103,0,0,78,103
건보가입취업률,7477,41.1764705882353,64.0,22.823529411764703,6.941176470588239,98.23529411764706,143,182,0,136,325
전체진학률,7587,0.0,11.11111111111111,11.11111111111111,-16.666666666666664,27.777777777777775,0,663,0,3098,663
전문대학진학률,7587,0.0,0.0,0.0,0.0,0.0,0,248,0,7339,248
대학진학률,7587,0.0,0.0,0.0,0.0,0.0,0,510,0,7077,510
대학원진학률,7587,0.0,10.84119496855346,10.84119496855346,-16.26179245283019,27.10298742138365,0,656,0,3343,656
국내진학률,7587,0.0,11.11111111111111,11.11111111111111,-16.666666666666664,27.777777777777775,0,660,0,3119,660
국외진학률,7587,0.0,0.0,0.0,0.0,0.0,0,181,0,7406,181
