학점포기제유무,입결_프록시_count,입결_프록시_mean,입결_프록시_median,입결_프록시_std,A비율_count,A비율_mean,A비율_median,A비율_std,CD비율_count,CD비율_mean,CD비율_median,CD비율_std,F비율_count,F비율_mean,F비율_median,F비율_std,전체취업률_count,전체취업률_mean,전체취업률_median,전체취업률_std,건보가입취업률_count,건보가입취업률_mean,건보가입취업률_median,건보가입취업률_std,전체진학률_count,전체진학률_mean,전체진학률_median,전체진학률_std,전문대학진학률_count,전문대학진학률_mean,전문대학진학률_median,전문대학진학률_std,대학진학률_count,대학진학률_mean,대학진학률_median,대학진학률_std,대학원진학률_count,대학원진학률_mean,대학원진학률_median,대학원진학률_std,국내진학률_count,국내진학률_mean,국내진학률_median,국내진학률_std,국외진학률_count,국외진학률_mean,국외진학률_median,국외진학률_std
O,595,84.89883933751008,86.5,8.902586366648503,1149,44.752404227364025,44.00715563506262,14.569273319243313,1149,14.662403979106223,13.134615384615383,9.46953811176,1149,4.471753167065643,2.1211634260003214,10.063912408779451,934,64.28933631030334,64.70588235294117,13.545248063831181,934,53.443827695866,55.0,17.10254985778804,938,12.109491685150434,7.29490022172949,13.489017592307025,938,0.09325384526471331,0.0,1.6655083409661644,938,0.1370128474387348,0.0,0.6037430025942261,938,11.879224992446986,6.997144022847817,13.420462344019635,938,11.890003761965865,6.976744186046512,13.392596161747989,938,0.21948792318456894,0.0,1.108596018574944
X,3142,66.76961222003959,69.755,19.114167185820296,9093,41.344061348738755,39.22024259119385,17.25800876200676,9093,19.10538623932027,18.57142857142857,12.999287160013504,9093,3.869438998477615,1.635060403958892,9.595921964006024,6543,61.2007275855622,61.36363636363637,17.899846612997518,6543,52.56605704064744,52.54237288135593,19.499297139313896,6649,7.845958326886742,2.4390243902439024,12.94282895620575,6649,0.11161781845676581,0.0,0.7932698254776472,6649,0.21074891840320165,0.0,1.0296441228979936,6649,7.523591590026776,1.6129032258064515,12.863162339212638,6649,7.7908297648666975,2.380952380952381,12.893234318536354,6649,0.055128562020044965,0.0,0.5628088762819177
