학교명,rows,dept_labels,admission_non_null,employment_non_null,advancement_non_null,a_rate_mean,employment_rate_mean,advancement_rate_mean,admission_coverage_pct,employment_coverage_pct,advancement_coverage_pct
가야대학교(김해),14,14,5,13,13,43.928647299333555,74.70260060143003,0.9298245614035088,35.714285714285715,92.85714285714286,92.85714285714286
가천대학교,80,80,42,56,57,54.14376308095741,69.2383368899673,8.609414859491128,52.5,70.0,71.25
가톨릭관동대학교,80,80,2,48,48,54.54900682792176,62.56906170472627,5.712429945344373,2.5,60.0,60.0
가톨릭꽃동네대학교,6,6,1,5,5,56.567579401753676,62.54652588919106,6.0,16.666666666666664,83.33333333333334,83.33333333333334
가톨릭대학교,40,40,1,34,34,37.71353936339359,59.898321665639436,11.936107558959462,2.5,85.0,85.0
가톨릭대학교_제2캠퍼스,3,3,0,2,2,37.158299559899945,63.30213903743316,1.4285714285714286,0.0,66.66666666666666,66.66666666666666
가톨릭대학교_제3캠퍼스,1,1,0,0,1,28.89921518841249,,55.55555555555556,0.0,0.0,100.0
감리교신학대학교,1,1,1,0,1,38.83744855967078,,54.3859649122807,100.0,0.0,100.0
강남대학교,31,31,14,20,20,46.043581078294075,60.35233237125642,4.5615258068669755,45.16129032258064,64.51612903225806,64.51612903225806
강서대학교,11,11,6,8,9,37.20409282168593,67.26713496513405,6.2985904162374755,54.54545454545454,72.72727272727273,81.81818181818183
강원대학교,154,154,48,127,127,37.78573691138183,55.66556764871306,12.709397874621656,31.16883116883117,82.46753246753246,82.46753246753246
강원대학교_제2캠퍼스,63,63,22,49,49,39.71296446985663,60.575419759010686,4.550326309433454,34.92063492063492,77.77777777777779,77.77777777777779
건국대학교,68,68,48,64,64,42.66201130268815,64.80328374156275,14.250315448499371,70.58823529411765,94.11764705882352,94.11764705882352
건국대학교(글로컬)_분교,73,73,0,56,56,35.33485561835874,62.63375418339085,5.2070788876106615,0.0,76.71232876712328,76.71232876712328
건양대학교,37,37,18,28,28,28.83256851931959,70.56555448696533,3.1489769820971865,48.64864864864865,75.67567567567568,75.67567567567568
건양대학교_제2캠퍼스,17,17,0,15,15,29.97332474481085,78.46565125904155,4.081947745697914,0.0,88.23529411764706,88.23529411764706
경기대학교,56,56,26,42,42,44.517972423363645,63.59303678175519,5.722685384332043,46.42857142857143,75.0,75.0
경기대학교_제2캠퍼스,15,15,0,9,9,39.92354812667664,67.15604606490358,1.1023972888379667,0.0,60.0,60.0
경남과학기술대학교(폐교),40,40,0,0,0,29.947155333409928,,,0.0,0.0,0.0
경남대학교,77,77,1,56,56,47.710173047125494,59.94517387148323,2.273714629821543,1.2987012987012987,72.72727272727273,72.72727272727273
경동대학교,13,13,0,5,8,45.21608681824042,81.78571428571429,1.3888888888888888,0.0,38.46153846153847,61.53846153846154
경동대학교_제3캠퍼스,13,13,0,11,11,49.32789075848708,73.09351075102559,0.6876508103524439,0.0,84.61538461538461,84.61538461538461
경동대학교_제4캠퍼스,23,23,0,18,18,52.14278083374893,70.30812177190259,0.5701579715916634,0.0,78.26086956521739,78.26086956521739
경북대학교,158,158,96,122,124,34.80705373672329,58.625531959409166,13.820038895382332,60.75949367088608,77.21518987341773,78.48101265822784
경상국립대학교,137,137,99,77,77,38.96442947530741,54.0005280721372,8.30263808829502,72.26277372262774,56.20437956204379,56.20437956204379
경성대학교,86,86,51,67,67,38.18921721418017,54.651234863468325,3.585387125756022,59.30232558139535,77.90697674418605,77.90697674418605
경운대학교,35,35,5,24,24,25.520686963860204,62.901712452380956,0.8131395794538879,14.285714285714285,68.57142857142857,68.57142857142857
경인교육대학교,14,14,0,0,0,23.4091739783546,,,0.0,0.0,0.0
경인교육대학교_제2캠퍼스,14,14,0,14,14,23.64425138464344,59.31217874240268,1.0265848142535703,0.0,100.0,100.0
경일대학교,42,42,22,21,21,43.38233413475137,59.16755397939896,2.056868586657733,52.38095238095239,50.0,50.0
경희대학교,102,102,73,88,88,46.59057375160085,63.34794863835994,13.138971864042617,71.56862745098039,86.27450980392157,86.27450980392157
계명대학교,93,93,66,34,35,32.5680080248989,58.19359474757033,7.383302258059704,70.96774193548387,36.55913978494624,37.634408602150536
고려대학교,67,67,58,57,57,57.591592714670234,67.0523763876599,20.84614966978622,86.56716417910447,85.07462686567165,85.07462686567165
고려대학교(세종)_분교,59,59,23,47,47,29.52880625677056,58.699578470031874,12.536211552395326,38.983050847457626,79.66101694915254,79.66101694915254
고신대학교,31,31,6,22,25,47.570977542598555,61.27615902296771,8.234532937275041,19.35483870967742,70.96774193548387,80.64516129032258
공주교육대학교,12,12,0,12,12,29.44006629231197,63.530669545162304,1.5849753694581281,0.0,100.0,100.0
광신대학교,7,7,0,6,7,38.81654413903484,57.69063180827887,14.342403628117916,0.0,85.71428571428571,100.0
광운대학교,54,54,28,36,36,45.2296185000138,58.711596069990804,10.951568180968735,51.85185185185185,66.66666666666666,66.66666666666666
광주가톨릭대학교,1,1,0,0,1,58.04980127664699,,57.142857142857146,0.0,0.0,100.0
광주과학기술원,10,10,0,7,7,68.53040677073184,81.90476190476191,80.59073694666915,0.0,70.0,70.0
광주교육대학교,13,13,0,13,13,28.159640200893964,58.14563375432941,0.0,0.0,100.0,100.0
광주대학교,57,57,4,35,36,36.274932134404914,63.67071149215712,2.9382217226598755,7.017543859649122,61.40350877192983,63.1578947368421
광주여자대학교,32,32,8,18,19,27.6830437429106,61.920537808952204,1.765430834061963,25.0,56.25,59.375
국립강릉원주대학교(폐교),51,51,0,0,0,35.5768401063442,,,0.0,0.0,0.0
국립강릉원주대학교_제2캠퍼스(폐교),11,11,0,0,0,34.83053132846362,,,0.0,0.0,0.0
국립경국대학교,73,73,11,54,54,33.577899811434925,56.58535554934468,7.755704642101754,15.068493150684931,73.97260273972603,73.97260273972603
국립공주대학교,128,128,79,97,97,35.18316291898565,55.059065235083835,9.061066188099302,61.71875,75.78125,75.78125
국립군산대학교,62,62,44,44,44,37.46738161787303,51.8350002752467,7.423900098479427,70.96774193548387,70.96774193548387,70.96774193548387
국립금오공과대학교,30,30,18,25,25,35.47594801449884,59.100338955322485,14.418544340345006,60.0,83.33333333333334,83.33333333333334
국립목포대학교,65,65,0,60,60,43.73678682485898,67.99196889623424,5.4327785461095806,0.0,92.3076923076923,92.3076923076923
국립목포해양대학교,14,14,12,11,11,44.87627537522062,75.10934966261573,1.5720280256770194,85.71428571428571,78.57142857142857,78.57142857142857
국립부경대학교,120,120,19,85,85,51.365538693550135,60.29670636971214,10.112070259394887,15.833333333333332,70.83333333333334,70.83333333333334
국립순천대학교,67,67,0,57,57,38.65222973420412,58.57697295290595,6.59435158518713,0.0,85.07462686567165,85.07462686567165
국립창원대학교,54,54,21,45,45,41.611169173596394,54.96449555281496,8.248034751876705,38.88888888888889,83.33333333333334,83.33333333333334
국립한국교통대학교,80,80,43,46,46,38.772486878627824,65.84812915063402,4.9419433127143835,53.75,57.49999999999999,57.49999999999999
국립한국해양대학교,28,28,19,16,16,43.24105141166427,62.24654303602234,12.901987570166542,67.85714285714286,57.14285714285714,57.14285714285714
국립한밭대학교,41,41,22,27,27,45.91997677936831,62.78640655340391,7.83576645972971,53.65853658536586,65.85365853658537,65.85365853658537
국민대학교,89,89,38,76,76,47.23389447441238,66.61535443514636,10.136948581815608,42.69662921348314,85.39325842696628,85.39325842696628
극동대학교,40,40,17,26,26,49.97943928283253,60.456078913914325,1.1527932011823465,42.5,65.0,65.0
금강대학교,8,8,1,5,6,59.834451334199315,49.77777777777778,4.510279510279511,12.5,62.5,75.0
김천대학교,24,24,5,18,18,28.812517234385705,74.67997941691472,1.1315924219150026,20.833333333333336,75.0,75.0
나사렛대학교,52,52,8,37,38,43.858099557921314,68.2326062520296,2.469898935925752,15.384615384615385,71.15384615384616,73.07692307692307
남부대학교,19,19,8,17,19,40.80628123975086,64.67403822626946,0.9126351231614391,42.10526315789473,89.47368421052632,100.0
남서울대학교,41,41,33,37,38,36.99969474312672,67.31110882295467,1.7900535666515804,80.48780487804879,90.2439024390244,92.6829268292683
단국대학교,48,48,28,41,43,37.812460591670494,59.07671719347002,8.392987843299217,58.333333333333336,85.41666666666666,89.58333333333334
