category_column,category_rank,category_value,color_hex
기준연도,1,2024,#4E79A7
학교명,1,경북대학교,#4E79A7
학교명,2,강원대학교,#F28E2B
학교명,3,신라대학교,#59A14F
학교명,4,동의대학교,#E15759
학교명,5,경상국립대학교,#76B7B2
학교명,6,국립공주대학교,#EDC948
학교명,7,대구가톨릭대학교,#B07AA1
학교명,8,전북대학교,#FF9DA7
학교명,9,국립부경대학교,#9C755F
학교명,10,한국외국어대학교,#BAB0AC
학교명,11,대구한의대학교,#4E79A7
학교명,12,동아대학교,#F28E2B
학교명,13,부산대학교,#59A14F
학교명,14,전주대학교,#E15759
학교명,15,충북대학교,#76B7B2
학교명,16,이화여자대학교,#EDC948
학교명,17,충남대학교,#B07AA1
학교명,18,경희대학교,#FF9DA7
학교명,19,연세대학교,#9C755F
학교명,20,영남대학교,#BAB0AC
학교명,21,상지대학교,#4E79A7
학교명,22,목원대학교,#F28E2B
학교명,23,한신대학교,#59A14F
학교명,24,전남대학교,#E15759
학교명,25,서울대학교,#76B7B2
학교명,26,제주대학교,#EDC948
학교명,27,계명대학교,#B07AA1
학교명,28,대구대학교,#FF9DA7
학교명,29,국민대학교,#9C755F
학교명,30,조선대학교,#BAB0AC
학과_계열,1,경영,#4E79A7
학과_계열,2,사회복지,#F28E2B
학과_계열,3,간호,#59A14F
학과_계열,4,컴퓨터공,#E15759
학과_계열,5,식품영양,#76B7B2
학과_계열,6,행정,#EDC948
학과_계열,7,건축,#B07AA1
학과_계열,8,영어영문,#FF9DA7
학과_계열,9,유아교육과,#9C755F
학과_계열,10,기계공,#BAB0AC
학과_계열,11,전자공,#4E79A7
학과_계열,12,국어국문,#F28E2B
학과_계열,13,화,#59A14F
학과_계열,14,경제,#E15759
학과_계열,15,수,#76B7B2
학과_계열,16,수학교육과,#EDC948
학과_계열,17,영어교육과,#B07AA1
학과_계열,18,물리치료,#FF9DA7
학과_계열,19,법,#9C755F
학과_계열,20,생명과,#BAB0AC
학과_계열,21,신소재공,#4E79A7
학과_계열,22,경찰행정,#F28E2B
학과_계열,23,국어교육과,#59A14F
학과_계열,24,교육,#E15759
학과_계열,25,건축공,#76B7B2
학과_계열,26,사,#EDC948
학과_계열,27,음악,#B07AA1
학과_계열,28,전기공,#FF9DA7
학과_계열,29,화학공,#9C755F
학과_계열,30,물리,#BAB0AC
학점포기제유무,1,O,#2F80ED
학점포기제유무,2,X,#F2994A
