column,입결_프록시,A비율,CD비율,F비율,전체취업률,건보가입취업률,전체진학률,전문대학진학률,대학진학률,대학원진학률,국내진학률,국외진학률
입결_프록시,1.0,0.23522273767811533,-0.09785287937509851,-0.058082465498475004,0.07364673331592811,0.0923579484683797,0.2454950655083183,-0.07673731978877828,0.008533079428352942,0.24839812836992844,0.2432400511967783,0.08780947933168506
A비율,0.23522273767811533,1.0,-0.6286400755700167,-0.32379906257390917,0.02927839682895299,-0.037124764439447934,0.146939956427812,0.02496003836181333,0.007057392629295777,0.14543156731467044,0.14501441059027206,0.05177043563935782
CD비율,-0.09785287937509851,-0.6286400755700167,1.0,-0.040471971237124024,-0.024549936691192507,0.03146356263729116,-0.08203742267962645,-0.020041703982748623,0.00407766437401053,-0.08135987402563831,-0.07982653176699193,-0.0514048411659094
F비율,-0.058082465498475004,-0.32379906257390917,-0.040471971237124024,1.0,-0.025314450425820503,-0.04609877376298116,-0.054080804350403924,-0.0005524451696825553,0.02348963312397411,-0.05613245829374864,-0.055456716858446976,0.02224199165293847
전체취업률,0.07364673331592811,0.02927839682895299,-0.024549936691192507,-0.025314450425820503,1.0,0.803160732124848,-0.009430593348982783,0.003559605763390095,-0.005872000854821884,-0.00922710090912488,-0.009818798006717947,0.006372095545012568
건보가입취업률,0.0923579484683797,-0.037124764439447934,0.03146356263729116,-0.04609877376298116,0.803160732124848,1.0,-0.033620250779342976,-0.0034390687930425756,-0.0042042535629801675,-0.03325439019084779,-0.03253054399753654,-0.023707115404615266
전체진학률,0.2454950655083183,0.146939956427812,-0.08203742267962645,-0.054080804350403924,-0.009430593348982783,-0.033620250779342976,1.0,0.04865414593528103,0.1007050284669697,0.9945465271126561,0.9987427439434178,0.11763405795797605
전문대학진학률,-0.07673731978877828,0.02496003836181333,-0.020041703982748623,-0.0005524451696825553,0.003559605763390095,-0.0034390687930425756,0.04865414593528103,1.0,-0.003274973251017346,-0.023490806650927887,0.048325199301009494,0.011028018020501374
대학진학률,0.008533079428352942,0.007057392629295777,0.00407766437401053,0.02348963312397411,-0.005872000854821884,-0.0042042535629801675,0.1007050284669697,-0.003274973251017346,1.0,0.025644255279420478,0.09867145177554759,0.04962325835038173
대학원진학률,0.24839812836992844,0.14543156731467044,-0.08135987402563831,-0.05613245829374864,-0.00922710090912488,-0.03325439019084779,0.9945465271126561,-0.023490806650927887,0.025644255279420478,1.0,0.9934602784648272,0.1137407171426646
국내진학률,0.2432400511967783,0.14501441059027206,-0.07982653176699193,-0.055456716858446976,-0.009818798006717947,-0.03253054399753654,0.9987427439434178,0.048325199301009494,0.09867145177554759,0.9934602784648272,1.0,0.06770506049890723
국외진학률,0.08780947933168506,0.05177043563935782,-0.0514048411659094,0.02224199165293847,0.006372095545012568,-0.023707115404615266,0.11763405795797605,0.011028018020501374,0.04962325835038173,0.1137407171426646,0.06770506049890723,1.0
