step,input,output,rule
read_only_load,workbook/p2/p2_3/p4_handoff_candidate/shared/mart_department_model_base_2024.parquet,,no source mutation
sample_membership_v3,D08 + stable keys,workbook/p2/p2_4/p4_cleaning_handoff_v3/data/model_sample_membership_v3.parquet,outcome_row_id/stable key only
column_registry_v3,D08 columns + base registry + source schema,workbook/p2/p2_4/p4_cleaning_handoff_v3/artifacts/department_model_column_registry_v3.csv,"semantic classification, no positional join"
