analysis_year,outcome_row_id,school_name_raw,school_name_base_raw,school_name_std,campus_name_raw_x,campus_seq,campus_branch,campus_name_std_x,dept_name_raw,dept_name_std,dept_field_raw,dept_field_std,credit_forfeit_flag,selectivity_proxy_pct,a_rate_pct,cd_rate_pct,f_rate_pct,employment_rate_pct,health_employment_rate_pct,progression_rate_pct,vocational_college_progression_rate_pct,university_progression_rate_pct,graduate_school_progression_rate_pct,domestic_progression_rate_pct,overseas_progression_rate_pct,has_selectivity,has_employment,has_progression,rate_range_qa,source_file,source_sha256,campus_region_raw,dept_norm_strict,dept_norm_suffix_reduced,dept_token_signature,school_uid_x,headcount_row_id,match_stage,match_method,match_status,match_score,candidate_count,review_needed,unmatched_reason,match_evidence,candidate_headcount_row_ids,candidate_preview,campus_conflict_flag,degree_course_conflict_flag,major_conflict_flag,forbidden_modifier_conflict_flag,headcount_match_flag,headcount_grain_version,headcount_grain_uid,grain_resolution_method,grain_review_needed,raw_row_lineage,school_uid_y,campus_uid,dept_uid,kedi_dept_code,school_type,degree_course,school_status_raw,day_evening_raw,campus_name_raw_y,campus_name_std_y,region_sido,region_sigungu,hc_major_group_raw,hc_major_group_7,field_middle_name,field_small_name,admission_capacity_n,recruitment_n,applicants_n,admits_n,enrolled_students_n,leave_students_n,graduates_n,fulltime_faculty_n,nonfulltime_faculty_n,international_students_n,female_students_n,masters_students_n,doctoral_students_n,competition_ratio,admission_yield_ratio,admit_per_applicant_ratio,leave_rate_pct,female_student_share_pct,international_student_share_pct,student_faculty_ratio,fulltime_faculty_share_pct,log_enrolled_students,log_graduates,school_uid,major_group_7,major7_mapping_method,major7_mapping_confidence,major7_candidate_count,major7_review_needed,major7_evidence,major7_sample_exclusion_rule,has_structure_context,has_major_group_7_high_medium,row_qa_status,ctx24_reference_sample_n,ctx24_mean_income_10kkrw,ctx24_median_income_10kkrw,ctx24_income_300plus_pct,ctx24_income_400plus_pct,ctx24_large_company_pct,ctx24_mid_company_pct,ctx24_small_company_pct,ctx24_large_mid_company_pct,ctx24_public_nonprofit_pct,ctx24_cert_rate_pct,ctx24_cert_per_person,ctx24_log10_mean_income,ctx24_industry_top3_pct,ctx24_industry_hhi,goms_profile_start_year,goms_profile_end_year,goms_profile_years_n,goms_aggregation_method,goms_recent_employment_rate_pct,goms_recent_firm_300plus_pct,goms_recent_public_nonprofit_pct,goms_recent_permanent_pct,goms_recent_unstable_pct,goms_recent_self_employed_pct,goms_recent_industry_hhi,goms_recent_industry_top3_pct,goms_recent_professional_highskill_pct,goms_recent_mean_income_10kkrw,goms_recent_weekly_work_hours,goms_recent_hourly_income_proxy,goms_income_trend_per_year,goms_hours_trend_per_year,goms_firm_300plus_trend_per_year,goms_permanent_trend_per_year,goms_latest_2019_mean_income_10kkrw,goms_latest_2019_weekly_work_hours,goms_latest_2019_firm_300plus_pct,goms_latest_2019_permanent_pct,goms_source_years_observed,goms_year_over_year_review_flag,goms_mapping_confidence,goms_row_qa_status,drop_reasons,rate_extreme_targets
2024,OC2024_00008,가야대학교(김해),가야대학교,가야대학교,김해,,,unknown,사회복지상담학과 | 사회복지상담학과(3년과정),사회복지상담학과사회복지상담학과3년과정,사회복지상담,사회복지상담,False,85.14667,57.85181,7.277508,0.8905484,56.25,52.083332,2.0,0.0,0.0,2.0,2.0,0.0,True,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,김해,사회복지상담학과사회복지상담학과3년과정,사회복지상담학과사회복지상담학과3년과정,사회복지상담학과사회복지상담학과3년과정,SCH_4fcb5ca730cd,,L7,manual_pending,manual_pending,1.0,2,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_07149|HC2_2024_07152,사회복지상담학과 | 사회복지상담학과(3년과정),False,False,False,False,False,,,,,,,CAM_40d7469e00a5,DEP_bd80c82f00c9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH_4fcb5ca730cd,SOC,exact_dictionary,medium,1,False,unique dictionary inherited from matched rows: dept_field_std=사회복지상담,,False,True,manual_match_pending,65600.0,300.3,250.5,32.47256,16.07622,11.987804,6.647866,42.675304,18.635672,32.72256,44.5,0.7960061,2.4775553,,,2017,2019,3,mixed_weighted_2017_2019,69.609535,20.332579,31.614683,79.11846,16.265503,4.28632,0.08301936,33.00704,23.923975,235.45967,42.231544,1.2835511,3.110989,-0.40109885,0.21868132,-0.37142864,234.6,41.9,22.7,78.5,3,False,medium_reviewed,PASS,structure_unresolved,
2024,OC2024_00009,가야대학교(김해),가야대학교,가야대학교,김해,,,unknown,스포츠재활복지학과,스포츠재활복지학과,스포츠재활복지,스포츠재활복지,False,86.89667,28.596071,26.954618,5.378185,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,김해,스포츠재활복지학과,스포츠재활복지,스포츠재활복지,SCH_4fcb5ca730cd,HC2_2024_07163,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_07163,스포츠재활복지학과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_a8cca226f1d5,semantic_distinct_key_expansion,False,7247,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_fdad9ba41601,U06040200076,대학교,대학과정,기존,주야간,본교(제1캠퍼스),본교_제1캠퍼스,경남,경남 김해시,의약계열,MED,치료ㆍ보건,재활학,45,46,144,26,125,39,0,0,0,0,10,0,0,3.1304348,0.5652174,0.18055555,31.2,8.0,0.0,,,4.836282,0.0,SCH_4fcb5ca730cd,MED,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=의약계열,,True,True,ok,41094.0,314.3,282.4,43.334793,13.206307,1.6036404,0.99284565,48.612938,2.596486,48.32579,25.2,0.41395336,2.4973443,,,2017,2019,3,mixed_weighted_2017_2019,83.63194,34.586937,42.84097,88.36591,10.131062,1.1710143,0.61685634,85.754974,88.55697,261.6941,44.960068,1.3403994,5.2401094,-0.40384626,-0.10659337,-0.19505486,271.8,44.8,37.2,89.7,3,False,medium_reviewed,PASS,rate_extreme_small_denominator,graduate_school_progression_rate_pct|employment_rate_pct|progression_rate_pct
2024,OC2024_00010,가야대학교(김해),가야대학교,가야대학교,김해,,,unknown,안경광학과,안경광학과,안경광,안경광,False,,67.22408,0.0,0.0,72.72727,59.090908,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,김해,안경광학과,안경광,안경광,SCH_4fcb5ca730cd,,L7,manual_pending,manual_pending,1.0,1,True,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,HC2_2024_07157,안경광학과,False,False,False,False,False,,,,,,,CAM_40d7469e00a5,DEP_5802fe676c9f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH_4fcb5ca730cd,MED,keyword_rule,medium,1,False,MED:안경광,,False,True,manual_match_pending,41094.0,314.3,282.4,43.334793,13.206307,1.6036404,0.99284565,48.612938,2.596486,48.32579,25.2,0.41395336,2.4973443,,,2017,2019,3,mixed_weighted_2017_2019,83.63194,34.586937,42.84097,88.36591,10.131062,1.1710143,0.61685634,85.754974,88.55697,261.6941,44.960068,1.3403994,5.2401094,-0.40384626,-0.10659337,-0.19505486,271.8,44.8,37.2,89.7,3,False,medium_reviewed,PASS,structure_unresolved,
2024,OC2024_00011,가야대학교(김해),가야대학교,가야대학교,김해,,,unknown,외식조리영양학부,외식조리영양학부,외식조리영양,외식조리영양,False,,61.11111,4.292929,0.0,88.888885,88.888885,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,김해,외식조리영양학부,외식조리영양,외식조리영양,SCH_4fcb5ca730cd,HC2_2024_07158,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_07158,외식조리영양학부,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_3bd03b25661d,semantic_distinct_key_expansion,False,7242,SCH_4fcb5ca730cd,CAM_60c4060f5f80,DEP_8063220840e5,U05030200189,대학교,대학과정,기존,주야간,본교(제1캠퍼스),본교_제1캠퍼스,경남,경남 김해시,자연계열,NAT,생활과학,식품영양학,0,0,0,0,8,0,9,2,0,1,2,0,0,,,,0.0,25.0,12.5,4.0,100.0,2.1972246,2.3025851,SCH_4fcb5ca730cd,NAT,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=자연계열,,True,True,ok,22406.0,281.8,248.9,27.327501,11.394269,14.424707,7.5560117,53.94091,21.980719,22.244041,58.9,1.2636347,2.449941,,,2017,2019,3,mixed_weighted_2017_2019,66.61616,20.634125,30.696854,74.28932,20.130655,5.349733,0.12014718,51.656002,45.12405,224.64595,43.161877,1.1981739,3.6252742,-0.35879117,0.05824176,-0.73626345,225.2,42.5,19.9,73.8,3,False,medium_reviewed,PASS,rate_extreme_small_denominator,f_rate_pct
2024,OC2024_00015,가천대학교,가천대학교,가천대학교,,,,unknown,AI・소프트웨어학부(소프트웨어전공) | AI・소프트웨어학부(인공지능전공),ai소프트웨어학부소프트웨어전공ai소프트웨어학부인공지능전공,AI・소프트웨어,ai소프트웨어,False,,56.090355,10.651625,1.5994529,67.59259,63.88889,12.195122,0.0,0.0,12.195122,12.195122,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,ai소프트웨어학부소프트웨어전공ai소프트웨어학부인공지능전공,ai소프트웨어학부소프트웨어전공ai소프트웨어학부인공지능,ai소프트웨어학부소프트웨어전공ai소프트웨어학부인공지능,SCH_e46f0f22fdd7,,L7,manual_pending,manual_pending,1.0,2,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_08946|HC2_2024_08947,AI?소프트웨어학부(인공지능전공) | AI?소프트웨어학부(소프트웨어전공),False,False,False,False,False,,,,,,,CAM_aac084de6912,DEP_77764d6b3d71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH_e46f0f22fdd7,ENG,exact_dictionary,medium,1,False,unique dictionary inherited from matched rows: dept_field_std=ai소프트웨어,,False,True,manual_match_pending,72776.0,328.1,290.0,46.69534,23.572332,21.148455,11.050346,53.18924,32.198803,13.8946905,60.9,1.4257035,2.5160062,,,2017,2019,3,mixed_weighted_2017_2019,73.06597,29.134941,21.277163,84.83454,12.588641,2.2768211,0.1463535,55.03566,55.70421,255.02893,44.32286,1.3250608,4.2510996,-0.4412088,0.08021988,-0.39945042,260.6,43.7,30.0,84.8,3,False,medium_reviewed,PASS,structure_unresolved,
2024,OC2024_00017,가천대학교,가천대학교,가천대학교,,,,unknown,건축학부,건축학부,건축,건축,False,83.87,8.695652,46.58385,17.391304,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,건축학부,건축,건축,SCH_e46f0f22fdd7,HC2_2024_08913,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_08913,건축학부,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_bdf3d1fe9662,semantic_distinct_key_expansion,False,9007,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_b052289f2f22,U04010200013,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,경기,경기 성남시,공학계열,ENG,건축,건축학,120,136,2635,136,167,17,0,19,84,21,65,0,0,19.375,1.0,0.051612902,10.179641,38.922157,12.57485,1.6213592,18.446602,5.123964,0.0,SCH_e46f0f22fdd7,ENG,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=공학계열,,True,True,ok,72776.0,328.1,290.0,46.69534,23.572332,21.148455,11.050346,53.18924,32.198803,13.8946905,60.9,1.4257035,2.5160062,,,2017,2019,3,mixed_weighted_2017_2019,73.06597,29.134941,21.277163,84.83454,12.588641,2.2768211,0.1463535,55.03566,55.70421,255.02893,44.32286,1.3250608,4.2510996,-0.4412088,0.08021988,-0.39945042,260.6,43.7,30.0,84.8,3,False,medium_reviewed,PASS,rate_extreme_small_denominator,health_employment_rate_pct|graduate_school_progression_rate_pct|employment_rate_pct|progression_rate_pct
2024,OC2024_00020,가천대학교,가천대학교,가천대학교,,,,unknown,게임・영상학과,게임영상학과,게임・영상,게임영상,False,,35.16828,19.758503,4.9551253,58.82353,58.82353,4.5454545,0.0,0.0,4.5454545,4.5454545,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,게임영상학과,게임영상,게임영상,SCH_e46f0f22fdd7,,L7,manual_pending,manual_pending,1.0,1,True,multiple_fuzzy_or_conflict,fuzzy candidates need manual review,HC2_2024_08948,게임?영상학과,False,False,False,False,False,,,,,,,CAM_aac084de6912,DEP_2cdbb115dab5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH_e46f0f22fdd7,ART,keyword_rule,medium,1,False,ART:영상,,False,True,manual_match_pending,22813.0,234.7,217.5,13.426555,4.8919477,8.214615,4.633323,70.78858,12.847938,15.434182,32.5,0.5230351,2.3705132,,,2017,2019,3,mixed_weighted_2017_2019,70.64433,8.162268,16.418356,63.28796,26.055664,10.322768,0.10221141,40.676308,54.354107,189.76112,39.008335,1.120742,3.2362635,-0.54560447,-0.1901099,-0.67307705,192.7,37.6,9.4,63.1,3,False,medium_reviewed,PASS,structure_unresolved,
2024,OC2024_00021,가천대학교,가천대학교,가천대학교,,,,unknown,경영학부 | 경영학부(경영학) | 경영학부(글로벌경영학) | 경영학부,경영학부경영학부경영학경영학부글로벌경영학경영학부,경영,경영,False,82.3,45.66866,21.180695,6.5121675,64.583336,54.464287,0.56390977,0.0,0.37593985,0.18796992,0.37593985,0.18796992,True,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,경영학부경영학부경영학경영학부글로벌경영학경영학부,경영학부경영학부경영학경영학부글로벌경영학경영,경영학부경영학부경영학경영학부글로벌경영학경영,SCH_e46f0f22fdd7,,L7,manual_pending,manual_pending,1.0,3,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_08887|HC2_2024_08893|HC2_2024_08894,경영학부 | 경영학부(글로벌경영학) | 경영학부(경영학),False,False,False,False,False,,,,,,,CAM_aac084de6912,DEP_15998cb84b67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH_e46f0f22fdd7,SOC,exact_dictionary,medium,1,False,unique dictionary inherited from matched rows: dept_field_std=경영,,False,True,manual_match_pending,65600.0,300.3,250.5,32.47256,16.07622,11.987804,6.647866,42.675304,18.635672,32.72256,44.5,0.7960061,2.4775553,,,2017,2019,3,mixed_weighted_2017_2019,69.609535,20.332579,31.614683,79.11846,16.265503,4.28632,0.08301936,33.00704,23.923975,235.45967,42.231544,1.2835511,3.110989,-0.40109885,0.21868132,-0.37142864,234.6,41.9,22.7,78.5,3,False,medium_reviewed,PASS,structure_unresolved,
2024,OC2024_00024,가천대학교,가천대학교,가천대학교,,,,unknown,경찰・안보학과,경찰안보학과,경찰・안보,경찰안보,False,,37.5,37.5,0.0,68.85246,65.57377,0.0,0.0,0.0,0.0,0.0,0.0,False,True,True,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,경찰안보학과,경찰안보,경찰안보,SCH_e46f0f22fdd7,HC2_2024_08908,L1,exact_strict,auto_high_confidence,1.0,1,False,,school+campus+department strict exact unique,HC2_2024_08908,경찰?안보학과,False,False,False,False,True,v2_year_school_campus_day_degree_deptcode,HCG_6b226c65d416,semantic_distinct_key_expansion,False,9002,SCH_e46f0f22fdd7,CAM_2ed1e6c2a9e7,DEP_d784565c0616,U02030700239,대학교,대학과정,기존,주간,본교(제1캠퍼스),본교_제1캠퍼스,경기,경기 성남시,사회계열,SOC,사회과학,행정학,0,0,0,0,0,0,61,0,0,0,0,0,0,,,,,,,,,0.0,4.1271343,SCH_e46f0f22fdd7,SOC,inherited_headcount,high,1,False,D01 v2 high-confidence match 대계열=사회계열,,True,True,ok,65600.0,300.3,250.5,32.47256,16.07622,11.987804,6.647866,42.675304,18.635672,32.72256,44.5,0.7960061,2.4775553,,,2017,2019,3,mixed_weighted_2017_2019,69.609535,20.332579,31.614683,79.11846,16.265503,4.28632,0.08301936,33.00704,23.923975,235.45967,42.231544,1.2835511,3.110989,-0.40109885,0.21868132,-0.37142864,234.6,41.9,22.7,78.5,3,False,medium_reviewed,PASS,rate_extreme_small_denominator,f_rate_pct
2024,OC2024_00030,가천대학교,가천대학교,가천대학교,,,,unknown,기계・스마트・산업공학부(기계공학전공) | 기계・스마트・산업공학부(산업공학전공) | 기계・스마트・산업공학부(스마트팩토리전공),기계스마트산업공학부기계공학전공기계스마트산업공학부산업공학전공기계스마트산업공학부스마트팩토리전공,기계・스마트・산업공,기계스마트산업공,False,,54.775883,17.48733,2.029867,,,,,,,,,False,False,False,ok,P2_G2_정시입결.csv,2530f88a0d923edf11c83e5884d2bb47d1811679cc9b6198b0d3384c50950b04,,기계스마트산업공학부기계공학전공기계스마트산업공학부산업공학전공기계스마트산업공학부스마트팩토리전공,기계스마트산업공학부기계공학전공기계스마트산업공학부산업공학전공기계스마트산업공학부스마트팩토리,기계스마트산업공학부기계공학전공기계스마트산업공학부산업공학전공기계스마트산업공학부스마트팩토리,SCH_e46f0f22fdd7,,L7,manual_pending,manual_pending,1.0,3,True,multiple_candidates,"school+campus+department strict exact unique; multiple D01 rows remain, no automatic choice",HC2_2024_08921|HC2_2024_08950|HC2_2024_08955,기계?스마트?산업공학부(기계공학전공) | 기계?스마트?산업공학부(산업공학전공) | 기계?스마트?산업공학부(스마트팩토리전공),False,False,False,False,False,,,,,,,CAM_aac084de6912,DEP_eb625033bfdc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH_e46f0f22fdd7,ENG,keyword_rule,medium,1,False,ENG:기계/산업공학/공학,,False,True,manual_match_pending,72776.0,328.1,290.0,46.69534,23.572332,21.148455,11.050346,53.18924,32.198803,13.8946905,60.9,1.4257035,2.5160062,,,2017,2019,3,mixed_weighted_2017_2019,73.06597,29.134941,21.277163,84.83454,12.588641,2.2768211,0.1463535,55.03566,55.70421,255.02893,44.32286,1.3250608,4.2510996,-0.4412088,0.08021988,-0.39945042,260.6,43.7,30.0,84.8,3,False,medium_reviewed,PASS,structure_unresolved,
