outcome_row_id,school_name_raw,campus_name_raw_x,dept_name_raw,dept_name_std,major_group_7,match_status,match_method,unmatched_reason,row_qa_status,review_needed,headcount_match_flag,campus_conflict_flag,major7_mapping_method,major7_mapping_confidence,major7_review_needed,graduates_n,enrolled_students_n,applicants_n,a_rate_pct,cd_rate_pct,f_rate_pct,selectivity_proxy_pct,health_employment_rate_pct,graduate_school_progression_rate_pct,employment_rate_pct,progression_rate_pct,drop_structure_unresolved,drop_campus_conflict,drop_major7_unresolved,drop_d08_key_duplicate,drop_normalized_name_duplicate,drop_core_identity_missing,target_extreme_small_denom__a_rate_pct,target_extreme_small_denom__cd_rate_pct,target_extreme_small_denom__f_rate_pct,target_extreme_small_denom__selectivity_proxy_pct,target_extreme_small_denom__health_employment_rate_pct,target_extreme_small_denom__graduate_school_progression_rate_pct,target_extreme_small_denom__employment_rate_pct,target_extreme_small_denom__progression_rate_pct,drop_rate_extreme_small_denominator,strict_drop,strict_keep,drop_reasons,rate_extreme_targets
OC2024_00015,가천대학교,,AI・소프트웨어학부(소프트웨어전공) | AI・소프트웨어학부(인공지능전공),ai소프트웨어학부소프트웨어전공ai소프트웨어학부인공지능전공,ENG,manual_pending,manual_pending,multiple_candidates,manual_match_pending,True,False,False,exact_dictionary,medium,False,,,,56.090355,10.651625,1.5994529,,63.88889,12.195122,67.59259,12.195122,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00016,가천대학교,,간호학과,간호학과,MED,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,250,1306,6159,63.72685,15.859268,0.09518865,88.92,57.894737,0.4,64.77733,0.8,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00017,가천대학교,,건축학부,건축학부,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,167,2635,8.695652,46.58385,17.391304,83.87,100.0,0.0,100.0,0.0,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,False,rate_extreme_small_denominator,health_employment_rate_pct|graduate_school_progression_rate_pct|employment_rate_pct|progression_rate_pct
OC2024_00018,가천대학교,,건축공학전공,건축공학전공,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,44,177,0,51.92629,19.423117,2.056895,,61.53846,6.818182,64.10256,6.818182,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00019,가천대학교,,건축학전공,건축학전공,ENG,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,31,315,0,50.295258,16.987837,2.8221695,,90.0,0.0,93.333336,3.2258065,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00020,가천대학교,,게임・영상학과,게임영상학과,ART,manual_pending,manual_pending,multiple_fuzzy_or_conflict,manual_match_pending,True,False,False,keyword_rule,medium,False,,,,35.16828,19.758503,4.9551253,,58.82353,4.5454545,58.82353,4.5454545,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00021,가천대학교,,경영학부 | 경영학부(경영학) | 경영학부(글로벌경영학) | 경영학부,경영학부경영학부경영학경영학부글로벌경영학경영학부,SOC,manual_pending,manual_pending,multiple_candidates,manual_match_pending,True,False,False,exact_dictionary,medium,False,,,,45.66866,21.180695,6.5121675,82.3,54.464287,0.18796992,64.583336,0.56390977,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,structure_unresolved,
OC2024_00022,가천대학교,,경영학전공,경영학전공,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,0,1944,0,50.05451,20.172699,3.6299584,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00023,가천대학교,,경제학과,경제학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,86,774,1203,51.8384,19.3133,3.2238357,82.15,45.945946,1.1627907,48.648647,1.1627907,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,
OC2024_00024,가천대학교,,경찰・안보학과,경찰안보학과,SOC,auto_high_confidence,exact_strict,,ok,False,True,False,inherited_headcount,high,False,61,0,0,37.5,37.5,0.0,,65.57377,0.0,68.85246,0.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,rate_extreme_small_denominator,f_rate_pct
