model_id,sample_id,target,feature,recommended,reason
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,campus_branch,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,credit_forfeit_flag,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,degree_course,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,female_student_share_pct,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,fulltime_faculty_share_pct,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,graduate_school_progression_rate_pct,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,health_employment_rate_pct,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,international_student_share_pct,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,leave_rate_pct,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,major_group_7,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,region_sido,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,school_type,True,included in source-pruned phase contract
P1_STRUCTURE,P1_STRUCTURE_READY,a_rate_pct,student_faculty_ratio,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,admission_yield_ratio,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,admit_per_applicant_ratio,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,campus_branch,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,competition_ratio,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,credit_forfeit_flag,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,degree_course,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,female_student_share_pct,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,fulltime_faculty_share_pct,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,graduate_school_progression_rate_pct,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,health_employment_rate_pct,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,international_student_share_pct,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,leave_rate_pct,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,major_group_7,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,region_sido,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,school_type,True,included in source-pruned phase contract
P1_SELECTIVITY,P1_SELECTIVITY_READY,a_rate_pct,student_faculty_ratio,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,campus_branch,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,credit_forfeit_flag,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,degree_course,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,female_student_share_pct,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,fulltime_faculty_share_pct,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,international_student_share_pct,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,leave_rate_pct,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,major_group_7,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,region_sido,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,school_type,True,included in source-pruned phase contract
P2_S,P2_STRUCTURE_READY,a_rate_pct,student_faculty_ratio,True,included in source-pruned phase contract
P2_Q,P2_SELECTIVITY_READY,a_rate_pct,admission_yield_ratio,True,included in source-pruned phase contract
