candidate_type,table_candidate_n,university_n,high_priority_n,percent_table_n,result_table_like_n,median_score,max_score
csat_reflection_ratio,849,51,458,542,249,12.0,52
selection_element,339,51,174,183,4,10.0,27
score_conversion,46,30,25,12,0,10.0,48
english_korean_history,15,12,4,3,0,7.0,27
minimum_standard,20,17,2,14,0,8.0,13
other,37,19,0,37,0,4.0,4
