metric,value
registry_university_n,51
html_cache_n,51
guide_link_candidate_n,102
rule_table_candidate_n,1306
high_priority_rule_table_n,663
rule_text_snippet_n,1008
cache_rule_candidate_university_n,51
partial_cache_candidate_university_n,0
need_external_guide_university_n,0
external_collection_first_university_n,0
top_review_queue_row_n,255
