univ_id,univ_name_std,source_id,anchor_index,anchor_text,href,candidate_type,keyword_hit_json
U0000052,건국대학교,SRC_0000052_2025_0011,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000192,한국외국어대학교,SRC_0000192_2025_0012,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000192,한국외국어대학교,SRC_0000192_2025_0012,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000100,동국대학교,SRC_0000100_2025_0013,75,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000100,동국대학교,SRC_0000100_2025_0013,76,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000212,홍익대학교,SRC_0000212_2025_0014,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000212,홍익대학교,SRC_0000212_2025_0014,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000143,숭실대학교,SRC_0000143_2025_0015,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000143,숭실대학교,SRC_0000143_2025_0015,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000141,숙명여자대학교,SRC_0000141_2025_0016,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000141,숙명여자대학교,SRC_0000141_2025_0016,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000078,국민대학교,SRC_0000078_2025_0017,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000078,국민대학교,SRC_0000078_2025_0017,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000014,부산대학교,SRC_0000014_2025_0018,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000014,부산대학교,SRC_0000014_2025_0018,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000138,세종대학교,SRC_0000138_2025_0019,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000138,세종대학교,SRC_0000138_2025_0019,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000146,아주대학교,SRC_0000146_2025_0020,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000146,아주대학교,SRC_0000146_2025_0020,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000036,서울과학기술대학교,SRC_0000036_2025_0021,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000036,서울과학기술대학교,SRC_0000036_2025_0021,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000005,경북대학교,SRC_0000005_2025_0022,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000005,경북대학교,SRC_0000005_2025_0022,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000169,인하대학교,SRC_0000169_2025_0023,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
U0000169,인하대학교,SRC_0000169_2025_0023,75,Hancom 한글 Viewer 한컴오피스 한글 뷰어 프로그램,https://www.hancom.com/cs_center/csDownload.do,other,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 0}"
U0000136,성신여자대학교,SRC_0000136_2025_0024,74,Adobe Reader XI Adobe사의 PDF 파일 뷰어 프로그램,https://www.adobe.com/kr/acrobat/pdf-reader.html,admission_guide_link,"{""csat_reflection_ratio"": 0, ""score_conversion"": 0, ""english_korean_history"": 0, ""selection_element"": 0, ""minimum_standard"": 0, ""admission_guide_link"": 1}"
