major_group_7,outcome,grade_signal,structure_ame,selectivity_ame,sign_agreement,absolute_difference,ci_overlap,structure_n,selectivity_n
ART,HEALTH_EMPLOYMENT,RAW_A,-0.004299113454136146,-0.011802535180515859,True,0.007503421726379713,True,646,162
ART,GRAD_SCHOOL_PROGRESSION,RAW_A,0.006174260908314511,-0.0003915063829218875,False,0.006565767291236399,True,646,162
EDU,HEALTH_EMPLOYMENT,RAW_A,0.015633493230044156,0.008880068094780603,True,0.0067534251352635525,True,602,351
EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,0.005315531275911081,0.004258530091298723,True,0.0010570011846123585,True,602,351
ENG,HEALTH_EMPLOYMENT,RAW_A,0.019293907647504778,0.010215998817484131,True,0.009077908830020647,True,911,491
ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,0.04569829145877204,0.019991575942261818,True,0.025706715516510225,True,911,491
HUM,HEALTH_EMPLOYMENT,RAW_A,0.020456479593155625,0.024782994986794465,True,0.00432651539363884,True,535,297
HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,0.013732387901922407,0.005279708007455756,True,0.008452679894466651,True,535,297
MED,HEALTH_EMPLOYMENT,RAW_A,-0.005656646888103524,-0.010365567187764522,True,0.0047089202996609975,True,374,201
MED,GRAD_SCHOOL_PROGRESSION,RAW_A,0.003801081860533882,-0.007038521608129515,False,0.010839603468663398,False,374,201
NAT,HEALTH_EMPLOYMENT,RAW_A,-0.004780071627994119,0.0033244829136689137,False,0.008104554541663032,True,583,369
NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,0.0367302540297154,0.018579229646925172,True,0.01815102438279023,True,583,369
SOC,HEALTH_EMPLOYMENT,RAW_A,0.007144458729515359,0.010288385977538709,True,0.0031439272480233496,True,848,441
SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,0.011690291773049801,0.013028438338219615,True,0.0013381465651698139,True,848,441
