topic_id,topic_name,year,subgroup,share_sum,qa_status
GOMS_003,전공계열별 경제활동 상태,2011,실업자,99.80000000000001,PASS
GOMS_003,전공계열별 경제활동 상태,2011,전체,99.8,PASS
GOMS_003,전공계열별 경제활동 상태,2011,취업자,99.60000000000001,PASS
GOMS_003,전공계열별 경제활동 상태,2012,비경활,99.80000000000001,PASS
GOMS_003,전공계열별 경제활동 상태,2012,실업자,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2012,전체,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2012,취업자,99.7,PASS
GOMS_003,전공계열별 경제활동 상태,2013,비경활,99.60000000000001,PASS
GOMS_003,전공계열별 경제활동 상태,2013,실업자,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2013,전체,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2013,취업자,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2014,비경활,99.7,PASS
GOMS_003,전공계열별 경제활동 상태,2014,실업자,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2014,전체,99.60000000000001,PASS
GOMS_003,전공계열별 경제활동 상태,2014,취업자,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2015,비경활,99.8,PASS
GOMS_003,전공계열별 경제활동 상태,2015,실업자,99.7,PASS
GOMS_003,전공계열별 경제활동 상태,2015,전체,99.8,PASS
GOMS_003,전공계열별 경제활동 상태,2015,취업자,99.7,PASS
GOMS_003,전공계열별 경제활동 상태,2016,비경활,99.7,PASS
GOMS_003,전공계열별 경제활동 상태,2016,실업자,99.60000000000001,PASS
GOMS_003,전공계열별 경제활동 상태,2016,전체,99.5,PASS
GOMS_003,전공계열별 경제활동 상태,2016,취업자,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2017,비경활,99.7,PASS
GOMS_003,전공계열별 경제활동 상태,2017,실업자,99.7,PASS
GOMS_003,전공계열별 경제활동 상태,2017,전체,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2017,취업자,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2018,비경활,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2018,실업자,99.5,PASS
GOMS_003,전공계열별 경제활동 상태,2018,전체,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2018,취업자,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2019,비경활,99.6,PASS
GOMS_003,전공계열별 경제활동 상태,2019,실업자,99.7,PASS
GOMS_003,전공계열별 경제활동 상태,2019,전체,99.5,PASS
GOMS_003,전공계열별 경제활동 상태,2019,취업자,99.8,PASS
GOMS_004,취업자의 성별 산업 분포,2007,남자,99.10000000000001,PASS
GOMS_004,취업자의 성별 산업 분포,2007,여자,99.2,PASS
GOMS_004,취업자의 성별 산업 분포,2007,전체,98.9,PASS
GOMS_004,취업자의 성별 산업 분포,2008,남자,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2008,여자,98.9,PASS
GOMS_004,취업자의 성별 산업 분포,2008,전체,98.9,PASS
GOMS_004,취업자의 성별 산업 분포,2009,남자,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2009,여자,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2009,전체,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2010,남자,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2010,여자,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2010,전체,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2011,남자,99.10000000000001,PASS
GOMS_004,취업자의 성별 산업 분포,2011,여자,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2011,전체,98.8,PASS
GOMS_004,취업자의 성별 산업 분포,2012,남자,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2012,여자,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2012,전체,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2013,남자,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2013,여자,99.39999999999999,PASS
GOMS_004,취업자의 성별 산업 분포,2013,전체,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2014,남자,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2014,여자,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2014,전체,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2015,남자,99.2,PASS
GOMS_004,취업자의 성별 산업 분포,2015,여자,99.10000000000001,PASS
GOMS_004,취업자의 성별 산업 분포,2015,전체,99.4,PASS
GOMS_004,취업자의 성별 산업 분포,2016,남자,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2016,여자,98.9,PASS
GOMS_004,취업자의 성별 산업 분포,2016,전체,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2017,남자,99.2,PASS
GOMS_004,취업자의 성별 산업 분포,2017,여자,99.10000000000001,PASS
GOMS_004,취업자의 성별 산업 분포,2017,전체,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2018,남자,98.9,PASS
GOMS_004,취업자의 성별 산업 분포,2018,여자,98.9,PASS
GOMS_004,취업자의 성별 산업 분포,2018,전체,98.9,PASS
GOMS_004,취업자의 성별 산업 분포,2019,남자,99.0,PASS
GOMS_004,취업자의 성별 산업 분포,2019,여자,99.1,PASS
GOMS_004,취업자의 성별 산업 분포,2019,전체,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2007,4년제,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2007,교육대,99.9,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2007,전문대,98.9,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2007,전체,98.9,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2008,4년제,98.8,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2008,교육대,99.8,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2008,전문대,99.30000000000001,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2008,전체,98.9,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2009,4년제,98.9,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2009,교육대,99.8,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2009,전문대,99.3,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2009,전체,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2010,4년제,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2010,교육대,99.89999999999999,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2010,전문대,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2010,전체,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2011,4년제,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2011,교육대,99.60000000000001,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2011,전문대,98.8,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2011,전체,98.8,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2012,4년제,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2012,교육대,99.80000000000001,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2012,전문대,98.9,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2012,전체,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2013,4년제,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2013,교육대,99.8,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2013,전문대,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2013,전체,99.0,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2014,4년제,99.1,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2014,교육대,99.69999999999999,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2014,전문대,99.2,PASS
GOMS_005,취업자의 학교유형별 산업 분포,2014,전체,99.0,PASS
