topic_id,order,kind,file_name,relative_file_path,topic_name,raw_rows,raw_columns,long_rows,year_min,year_max,n_years,n_subgroups,n_dimensions,numeric_non_null,numeric_min,numeric_mean,numeric_median,numeric_max,latest_year,latest_rows,figure_path
GOMS_001,1,frequency_share,GOMS_001_성별_경제활동_상태_freq_share.xls,frequency_share/GOMS_001_성별_경제활동_상태_freq_share.xls,성별 경제활동 상태,3,105,312,2007,2019,13,4,3,312,41.7,82655.66602564103,6182.5,520547.0,2019,24,P2_G1_kedi_raw_download_visuals/figures/GOMS_001_frequency_share.png
GOMS_002,2,frequency_share,GOMS_002_학교유형별_경제활동_상태_freq_share.xls,frequency_share/GOMS_002_학교유형별_경제활동_상태_freq_share.xls,학교유형별 경제활동 상태,4,105,416,2007,2019,13,4,4,416,0.0,61991.680048076916,100.0,520546.0,2019,32,P2_G1_kedi_raw_download_visuals/figures/GOMS_002_frequency_share.png
GOMS_003,3,frequency_share,GOMS_003_전공계열별_경제활동_상태_freq_share.xls,frequency_share/GOMS_003_전공계열별_경제활동_상태_freq_share.xls,전공계열별 경제활동 상태,8,105,832,2007,2019,13,4,8,832,1.7,30995.718028846157,342.5,520547.0,2019,64,P2_G1_kedi_raw_download_visuals/figures/GOMS_003_frequency_share.png
GOMS_004,4,frequency_share,GOMS_004_취업자의_성별_산업_분포_freq_share.xls,frequency_share/GOMS_004_취업자의_성별_산업_분포_freq_share.xls,취업자의 성별 산업 분포,22,79,1716,2007,2019,13,3,22,1716,0.0,11286.13747086247,28.0,392483.0,2019,132,P2_G1_kedi_raw_download_visuals/figures/GOMS_004_frequency_share.png
GOMS_005,5,frequency_share,GOMS_005_취업자의_학교유형별_산업_분포_freq_share.xls,frequency_share/GOMS_005_취업자의_학교유형별_산업_분포_freq_share.xls,취업자의 학교유형별 산업 분포,22,105,2288,2007,2019,13,4,22,2288,0.0,8465.717963286714,7.6,392483.0,2019,176,P2_G1_kedi_raw_download_visuals/figures/GOMS_005_frequency_share.png
GOMS_006,6,frequency_share,GOMS_006_취업자의_전공별_산업_분포_freq_share.xls,frequency_share/GOMS_006_취업자의_전공별_산업_분포_freq_share.xls,취업자의 전공별 산업 분포,22,209,4576,2007,2019,13,8,22,4576,0.0,4234.996896853147,13.8,392483.0,2019,352,P2_G1_kedi_raw_download_visuals/figures/GOMS_006_frequency_share.png
GOMS_007,7,frequency_share,GOMS_007_취업자의_성별_직업_분포2016_freq_share.xls,frequency_share/GOMS_007_취업자의_성별_직업_분포2016_freq_share.xls,취업자의 성별 직업 분포2016,25,61,1500,2007,2016,10,3,25,1500,0.0,10083.149733333334,100.0,392483.0,2016,150,P2_G1_kedi_raw_download_visuals/figures/GOMS_007_frequency_share.png
GOMS_008,8,frequency_share,GOMS_008_취업자의_성별_직업_분포2017_freq_share.xls,frequency_share/GOMS_008_취업자의_성별_직업_분포2017_freq_share.xls,취업자의 성별 직업 분포2017,11,19,198,2017,2019,3,3,11,198,0.0,21461.401515151516,100.0,375185.0,2019,66,P2_G1_kedi_raw_download_visuals/figures/GOMS_008_frequency_share.png
GOMS_009,9,frequency_share,GOMS_009_취업자의_학교유형별_직업_분포2016_freq_share.xls,frequency_share/GOMS_009_취업자의_학교유형별_직업_분포2016_freq_share.xls,취업자의 학교유형별 직업 분포2016,25,81,2000,2007,2016,10,4,25,2000,0.0,7563.35185,6.0,392483.0,2016,200,P2_G1_kedi_raw_download_visuals/figures/GOMS_009_frequency_share.png
GOMS_010,10,frequency_share,GOMS_010_취업자의_학교유형별_직업_분포2017_freq_share.xls,frequency_share/GOMS_010_취업자의_학교유형별_직업_분포2017_freq_share.xls,취업자의 학교유형별 직업 분포2017,11,25,264,2017,2019,3,4,11,264,0.0,16098.304924242424,19.05,375185.0,2019,88,P2_G1_kedi_raw_download_visuals/figures/GOMS_010_frequency_share.png
