topic_id,file_name,measure_type,count,mean,std,min,25%,50%,75%,max
GOMS_001,GOMS_001_성별_경제활동_상태_freq_share.xls,frequency,156.0,165244.69871794872,148835.6856131217,12265.0,37141.0,135216.5,247253.25,520547.0
GOMS_001,GOMS_001_성별_경제활동_상태_freq_share.xls,share,156.0,66.63333333333333,23.82398718920487,41.7,49.0,51.6,100.0,100.0
GOMS_002,GOMS_002_학교유형별_경제활동_상태_freq_share.xls,frequency,208.0,123933.39903846152,149046.55154578463,28.0,10135.5,43660.5,208609.0,520546.0
GOMS_002,GOMS_002_학교유형별_경제활동_상태_freq_share.xls,share,208.0,49.9610576923077,36.43148519964192,0.0,22.950000000000003,49.85,77.125,100.0
GOMS_003,GOMS_003_전공계열별_경제활동_상태_freq_share.xls,frequency,416.0,61966.480769230766,103918.97908204762,585.0,8945.25,30691.0,56092.25,520547.0
GOMS_003,GOMS_003_전공계열별_경제활동_상태_freq_share.xls,share,416.0,24.955288461538466,29.4068014575673,1.7,8.9,12.55,25.925,100.0
GOMS_004,GOMS_004_취업자의_성별_산업_분포_freq_share.xls,frequency,858.0,22563.227272727272,54655.51557480349,0.0,1470.5,7553.0,16488.25,392483.0
GOMS_004,GOMS_004_취업자의_성별_산업_분포_freq_share.xls,share,858.0,9.047668997668998,20.57399147585456,0.0,0.6,3.3,7.5,100.0
GOMS_005,GOMS_005_취업자의_학교유형별_산업_분포_freq_share.xls,frequency,1144.0,16922.380244755244,48516.11621529043,0.0,28.0,3747.0,13402.5,392483.0
GOMS_005,GOMS_005_취업자의_학교유형별_산업_분포_freq_share.xls,share,1144.0,9.055681818181816,22.7169906672635,0.0,0.0,2.0,6.5,100.0
GOMS_006,GOMS_006_취업자의_전공별_산업_분포_freq_share.xls,frequency,2288.0,8460.944493006993,31105.11824045892,0.0,154.0,1164.5,5499.5,392483.0
GOMS_006,GOMS_006_취업자의_전공별_산업_분포_freq_share.xls,share,2288.0,9.0493006993007,21.711756419142198,0.0,0.3,2.1,7.0,100.0
GOMS_007,GOMS_007_취업자의_성별_직업_분포2016_freq_share.xls,frequency,750.0,20158.348,52969.88287662005,62.0,1659.75,4727.0,14686.5,392483.0
GOMS_007,GOMS_007_취업자의_성별_직업_분포2016_freq_share.xls,share,750.0,7.951466666666668,19.67232756466057,0.0,0.6,2.2,5.6,100.0
GOMS_008,GOMS_008_취업자의_성별_직업_분포2017_freq_share.xls,frequency,99.0,42904.66666666666,69879.47142000128,0.0,10129.5,18933.0,43271.5,375185.0
GOMS_008,GOMS_008_취업자의_성별_직업_분포2017_freq_share.xls,share,99.0,18.13636363636364,27.267688340933045,0.0,5.6,8.6,17.65,100.0
GOMS_009,GOMS_009_취업자의_학교유형별_직업_분포2016_freq_share.xls,frequency,1000.0,15118.742,46831.12207094616,0.0,349.75,2845.5,9837.25,392483.0
GOMS_009,GOMS_009_취업자의_학교유형별_직업_분포2016_freq_share.xls,share,1000.0,7.9617,21.604717700931364,0.0,0.2,1.15,4.7,100.0
GOMS_010,GOMS_010_취업자의_학교유형별_직업_분포2017_freq_share.xls,frequency,132.0,32178.46212121212,64364.20168293084,0.0,700.25,12178.5,27735.5,375185.0
GOMS_010,GOMS_010_취업자의_학교유형별_직업_분포2017_freq_share.xls,share,132.0,18.147727272727277,30.392203364179306,0.0,0.3,7.45,14.95,100.0
GOMS_011,GOMS_011_취업자의_전공별_직업_분포2016_freq_share.xls,frequency,2000.0,7559.098,30075.582806771665,0.0,171.0,709.5,3345.75,392483.0
GOMS_011,GOMS_011_취업자의_전공별_직업_분포2016_freq_share.xls,share,2000.0,7.95505,20.92043945262492,0.0,0.3,1.1,4.0,100.0
GOMS_012,GOMS_012_취업자의_전공별_직업_분포2017_freq_share.xls,frequency,264.0,16088.94696969697,41924.46925766743,0.0,645.75,2461.5,15105.75,375185.0
GOMS_012,GOMS_012_취업자의_전공별_직업_분포2017_freq_share.xls,share,264.0,18.139015151515157,29.96993855978581,0.0,1.4,5.65,15.125,100.0
GOMS_013,GOMS_013_취업자의_성별_사업체_규모_freq_share.xls,frequency,390.0,48305.338461538464,71563.18028869091,6508.0,17890.5,24219.0,42326.25,391857.0
GOMS_013,GOMS_013_취업자의_성별_사업체_규모_freq_share.xls,share,390.0,19.955384615384613,27.04561526609468,3.6,8.6,11.4,14.6,100.0
GOMS_014,GOMS_014_취업자의_학교유형별_사업체_규모_freq_share.xls,frequency,520.0,36228.90576923077,65798.08453871684,0.0,4677.25,19393.5,35923.5,391857.0
GOMS_014,GOMS_014_취업자의_학교유형별_사업체_규모_freq_share.xls,share,520.0,19.95692307692308,27.933381907871933,0.0,5.6,11.0,17.4,100.0
GOMS_015,GOMS_015_취업자의_전공별_사업체_규모_freq_share.xls,frequency,1040.0,18114.184615384616,43388.64308137864,130.0,3242.5,5618.5,14479.25,391857.0
GOMS_015,GOMS_015_취업자의_전공별_사업체_규모_freq_share.xls,share,1040.0,19.955096153846156,27.28670564747244,0.6,7.1,11.2,16.3,100.0
GOMS_016,GOMS_016_취업자의_성별_사업체_유형_freq_share.xls,frequency,390.0,49682.51282051282,89750.45844632231,0.0,2923.25,9654.5,26625.75,391086.0
GOMS_016,GOMS_016_취업자의_성별_사업체_유형_freq_share.xls,share,390.0,19.954871794871792,33.35549448283323,0.0,1.3,4.25,9.8,100.0
GOMS_017,GOMS_017_취업자의_학교유형별_사업체_유형_freq_share.xls,frequency,520.0,37261.838461538464,81072.85820927052,0.0,302.0,4800.5,18914.25,391086.0
GOMS_017,GOMS_017_취업자의_학교유형별_사업체_유형_freq_share.xls,share,520.0,19.962115384615384,34.903562810482164,0.0,0.5,3.1500000000000004,8.7,100.0
GOMS_018,GOMS_018_취업자의_전공별_사업체_유형_freq_share.xls,frequency,1040.0,18630.64230769231,52739.95154503834,0.0,556.0,2068.5,11105.5,391086.0
GOMS_018,GOMS_018_취업자의_전공별_사업체_유형_freq_share.xls,share,1040.0,19.95740384615385,33.31040444461888,0.0,1.0,3.9,10.0,100.0
GOMS_019,GOMS_019_취업자의_성별_종사상_지위_freq_share.xls,frequency,273.0,70330.24175824175,106702.99318990063,0.0,2519.0,6677.0,146323.0,389213.0
GOMS_019,GOMS_019_취업자의_성별_종사상_지위_freq_share.xls,share,273.0,28.53223443223444,39.70337611297519,0.0,1.2,2.6,78.2,100.0
GOMS_020,GOMS_020_취업자의_학교유형별_종사상_지위_freq_share.xls,frequency,364.0,52747.59615384616,97889.72712980256,0.0,728.0,4282.5,38620.0,389213.0
GOMS_020,GOMS_020_취업자의_학교유형별_종사상_지위_freq_share.xls,share,364.0,28.535989010989017,40.545498659575,0.0,0.5,2.6,78.92500000000001,100.0
GOMS_021,GOMS_021_취업자의_전공별_종사상_지위_freq_share.xls,frequency,728.0,26373.534340659346,64415.77079061482,0.0,463.75,2695.0,25407.0,389213.0
GOMS_021,GOMS_021_취업자의_전공별_종사상_지위_freq_share.xls,share,728.0,28.53035714285714,39.57312141149804,0.0,0.9,2.7,75.19999999999999,100.0
GOMS_022,GOMS_022_성별_월평균_근로소득_mean.xls,mean,39.0,207.9333333333333,26.17286997650463,161.3,188.95,207.9,227.25,259.4
GOMS_023,GOMS_023_학교유형별_월평균_근로소득_mean.xls,mean,52.0,208.7153846153846,18.55338227835608,172.3,197.075,207.2,218.025,250.4
