major_group_7,outcome,outcome_label,grade_signal,ame_10pp,ame_pp,ame_ci_low_10pp,ame_ci_high_10pp,ame_ci_low_pp,ame_ci_high_pp,ci_crosses_zero,direction,row_n,school_n,status,converged
MED,GRAD_SCHOOL_PROGRESSION,Grad school progression,RAW_A,0.003801081860533882,0.3801081860533882,-0.0005926394501188857,0.07307119298841813,-0.05926394501188857,7.307119298841814,True,positive,374,115,OK,True
EDU,GRAD_SCHOOL_PROGRESSION,Grad school progression,RAW_A,0.005315531275911081,0.5315531275911082,0.0016401970154029256,0.012117358349005443,0.16401970154029255,1.2117358349005443,False,positive,602,117,OK,True
ART,GRAD_SCHOOL_PROGRESSION,Grad school progression,RAW_A,0.006174260908314511,0.6174260908314512,0.0005149794066556401,0.016800437111055083,0.051497940665564006,1.6800437111055082,False,positive,646,138,OK,True
SOC,GRAD_SCHOOL_PROGRESSION,Grad school progression,RAW_A,0.011690291773049801,1.1690291773049801,0.0051742957375792336,0.023298646792870078,0.5174295737579233,2.3298646792870077,False,positive,848,148,OK,True
HUM,GRAD_SCHOOL_PROGRESSION,Grad school progression,RAW_A,0.013732387901922407,1.3732387901922407,0.004090408564878187,0.03164571859015556,0.4090408564878187,3.164571859015556,False,positive,535,106,OK,True
NAT,GRAD_SCHOOL_PROGRESSION,Grad school progression,RAW_A,0.0367302540297154,3.67302540297154,0.01168944630530656,0.06987562752328697,1.1689446305306561,6.987562752328697,False,positive,583,111,OK,True
ENG,GRAD_SCHOOL_PROGRESSION,Grad school progression,RAW_A,0.04569829145877204,4.569829145877204,0.01622845512170717,0.0912135459790856,1.622845512170717,9.12135459790856,False,positive,911,130,OK,True
MED,GRAD_SCHOOL_PROGRESSION,Grad school progression,WITHIN_MAJOR_A,0.0038010818605340203,0.380108186053402,-0.004291063014379313,0.01919452738254358,-0.4291063014379313,1.919452738254358,True,positive,374,115,OK,True
EDU,GRAD_SCHOOL_PROGRESSION,Grad school progression,WITHIN_MAJOR_A,0.005315531275911673,0.5315531275911672,0.0023403128221225556,0.00898099328484646,0.23403128221225555,0.898099328484646,False,positive,602,117,OK,True
ART,GRAD_SCHOOL_PROGRESSION,Grad school progression,WITHIN_MAJOR_A,0.006174260908314445,0.6174260908314445,0.0007346403138429326,0.012376606503949552,0.07346403138429326,1.2376606503949552,False,positive,646,138,OK,True
SOC,GRAD_SCHOOL_PROGRESSION,Grad school progression,WITHIN_MAJOR_A,0.01169029177304857,1.169029177304857,0.0076543248327658785,0.016529611690416602,0.7654324832765879,1.6529611690416601,False,positive,848,148,OK,True
HUM,GRAD_SCHOOL_PROGRESSION,Grad school progression,WITHIN_MAJOR_A,0.013732387901921972,1.3732387901921972,0.0062820618667316095,0.022278310219503123,0.628206186673161,2.2278310219503124,False,positive,535,106,OK,True
NAT,GRAD_SCHOOL_PROGRESSION,Grad school progression,WITHIN_MAJOR_A,0.036730254029712014,3.6730254029712013,0.015821085649200758,0.058315072731319355,1.5821085649200757,5.831507273131935,False,positive,583,111,OK,True
ENG,GRAD_SCHOOL_PROGRESSION,Grad school progression,WITHIN_MAJOR_A,0.04569829145877121,4.569829145877121,0.025811264405428753,0.0673412266192269,2.5811264405428753,6.734122661922689,False,positive,911,130,OK,True
MED,HEALTH_EMPLOYMENT,Health employment,RAW_A,-0.005656646888103524,-0.5656646888103525,-0.03139036907773802,0.011755224077464163,-3.139036907773802,1.1755224077464164,True,negative,374,115,OK,True
NAT,HEALTH_EMPLOYMENT,Health employment,RAW_A,-0.004780071627994119,-0.4780071627994119,-0.018357682287781438,0.008952698144171229,-1.8357682287781438,0.8952698144171229,True,negative,583,111,OK,True
ART,HEALTH_EMPLOYMENT,Health employment,RAW_A,-0.004299113454136146,-0.42991134541361453,-0.01468159585746101,0.007325005065178493,-1.468159585746101,0.7325005065178493,True,negative,646,138,OK,True
SOC,HEALTH_EMPLOYMENT,Health employment,RAW_A,0.007144458729515359,0.7144458729515359,-0.0024091301844460316,0.016208018620907514,-0.24091301844460317,1.6208018620907514,True,positive,848,148,OK,True
EDU,HEALTH_EMPLOYMENT,Health employment,RAW_A,0.015633493230044156,1.5633493230044155,0.0002561632199639525,0.031025696339146494,0.02561632199639525,3.1025696339146496,False,positive,602,117,OK,True
ENG,HEALTH_EMPLOYMENT,Health employment,RAW_A,0.019293907647504778,1.9293907647504778,0.008277506239436771,0.028754622238991417,0.8277506239436772,2.8754622238991416,False,positive,911,130,OK,True
HUM,HEALTH_EMPLOYMENT,Health employment,RAW_A,0.020456479593155625,2.0456479593155623,0.009140299686019334,0.03121201780224488,0.9140299686019334,3.121201780224488,False,positive,535,106,OK,True
MED,HEALTH_EMPLOYMENT,Health employment,WITHIN_MAJOR_A,-0.005656646888103518,-0.5656646888103518,-0.027106768532226957,0.01492872558866795,-2.7106768532226955,1.492872558866795,True,negative,374,115,OK,True
NAT,HEALTH_EMPLOYMENT,Health employment,WITHIN_MAJOR_A,-0.0047800716279941535,-0.47800716279941535,-0.018651972774841135,0.009121953574515859,-1.8651972774841135,0.9121953574515859,True,negative,583,111,OK,True
ART,HEALTH_EMPLOYMENT,Health employment,WITHIN_MAJOR_A,-0.004299113454136237,-0.4299113454136237,-0.015525443590100404,0.007131984315656819,-1.5525443590100405,0.713198431565682,True,negative,646,138,OK,True
SOC,HEALTH_EMPLOYMENT,Health employment,WITHIN_MAJOR_A,0.00714445872951518,0.7144458729515181,-0.0023863859416976834,0.016602549989061313,-0.23863859416976835,1.6602549989061313,True,positive,848,148,OK,True
EDU,HEALTH_EMPLOYMENT,Health employment,WITHIN_MAJOR_A,0.01563349323004581,1.563349323004581,0.0002667667491296855,0.03106665888104505,0.026676674912968552,3.106665888104505,False,positive,602,117,OK,True
ENG,HEALTH_EMPLOYMENT,Health employment,WITHIN_MAJOR_A,0.01929390764750463,1.929390764750463,0.00801045638102209,0.03038553192347825,0.801045638102209,3.038553192347825,False,positive,911,130,OK,True
HUM,HEALTH_EMPLOYMENT,Health employment,WITHIN_MAJOR_A,0.020456479593155594,2.045647959315559,0.009287760800308267,0.03148849944345529,0.9287760800308267,3.148849944345529,False,positive,535,106,OK,True
