branch,control_set,sample_id,outcome,outcome_pct,outcome_prop,grade_signal,grade_signal_column,categorical_controls,numeric_controls,primary_model,major_group_7_in_X,status
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,HEALTH_EMPLOYMENT,health_employment_rate_pct,health_employment_rate_prop,RAW_A,a_rate_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct,True,False,SPECIFIED
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,HEALTH_EMPLOYMENT,health_employment_rate_pct,health_employment_rate_prop,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct,True,False,SPECIFIED
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,graduate_school_progression_rate_prop,RAW_A,a_rate_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct,True,False,SPECIFIED
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,graduate_school_progression_rate_prop,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct,True,False,SPECIFIED
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,HEALTH_EMPLOYMENT,health_employment_rate_pct,health_employment_rate_prop,RAW_A,a_rate_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates,False,False,SPECIFIED
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,HEALTH_EMPLOYMENT,health_employment_rate_pct,health_employment_rate_prop,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates,False,False,SPECIFIED
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,graduate_school_progression_rate_prop,RAW_A,a_rate_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates,False,False,SPECIFIED
STRUCTURE,B_CORE_B_SCALE,P4_JOINT_STRUCTURE_READY,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,graduate_school_progression_rate_prop,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates,False,False,SPECIFIED
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,HEALTH_EMPLOYMENT,health_employment_rate_pct,health_employment_rate_prop,RAW_A,a_rate_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates|selectivity_proxy_pct|competition_ratio,True,False,SPECIFIED
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,HEALTH_EMPLOYMENT,health_employment_rate_pct,health_employment_rate_prop,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates|selectivity_proxy_pct|competition_ratio,True,False,SPECIFIED
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,graduate_school_progression_rate_prop,RAW_A,a_rate_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates|selectivity_proxy_pct|competition_ratio,True,False,SPECIFIED
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_pct,graduate_school_progression_rate_prop,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,school_type|region_sido|campus_branch|credit_forfeit_flag,female_student_share_pct|international_student_share_pct|leave_rate_pct|student_faculty_ratio|fulltime_faculty_share_pct|log_enrolled_students|log_graduates|selectivity_proxy_pct|competition_ratio,True,False,SPECIFIED
