branch,control_set,sample_id,primary_model,major_group_7,outcome,outcome_prop,outcome_pct,grade_signal,grade_signal_column,model_family,beta,se,ci_low,ci_high,odds_ratio_10pp,ame_10pp,ame_ci_low_10pp,ame_ci_high_10pp,ols_pp_10pp,row_n,school_n,rank,rank_full,converged,status,model_warning,formula,ctx24_income_400plus_pct,ctx24_income_400plus_pct__unique_n,ctx24_large_mid_company_pct,ctx24_large_mid_company_pct__unique_n,goms_recent_firm_300plus_pct,goms_recent_firm_300plus_pct__unique_n,goms_recent_permanent_pct,goms_recent_permanent_pct__unique_n,goms_recent_professional_highskill_pct,goms_recent_professional_highskill_pct__unique_n
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,ART,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,-0.018085573635639732,0.024421508481771784,-0.06595085070805189,0.029779703436772418,0.9820769888639831,-0.004299113454136146,-0.01468159585746101,0.007325005065178493,,646,138,25,True,True,OK,school_type: rare levels=2 | region_sido: rare levels=2,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,4.8919477,1,12.847938,1,8.162268,1,63.28796,1,54.354107,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,ART,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,fractional_logit,-0.01808557363564015,0.024421508481771964,-0.06595085070805265,0.029779703436772356,0.9820769888639828,-0.004299113454136237,-0.015525443590100404,0.007131984315656819,,646,138,25,True,True,OK,school_type: rare levels=2 | region_sido: rare levels=2,health_employment_rate_prop ~ a_rate_within_major_year_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,4.8919477,1,12.847938,1,8.162268,1,63.28796,1,54.354107,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,ART,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_prop,graduate_school_progression_rate_pct,RAW_A,a_rate_10pp,fractional_logit,0.09879495277964474,0.04402086650121026,0.012515639869026901,0.18507426569026258,1.103839937041365,0.006174260908314511,0.0005149794066556401,0.016800437111055083,,646,138,25,True,True,OK,school_type: rare levels=2 | region_sido: rare levels=2,graduate_school_progression_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,4.8919477,1,12.847938,1,8.162268,1,63.28796,1,54.354107,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,ART,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_prop,graduate_school_progression_rate_pct,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,fractional_logit,0.09879495277964352,0.04402086650121012,0.012515639869025943,0.18507426569026109,1.1038399370413636,0.006174260908314445,0.0007346403138429326,0.012376606503949552,,646,138,25,True,True,OK,school_type: rare levels=2 | region_sido: rare levels=2,graduate_school_progression_rate_prop ~ a_rate_within_major_year_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,4.8919477,1,12.847938,1,8.162268,1,63.28796,1,54.354107,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,EDU,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,0.06549597587866647,0.03284207041293678,0.0011267006915818695,0.1298652510657511,1.067688440797021,0.015633493230044156,0.0002561632199639525,0.031025696339146494,,602,117,25,True,True,OK,school_type: rare levels=2 | campus_branch: rare levels=1,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,5.142599,1,3.548845,1,4.769505,1,79.45341,1,82.35141,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,EDU,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,fractional_logit,0.06549597587867345,0.03284207041293677,0.0011267006915888778,0.12986525106575803,1.0676884407970284,0.01563349323004581,0.0002667667491296855,0.03106665888104505,,602,117,25,True,True,OK,school_type: rare levels=2 | campus_branch: rare levels=1,health_employment_rate_prop ~ a_rate_within_major_year_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,5.142599,1,3.548845,1,4.769505,1,79.45341,1,82.35141,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,EDU,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_prop,graduate_school_progression_rate_pct,RAW_A,a_rate_10pp,fractional_logit,0.1829738554722024,0.047337030234926476,0.0901949810766629,0.2757527298677419,1.2007830137655555,0.005315531275911081,0.0016401970154029256,0.012117358349005443,,602,117,25,True,True,OK,school_type: rare levels=2 | campus_branch: rare levels=1,graduate_school_progression_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,5.142599,1,3.548845,1,4.769505,1,79.45341,1,82.35141,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,EDU,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_prop,graduate_school_progression_rate_pct,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,fractional_logit,0.18297385547219688,0.04733703023492214,0.09019498107666588,0.2757527298677279,1.2007830137655489,0.005315531275911673,0.0023403128221225556,0.00898099328484646,,602,117,25,True,True,OK,school_type: rare levels=2 | campus_branch: rare levels=1,graduate_school_progression_rate_prop ~ a_rate_within_major_year_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,5.142599,1,3.548845,1,4.769505,1,79.45341,1,82.35141,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,ENG,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,RAW_A,a_rate_10pp,fractional_logit,0.08255716800139586,0.02475453902941942,0.03403916304984268,0.13107517295294902,1.0860607595873892,0.019293907647504778,0.008277506239436771,0.028754622238991417,,911,130,25,True,True,OK,school_type: rare levels=3,health_employment_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,23.572332,1,32.198803,1,29.134941,1,84.83454,1,55.70421,1
STRUCTURE,B_CORE,P4_JOINT_STRUCTURE_READY,True,ENG,HEALTH_EMPLOYMENT,health_employment_rate_prop,health_employment_rate_pct,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,fractional_logit,0.08255716800139531,0.024754539029419136,0.034039163049842704,0.13107517295294793,1.0860607595873886,0.01929390764750463,0.00801045638102209,0.03038553192347825,,911,130,25,True,True,OK,school_type: rare levels=3,health_employment_rate_prop ~ a_rate_within_major_year_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct,23.572332,1,32.198803,1,29.134941,1,84.83454,1,55.70421,1
