major_group_7,grade_signal,employment_ame,progression_ame,difference,branch,control_set
ART,RAW_A,-0.004299113454136146,0.006174260908314511,0.010473374362450657,STRUCTURE,B_CORE
ART,WITHIN_MAJOR_A,-0.004299113454136237,0.006174260908314445,0.010473374362450681,STRUCTURE,B_CORE
EDU,RAW_A,0.015633493230044156,0.005315531275911081,-0.010317961954133075,STRUCTURE,B_CORE
EDU,WITHIN_MAJOR_A,0.01563349323004581,0.005315531275911673,-0.010317961954134137,STRUCTURE,B_CORE
ENG,RAW_A,0.019293907647504778,0.04569829145877204,0.026404383811267265,STRUCTURE,B_CORE
ENG,WITHIN_MAJOR_A,0.01929390764750463,0.04569829145877121,0.02640438381126658,STRUCTURE,B_CORE
HUM,RAW_A,0.020456479593155625,0.013732387901922407,-0.006724091691233218,STRUCTURE,B_CORE
HUM,WITHIN_MAJOR_A,0.020456479593155594,0.013732387901921972,-0.006724091691233622,STRUCTURE,B_CORE
MED,RAW_A,-0.005656646888103524,0.003801081860533882,0.009457728748637406,STRUCTURE,B_CORE
MED,WITHIN_MAJOR_A,-0.005656646888103518,0.0038010818605340203,0.00945772874863754,STRUCTURE,B_CORE
NAT,RAW_A,-0.004780071627994119,0.0367302540297154,0.04151032565770952,STRUCTURE,B_CORE
NAT,WITHIN_MAJOR_A,-0.0047800716279941535,0.036730254029712014,0.04151032565770617,STRUCTURE,B_CORE
SOC,RAW_A,0.007144458729515359,0.011690291773049801,0.0045458330435344425,STRUCTURE,B_CORE
SOC,WITHIN_MAJOR_A,0.00714445872951518,0.01169029177304857,0.0045458330435333896,STRUCTURE,B_CORE
ART,RAW_A,-0.011802535180515859,-0.0003915063829218875,0.011411028797593972,SELECTIVITY,B_CORE_B_SCALE_Q
ART,WITHIN_MAJOR_A,-0.011802535180515777,-0.00039150638292180696,0.01141102879759397,SELECTIVITY,B_CORE_B_SCALE_Q
EDU,RAW_A,0.008880068094780603,0.004258530091298723,-0.00462153800348188,SELECTIVITY,B_CORE_B_SCALE_Q
EDU,WITHIN_MAJOR_A,0.008880068094780643,0.00425853009129875,-0.004621538003481893,SELECTIVITY,B_CORE_B_SCALE_Q
ENG,RAW_A,0.010215998817484131,0.019991575942261818,0.009775577124777687,SELECTIVITY,B_CORE_B_SCALE_Q
ENG,WITHIN_MAJOR_A,0.010215998817484131,0.019991575942261183,0.009775577124777052,SELECTIVITY,B_CORE_B_SCALE_Q
HUM,RAW_A,0.024782994986794465,0.005279708007455756,-0.01950328697933871,SELECTIVITY,B_CORE_B_SCALE_Q
HUM,WITHIN_MAJOR_A,0.02478299498679456,0.005279708007455691,-0.01950328697933887,SELECTIVITY,B_CORE_B_SCALE_Q
MED,RAW_A,-0.010365567187764522,-0.007038521608129515,0.0033270455796350065,SELECTIVITY,B_CORE_B_SCALE_Q
MED,WITHIN_MAJOR_A,-0.010365567187764433,-0.007038521608133764,0.0033270455796306697,SELECTIVITY,B_CORE_B_SCALE_Q
NAT,RAW_A,0.0033244829136689137,0.018579229646925172,0.015254746733256259,SELECTIVITY,B_CORE_B_SCALE_Q
NAT,WITHIN_MAJOR_A,0.0033244829136688304,0.018579229646925034,0.015254746733256204,SELECTIVITY,B_CORE_B_SCALE_Q
SOC,RAW_A,0.010288385977538709,0.013028438338219615,0.0027400523606809068,SELECTIVITY,B_CORE_B_SCALE_Q
SOC,WITHIN_MAJOR_A,0.01028838597753877,0.013028438338218738,0.0027400523606799683,SELECTIVITY,B_CORE_B_SCALE_Q
