major_group_7,context_column,within_major_unique_non_null,all_null,major_grain_ok
ART,ctx24_income_400plus_pct,1,False,True
EDU,ctx24_income_400plus_pct,1,False,True
ENG,ctx24_income_400plus_pct,1,False,True
HUM,ctx24_income_400plus_pct,1,False,True
MED,ctx24_income_400plus_pct,1,False,True
NAT,ctx24_income_400plus_pct,1,False,True
SOC,ctx24_income_400plus_pct,1,False,True
ART,ctx24_large_mid_company_pct,1,False,True
EDU,ctx24_large_mid_company_pct,1,False,True
ENG,ctx24_large_mid_company_pct,1,False,True
HUM,ctx24_large_mid_company_pct,1,False,True
MED,ctx24_large_mid_company_pct,1,False,True
NAT,ctx24_large_mid_company_pct,1,False,True
SOC,ctx24_large_mid_company_pct,1,False,True
ART,goms_recent_firm_300plus_pct,1,False,True
EDU,goms_recent_firm_300plus_pct,1,False,True
ENG,goms_recent_firm_300plus_pct,1,False,True
HUM,goms_recent_firm_300plus_pct,1,False,True
MED,goms_recent_firm_300plus_pct,1,False,True
NAT,goms_recent_firm_300plus_pct,1,False,True
SOC,goms_recent_firm_300plus_pct,1,False,True
ART,goms_recent_permanent_pct,1,False,True
EDU,goms_recent_permanent_pct,1,False,True
ENG,goms_recent_permanent_pct,1,False,True
HUM,goms_recent_permanent_pct,1,False,True
MED,goms_recent_permanent_pct,1,False,True
NAT,goms_recent_permanent_pct,1,False,True
SOC,goms_recent_permanent_pct,1,False,True
ART,goms_recent_professional_highskill_pct,1,False,True
EDU,goms_recent_professional_highskill_pct,1,False,True
ENG,goms_recent_professional_highskill_pct,1,False,True
HUM,goms_recent_professional_highskill_pct,1,False,True
MED,goms_recent_professional_highskill_pct,1,False,True
NAT,goms_recent_professional_highskill_pct,1,False,True
SOC,goms_recent_professional_highskill_pct,1,False,True
