branch,control_set,outcome,grade_signal,status,model_count
SELECTIVITY,B_CORE_B_SCALE_Q,GRAD_SCHOOL_PROGRESSION,RAW_A,OK,7
SELECTIVITY,B_CORE_B_SCALE_Q,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,OK,7
SELECTIVITY,B_CORE_B_SCALE_Q,HEALTH_EMPLOYMENT,RAW_A,OK,7
SELECTIVITY,B_CORE_B_SCALE_Q,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,OK,7
STRUCTURE,B_CORE,GRAD_SCHOOL_PROGRESSION,RAW_A,OK,7
STRUCTURE,B_CORE,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,OK,7
STRUCTURE,B_CORE,HEALTH_EMPLOYMENT,RAW_A,OK,7
STRUCTURE,B_CORE,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,OK,7
STRUCTURE,B_CORE_B_SCALE,GRAD_SCHOOL_PROGRESSION,RAW_A,OK,7
STRUCTURE,B_CORE_B_SCALE,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,OK,7
STRUCTURE,B_CORE_B_SCALE,HEALTH_EMPLOYMENT,RAW_A,OK,7
STRUCTURE,B_CORE_B_SCALE,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,OK,7
