column,dtype
analysis_year,Int16
outcome_row_id,str
school_name_raw,string
school_name_base_raw,string
school_name_std,string
campus_name_raw_x,string
campus_seq,string
campus_branch,string
campus_name_std_x,string
dept_name_raw,string
dept_name_std,string
dept_field_raw,string
dept_field_std,string
credit_forfeit_flag,boolean
selectivity_proxy_pct,Float32
a_rate_pct,Float32
cd_rate_pct,Float32
f_rate_pct,Float32
employment_rate_pct,Float32
health_employment_rate_pct,Float32
progression_rate_pct,Float32
vocational_college_progression_rate_pct,Float32
university_progression_rate_pct,Float32
graduate_school_progression_rate_pct,Float32
domestic_progression_rate_pct,Float32
overseas_progression_rate_pct,Float32
has_selectivity,boolean
has_employment,boolean
has_progression,boolean
rate_range_qa,category
source_file,str
source_sha256,str
campus_region_raw,string
dept_norm_strict,string
dept_norm_suffix_reduced,string
dept_token_signature,string
school_uid_x,string
headcount_row_id,str
match_stage,str
match_method,str
match_status,str
match_score,float64
candidate_count,Int16
review_needed,boolean
unmatched_reason,str
match_evidence,str
candidate_headcount_row_ids,str
candidate_preview,str
campus_conflict_flag,bool
degree_course_conflict_flag,bool
major_conflict_flag,bool
forbidden_modifier_conflict_flag,bool
headcount_match_flag,bool
headcount_grain_version,str
headcount_grain_uid,string
grain_resolution_method,str
grain_review_needed,boolean
raw_row_lineage,string
school_uid_y,string
campus_uid,string
dept_uid,string
kedi_dept_code,string
school_type,string
degree_course,string
school_status_raw,string
day_evening_raw,string
campus_name_raw_y,string
campus_name_std_y,string
region_sido,string
region_sigungu,string
hc_major_group_raw,string
hc_major_group_7,string
field_middle_name,string
field_small_name,string
admission_capacity_n,Int32
recruitment_n,Int32
applicants_n,Int32
admits_n,Int32
enrolled_students_n,Int32
leave_students_n,Int32
graduates_n,Int32
fulltime_faculty_n,Int32
nonfulltime_faculty_n,Int32
international_students_n,Int32
female_students_n,Int32
masters_students_n,Int32
doctoral_students_n,Int32
competition_ratio,Float32
admission_yield_ratio,Float32
admit_per_applicant_ratio,Float32
leave_rate_pct,Float32
female_student_share_pct,Float32
international_student_share_pct,Float32
student_faculty_ratio,Float32
fulltime_faculty_share_pct,Float32
log_enrolled_students,Float32
log_graduates,Float32
school_uid,str
major_group_7,str
major7_mapping_method,str
major7_mapping_confidence,str
major7_candidate_count,int64
major7_review_needed,bool
major7_evidence,str
major7_sample_exclusion_rule,str
has_structure_context,boolean
has_major_group_7_high_medium,boolean
row_qa_status,str
ctx24_reference_sample_n,Float32
ctx24_mean_income_10kkrw,Float32
ctx24_median_income_10kkrw,Float32
ctx24_income_300plus_pct,Float32
ctx24_income_400plus_pct,Float32
ctx24_large_company_pct,Float32
ctx24_mid_company_pct,Float32
ctx24_small_company_pct,Float32
ctx24_large_mid_company_pct,Float32
ctx24_public_nonprofit_pct,Float32
ctx24_cert_rate_pct,Float32
ctx24_cert_per_person,Float32
ctx24_log10_mean_income,Float32
ctx24_industry_top3_pct,Float32
ctx24_industry_hhi,Float32
goms_profile_start_year,Int16
goms_profile_end_year,Int16
goms_profile_years_n,Int16
goms_aggregation_method,category
goms_recent_employment_rate_pct,Float32
goms_recent_firm_300plus_pct,Float32
goms_recent_public_nonprofit_pct,Float32
goms_recent_permanent_pct,Float32
goms_recent_unstable_pct,Float32
goms_recent_self_employed_pct,Float32
goms_recent_industry_hhi,Float32
goms_recent_industry_top3_pct,Float32
goms_recent_professional_highskill_pct,Float32
goms_recent_mean_income_10kkrw,Float32
goms_recent_weekly_work_hours,Float32
goms_recent_hourly_income_proxy,Float32
goms_income_trend_per_year,Float32
goms_hours_trend_per_year,Float32
goms_firm_300plus_trend_per_year,Float32
goms_permanent_trend_per_year,Float32
goms_latest_2019_mean_income_10kkrw,Float32
goms_latest_2019_weekly_work_hours,Float32
goms_latest_2019_firm_300plus_pct,Float32
goms_latest_2019_permanent_pct,Float32
goms_source_years_observed,Int16
goms_year_over_year_review_flag,boolean
goms_mapping_confidence,category
goms_row_qa_status,category
analysis_year_membership,Int16
school_uid_membership,str
campus_uid_membership,string
dept_uid_membership,string
major_group_7_membership,str
school_type_membership,string
region_sido_membership,string
split,str
sample_P1_STRUCTURE_READY,bool
sample_P1_SELECTIVITY_READY,bool
sample_P2_STRUCTURE_READY,bool
sample_P2_SELECTIVITY_READY,bool
sample_P3_STRUCTURE_READY,bool
sample_P3_SELECTIVITY_READY,bool
sample_P4_E_STRUCTURE_READY,bool
sample_P4_P_STRUCTURE_READY,bool
sample_P4_JOINT_STRUCTURE_READY,bool
sample_P4_E_SELECTIVITY_READY,bool
sample_P4_P_SELECTIVITY_READY,bool
sample_P4_JOINT_SELECTIVITY_READY,bool
p5_sample_id,str
