branch,major_group_7,outcome,grade_signal,row_n,school_n,outcome_non_null_n,outcome_zero_ratio,signal_nunique,signal_std,outcome_std,estimable,status,blocker,warning
STRUCTURE,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,719,117,719,0.12378303198887343,718,1.1781791117813896,0.1796644777059555,True,ESTIMABLE,,school_type sparse levels N<10: 2
STRUCTURE,NAT,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,719,117,719,0.12378303198887343,718,1.1781791117813896,0.1796644777059555,True,ESTIMABLE,,school_type sparse levels N<10: 2
STRUCTURE,SOC,HEALTH_EMPLOYMENT,RAW_A,1119,156,1119,0.0,1115,1.2582822234294118,0.14500419795513153,True,ESTIMABLE,,school_type sparse levels N<10: 2
STRUCTURE,SOC,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,1119,156,1119,0.0,1115,1.2582822234294118,0.14500419795513153,True,ESTIMABLE,,school_type sparse levels N<10: 2
STRUCTURE,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,1119,156,1119,0.5558534405719392,1115,1.2582822234294118,0.05282807722687721,True,ESTIMABLE,,school_type sparse levels N<10: 2
STRUCTURE,SOC,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,1119,156,1119,0.5558534405719392,1115,1.2582822234294118,0.05282807722687721,True,ESTIMABLE,,school_type sparse levels N<10: 2
SELECTIVITY,ART,HEALTH_EMPLOYMENT,RAW_A,173,63,173,0.005780346820809248,173,1.260510849791843,0.14765949547290802,True,ESTIMABLE,,row_n < 200 | school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 8 | campus_branch sparse levels N<10: 1
SELECTIVITY,ART,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,173,63,173,0.005780346820809248,173,1.260510849791843,0.14765949547290802,True,ESTIMABLE,,row_n < 200 | school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 8 | campus_branch sparse levels N<10: 1
SELECTIVITY,ART,GRAD_SCHOOL_PROGRESSION,RAW_A,173,63,173,0.3699421965317919,173,1.260510849791843,0.08693680167198181,True,ESTIMABLE,,row_n < 200 | school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 8 | campus_branch sparse levels N<10: 1
SELECTIVITY,ART,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,173,63,173,0.3699421965317919,173,1.260510849791843,0.08693680167198181,True,ESTIMABLE,,row_n < 200 | school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 8 | campus_branch sparse levels N<10: 1
SELECTIVITY,EDU,HEALTH_EMPLOYMENT,RAW_A,352,75,352,0.005681818181818182,352,1.4640737155108487,0.18584515154361725,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
SELECTIVITY,EDU,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,352,75,352,0.005681818181818182,352,1.4640737155108487,0.18584515154361725,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
SELECTIVITY,EDU,GRAD_SCHOOL_PROGRESSION,RAW_A,352,75,352,0.6363636363636364,352,1.4640737155108487,0.0696578323841095,True,ESTIMABLE,,outcome zero_ratio > 0.60 | school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
SELECTIVITY,EDU,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,352,75,352,0.6363636363636364,352,1.4640737155108487,0.0696578323841095,True,ESTIMABLE,,outcome zero_ratio > 0.60 | school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
SELECTIVITY,ENG,HEALTH_EMPLOYMENT,RAW_A,501,87,501,0.0,501,0.8489603256196369,0.1362331509590149,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 3
SELECTIVITY,ENG,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,501,87,501,0.0,501,0.8489603256196369,0.1362331509590149,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 3
SELECTIVITY,ENG,GRAD_SCHOOL_PROGRESSION,RAW_A,501,87,501,0.16167664670658682,501,0.8489603256196369,0.13716362416744232,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 3
SELECTIVITY,ENG,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,501,87,501,0.16167664670658682,501,0.8489603256196369,0.13716362416744232,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 3
SELECTIVITY,HUM,HEALTH_EMPLOYMENT,RAW_A,302,67,302,0.0033112582781456954,302,1.1928540039469695,0.1284516155719757,True,ESTIMABLE,,region_sido sparse levels N<10: 2
SELECTIVITY,HUM,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,302,67,302,0.0033112582781456954,302,1.1928540039469695,0.1284516155719757,True,ESTIMABLE,,region_sido sparse levels N<10: 2
SELECTIVITY,HUM,GRAD_SCHOOL_PROGRESSION,RAW_A,302,67,302,0.3079470198675497,302,1.1928540039469695,0.07795953005552292,True,ESTIMABLE,,region_sido sparse levels N<10: 2
SELECTIVITY,HUM,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,302,67,302,0.3079470198675497,302,1.1928540039469695,0.07795953005552292,True,ESTIMABLE,,region_sido sparse levels N<10: 2
SELECTIVITY,MED,HEALTH_EMPLOYMENT,RAW_A,201,85,201,0.0,201,0.8598930946350879,0.11875887215137482,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 6 | campus_branch sparse levels N<10: 1
SELECTIVITY,MED,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,201,85,201,0.0,201,0.8598930946350878,0.11875887215137482,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 6 | campus_branch sparse levels N<10: 1
SELECTIVITY,MED,GRAD_SCHOOL_PROGRESSION,RAW_A,201,85,201,0.6766169154228856,201,0.8598930946350879,0.04711808264255524,True,ESTIMABLE,,outcome zero_ratio > 0.60 | school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 6 | campus_branch sparse levels N<10: 1
SELECTIVITY,MED,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,201,85,201,0.6766169154228856,201,0.8598930946350878,0.04711808264255524,True,ESTIMABLE,,outcome zero_ratio > 0.60 | school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 6 | campus_branch sparse levels N<10: 1
SELECTIVITY,NAT,HEALTH_EMPLOYMENT,RAW_A,375,70,375,0.005333333333333333,375,0.9354734834888553,0.13003186881542206,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 3 | campus_branch sparse levels N<10: 1
SELECTIVITY,NAT,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,375,70,375,0.005333333333333333,375,0.9354734834888552,0.13003186881542206,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 3 | campus_branch sparse levels N<10: 1
SELECTIVITY,NAT,GRAD_SCHOOL_PROGRESSION,RAW_A,375,70,375,0.08,375,0.9354734834888553,0.16352346539497375,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 3 | campus_branch sparse levels N<10: 1
SELECTIVITY,NAT,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,375,70,375,0.08,375,0.9354734834888552,0.16352346539497375,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 3 | campus_branch sparse levels N<10: 1
SELECTIVITY,SOC,HEALTH_EMPLOYMENT,RAW_A,451,94,451,0.0,451,1.0480852319170333,0.12910626828670502,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
SELECTIVITY,SOC,HEALTH_EMPLOYMENT,WITHIN_MAJOR_A,451,94,451,0.0,451,1.0480852319170333,0.12910626828670502,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
SELECTIVITY,SOC,GRAD_SCHOOL_PROGRESSION,RAW_A,451,94,451,0.4611973392461197,451,1.0480852319170333,0.058196261525154114,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
SELECTIVITY,SOC,GRAD_SCHOOL_PROGRESSION,WITHIN_MAJOR_A,451,94,451,0.4611973392461197,451,1.0480852319170333,0.058196261525154114,True,ESTIMABLE,,school_type sparse levels N<10: 1 | region_sido sparse levels N<10: 2 | campus_branch sparse levels N<10: 1
