branch,control_set,sample_id,primary_model,major_group_7,outcome,outcome_prop,outcome_pct,grade_signal,grade_signal_column,model_family,beta,se,ci_low,ci_high,odds_ratio_10pp,ame_10pp,ame_ci_low_10pp,ame_ci_high_10pp,row_n,school_n,rank,rank_full,converged,status,model_warning,formula,ols_pp_10pp_compare,fractional_ols_sign_disagreement
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,True,ART,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_prop,graduate_school_progression_rate_pct,RAW_A,a_rate_10pp,fractional_logit,-0.008036950834375167,0.0634139263843946,-0.13232596266606286,0.11625206099731253,0.9919952591073147,-0.0003915063829218875,-0.0036714261731566568,0.00915169334596895,162,59,20,True,True,OK,school_type: rare levels=1 | region_sido: rare levels=8 | campus_branch: rare levels=1,graduate_school_progression_rate_prop ~ a_rate_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct + log_enrolled_students + log_graduates + selectivity_proxy_pct + competition_ratio,0.19945501237775826,True
SELECTIVITY,B_CORE_B_SCALE_Q,P4_JOINT_SELECTIVITY_READY,True,ART,GRAD_SCHOOL_PROGRESSION,graduate_school_progression_rate_prop,graduate_school_progression_rate_pct,WITHIN_MAJOR_A,a_rate_within_major_year_10pp,fractional_logit,-0.008036950834374099,0.06341392638440187,-0.13232596266607605,0.11625206099732785,0.9919952591073158,-0.00039150638292180696,-0.005924751585188136,0.006191381404392138,162,59,20,True,True,OK,school_type: rare levels=1 | region_sido: rare levels=8 | campus_branch: rare levels=1,graduate_school_progression_rate_prop ~ a_rate_within_major_year_10pp + C(school_type) + C(region_sido) + C(campus_branch) + C(credit_forfeit_flag) + female_student_share_pct + international_student_share_pct + leave_rate_pct + student_faculty_ratio + fulltime_faculty_share_pct + log_enrolled_students + log_graduates + selectivity_proxy_pct + competition_ratio,0.19945501237774926,True
