order,column,dtype,missing_count,unique_count
1,연도,int64,0,1
2,학제,str,0,10
3,대학원구분,str,8260,3
4,학교명,str,0,587
5,본분교,str,0,5
6,시도,str,0,17
7,시군구,str,0,142
8,설립,str,0,7
9,학위과정,str,0,3
10,대계열,str,0,7
11,중계열,str,0,36
12,소계열,str,0,180
13,학과코드,str,0,8296
14,학과명,str,0,7376
15,학과수_전체,int64,0,4
16,학과수_석사,int64,0,3
17,학과수_박사,int64,0,3
18,입학정원_학부_계,int64,0,223
19,정원내_입학정원_학부,int64,0,224
20,정원외_입학정원_학부,int64,0,25
21,모집인원_학부_계,int64,0,253
22,정원내_모집인원_학부,int64,0,219
23,정원외_모집정원_학부,int64,0,103
24,지원자_전체_계,int64,0,1080
25,지원자_전체_남,int64,0,699
26,지원자_전체_여,int64,0,763
27,지원자_석사_계,int64,0,242
28,지원자_석사_남,int64,0,162
29,지원자_석사_여,int64,0,171
30,지원자_박사_계,int64,0,126
31,지원자_박사_남,int64,0,88
32,지원자_박사_여,int64,0,76
33,입학자_전체_계,int64,0,248
34,입학자_전체_남,int64,0,168
35,입학자_전체_여,int64,0,164
36,입학자_석사_계,int64,0,130
37,입학자_석사_남,int64,0,81
38,입학자_석사_여,int64,0,81
39,입학자_박사_계,int64,0,87
40,입학자_박사_남,int64,0,64
41,입학자_박사_여,int64,0,48
42,정원내_입학자_전체_계,int64,0,213
43,정원내_입학자_전체_남,int64,0,156
44,정원내_입학자_전체_여,int64,0,142
45,정원내_입학자_학부_계,int64,0,204
46,정원내_입학자_학부_남,int64,0,149
47,정원내_입학자_학부_여,int64,0,141
48,정원내_입학자_석사_계,int64,0,109
49,정원내_입학자_석사_남,int64,0,74
50,정원내_입학자_석사_여,int64,0,69
51,정원내_입학자_박사_계,int64,0,75
52,정원내_입학자_박사_남,int64,0,59
53,정원내_입학자_박사_여,int64,0,39
54,정원외_입학자_전체_계,int64,0,114
55,정원외_입학자_전체_남,int64,0,70
56,정원외_입학자_전체_여,int64,0,78
57,정원외_입학자_석사_계,int64,0,77
58,정원외_입학자_석사_남,int64,0,48
59,정원외_입학자_석사_여,int64,0,59
60,정원외_입학자_박사_계,int64,0,52
61,정원외_입학자_박사_남,int64,0,34
62,정원외_입학자_박사_여,int64,0,35
63,재적생_전체_계,int64,0,685
64,재적생_전체_남,int64,0,507
65,재적생_전체_여,int64,0,417
66,재학생_전체_계,int64,0,574
67,재학생_전체_남,int64,0,396
68,재학생_전체_여,int64,0,378
69,휴학생_전체_계,int64,0,271
70,휴학생_전체_남,int64,0,244
71,휴학생_전체_여,int64,0,116
72,유예생_전체_계,int64,0,53
73,유예생_전체_남,int64,0,33
74,유예생_전체_여,int64,0,45
75,재적생_석사_계,int64,0,215
76,재적생_석사_남,int64,0,142
77,재적생_석사_여,int64,0,138
78,재학생_석사_계,int64,0,204
79,재학생_석사_남,int64,0,135
80,재학생_석사_여,int64,0,132
81,휴학생_석사_계,int64,0,54
82,휴학생_석사_남,int64,0,38
83,휴학생_석사_여,int64,0,31
84,재적생_박사_계,int64,0,177
85,재적생_박사_남,int64,0,131
86,재적생_박사_여,int64,0,99
87,재학생_박사_계,int64,0,171
88,재학생_박사_남,int64,0,123
89,재학생_박사_여,int64,0,94
90,휴학생_박사_계,int64,0,46
91,휴학생_박사_남,int64,0,33
92,휴학생_박사_여,int64,0,31
93,외국인유학생_총계_계,int64,0,178
94,외국인유학생_총계_남,int64,0,111
95,외국인유학생_총계_여,int64,0,132
96,외국인유학생_학사_계,int64,0,147
97,외국인유학생_학사_남,int64,0,94
98,외국인유학생_학사_여,int64,0,103
99,외국인유학생_석사_계,int64,0,100
100,외국인유학생_석사_남,int64,0,55
101,외국인유학생_석사_여,int64,0,83
102,외국인유학생_박사_계,int64,0,86
103,외국인유학생_박사_남,int64,0,54
104,외국인유학생_박사_여,int64,0,58
105,졸업자_전체,int64,0,210
106,졸업자_남,int64,0,149
107,졸업자_전체_여,int64,0,139
108,졸업자_석사_계,int64,0,108
109,졸업자_석사_남,int64,0,77
110,졸업자_석사_여,int64,0,71
111,졸업자_박사_계,int64,0,69
112,졸업자_박사_남,int64,0,49
113,졸업자_박사_여,int64,0,37
114,전임교원_계,int64,0,93
115,전임교원_남,int64,0,80
116,전임교원_여,int64,0,49
117,비전임교원_계,int64,0,113
118,비전임교원_남,int64,0,83
119,비전임교원_여,int64,0,75
120,대학원구분_clean,int64,0,2
