label,path,column,dtype,missing_n,missing_pct,unique_n,is_numeric,is_boolean,sample_values
workbook/p2/p2_3/p4_handoff_candidate/local1/p4_target_candidate_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/local1/p4_target_candidate_registry.csv,target_candidate,str,0,0.0,6,False,False,a_rate_pct | cd_rate_pct | f_rate_pct
workbook/p2/p2_3/p4_handoff_candidate/shared/p4_target_candidate_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/p4_target_candidate_registry.csv,target_candidate,str,0,0.0,6,False,False,a_rate_pct | cd_rate_pct | f_rate_pct
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,selectivity_proxy_pct,float64,11287,1.0,0,True,False,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,a_rate_pct,float64,2061,0.1825994506954903,8747,True,False,31.530556 | 28.941423 | 28.51654
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,cd_rate_pct,float64,2061,0.1825994506954903,8676,True,False,25.378143 | 29.276878 | 26.675938
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,f_rate_pct,float64,2061,0.1825994506954903,7631,True,False,1.348014 | 2.970188 | 3.7983022
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,employment_rate_pct,float64,2927,0.2593248870381855,813,True,False,100.0 | 85.9 | 70.4
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,health_employment_rate_pct,float64,11287,1.0,0,True,False,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,progression_rate_pct,float64,11287,1.0,0,True,False,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,vocational_college_progression_rate_pct,float64,11287,1.0,0,True,False,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,university_progression_rate_pct,float64,11287,1.0,0,True,False,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,graduate_school_progression_rate_pct,float64,11287,1.0,0,True,False,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,domestic_progression_rate_pct,float64,11287,1.0,0,True,False,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,overseas_progression_rate_pct,float64,11287,1.0,0,True,False,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,has_selectivity,bool,0,0.0,1,True,True,False | False | False
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,has_employment,bool,0,0.0,2,True,True,True | True | True
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,has_progression,bool,0,0.0,1,True,True,False | False | False
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,rate_range_qa,str,0,0.0,1,False,False,ok | ok | ok
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,in_employment_source,bool,0,0.0,2,True,True,True | True | True
workbook/p2/p2_4/p4_1_data_contract/profiles/d01_missing_top200.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d01_missing_top200.csv,missing_rate,float64,0,0.0,9,True,False,0.700849323686694 | 0.700849323686694 | 0.640395779118648
workbook/p2/p2_4/p4_1_data_contract/profiles/d01_v2_missing_top200.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d01_v2_missing_top200.csv,missing_rate,float64,0,0.0,9,True,False,0.700849323686694 | 0.700849323686694 | 0.640395779118648
workbook/p2/p2_4/p4_1_data_contract/profiles/d03_v2_missing_top200.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d03_v2_missing_top200.csv,missing_rate,float64,0,0.0,11,True,False,0.6351298574497168 | 0.4867213434876001 | 0.4867213434876001
workbook/p2/p2_4/p4_1_data_contract/profiles/d08_v2_missing_top200.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d08_v2_missing_top200.csv,missing_rate,float64,0,0.0,12,True,False,1.0 | 1.0 | 0.6351298574497168
workbook/p2/p2_4/p4_1_data_contract/profiles/feature_missing_by_sample.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/feature_missing_by_sample.csv,missing_rate,float64,0,0.0,21,True,False,0.0 | 0.0 | 0.0
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_recent_employment_rate_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_recent_firm_300plus_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_recent_public_nonprofit_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_recent_permanent_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_recent_unstable_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_recent_self_employed_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_recent_industry_top3_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_recent_professional_highskill_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_latest_2019_firm_300plus_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,goms_latest_2019_permanent_pct_d08_unique_n,int64,0,0.0,1,True,False,1 | 1 | 1
workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,admission_capacity_n_non_null_rate,float64,0,0.0,2,True,False,1.0 | 1.0 | 0.0
workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,recruitment_n_non_null_rate,float64,0,0.0,2,True,False,1.0 | 1.0 | 0.0
workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,applicants_n_non_null_rate,float64,0,0.0,2,True,False,1.0 | 1.0 | 0.0
workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,admits_n_non_null_rate,float64,0,0.0,2,True,False,1.0 | 1.0 | 0.0
workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/structure_feature_non_null_by_match_method.csv,enrolled_students_n_non_null_rate,float64,0,0.0,2,True,False,1.0 | 1.0 | 0.0
