label,path,source_kind,suffix,size_bytes,sha256,rows,columns,duplicate_rows,total_missing_cells,numeric_columns,boolean_columns,object_columns,source_parquet
workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/department_model_column_registry.csv,native_csv,.csv,14689,5871ec9ae36dd0e078eed403c67322784e3880d2fa82849671be45a6d252e126,198,6,0,0,1,1,4,
workbook/p2/p2_3/p4_handoff_candidate/shared/dim_school_split.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/dim_school_split.csv,native_csv,.csv,10962,85c2c851ddcfd02d5ead41dbd9424124e4ef1993347842c031e487e8f2a13583,200,6,0,0,3,0,3,
workbook/p2/p2_3/p4_handoff_candidate/shared/model_sample_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/model_sample_registry.csv,native_csv,.csv,1641,b3389c0051d9b9eeca555f43cd8194d99574c2444df68cd8273232f7f9a553f8,5,12,0,0,6,2,4,
workbook/p2/p2_3/p4_handoff_candidate/shared/p4_feature_set_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/p4_feature_set_registry.csv,native_csv,.csv,588,776c7072444b5abee02f9a20942ca24cff5ec5c684593299a2c8c43dbf7a6529,4,7,0,3,2,1,4,
workbook/p2/p2_3/p4_handoff_candidate/shared/p4_target_candidate_registry.csv,workbook/p2/p2_3/p4_handoff_candidate/shared/p4_target_candidate_registry.csv,native_csv,.csv,715,3e48aaea329c4df989af2e078635fd7d7cd1677d5afd6c99d5f106e6313b5247,6,4,0,0,1,0,3,
workbook/p2/p2_3/shared_handoff/goms_column_registry.csv,workbook/p2/p2_3/shared_handoff/goms_column_registry.csv,native_csv,.csv,14133,c81793185fa785f8991f80e3cfcce510facf77ca47a7b1a1a151f6ec9468fe56,74,9,0,0,0,0,9,
workbook/p2/p2_3/shared_handoff/goms_topic_axis_registry.csv,workbook/p2/p2_3/shared_handoff/goms_topic_axis_registry.csv,native_csv,.csv,11935,1d60b4f5a324179ff17c5c070e6155d3cb0cf59199c8b4efee38cf4039f57d0d,39,14,0,0,1,1,12,
workbook/p2/p2_4/dept_outcomes_2023_sample.csv,workbook/p2/p2_4/dept_outcomes_2023_sample.csv,native_csv,.csv,4498484,cd7e7d351e53aa5b0f6daae28a7b5bfbd7d16e03aef2ccc82611947d15535134,11287,35,0,177971,19,5,11,
workbook/p2/p2_4/p4_1_data_contract/artifacts/p4_spine_key_contract.csv,workbook/p2/p2_4/p4_1_data_contract/artifacts/p4_spine_key_contract.csv,native_csv,.csv,387,bdd6dcd2b55513d16dbb3997fe832e0dd51b6d9a96b24767fe38e6fbe540e379,5,3,0,0,0,0,3,
workbook/p2/p2_4/p4_1_data_contract/logs/code_line_trace.csv,workbook/p2/p2_4/p4_1_data_contract/logs/code_line_trace.csv,native_csv,.csv,1116,7540cc2c5292ef7fea0d551aa8cd05cba64c1d46487c654b55c44602b78d7760,12,5,0,0,2,0,3,
workbook/p2/p2_4/p4_1_data_contract/profiles/d01_grain_profile.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d01_grain_profile.csv,native_csv,.csv,1006,3cb2879db61fecc3603bf116d9180136776c03dd345ce002adc8779beb02e612,7,9,0,0,6,0,3,
workbook/p2/p2_4/p4_1_data_contract/profiles/d01_missing_top200.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d01_missing_top200.csv,native_csv,.csv,7640,d8b8f4b6b0d6de0d49211b42a25292539e607c692cf5b61f0dac4b6dcbfdcdab,186,5,0,0,2,0,3,
workbook/p2/p2_4/p4_1_data_contract/profiles/d01_row_axis_comparison.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d01_row_axis_comparison.csv,native_csv,.csv,1832,fd1b7e3a5d074add93c78de3fe1787b5e720deba25a9977f45e4bb51f1657065,48,5,0,0,3,0,2,
workbook/p2/p2_4/p4_1_data_contract/profiles/d01_v2_dtype_profile.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d01_v2_dtype_profile.csv,native_csv,.csv,369,050310f10e683928560c083eb9596eedace69a881d3a5d4b35c5fb7c388b030c,7,9,0,14,7,0,2,
workbook/p2/p2_4/p4_1_data_contract/profiles/d01_v2_missing_top200.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d01_v2_missing_top200.csv,native_csv,.csv,7640,d8b8f4b6b0d6de0d49211b42a25292539e607c692cf5b61f0dac4b6dcbfdcdab,186,5,0,0,2,0,3,
workbook/p2/p2_4/p4_1_data_contract/profiles/d03_v2_dtype_profile.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d03_v2_dtype_profile.csv,native_csv,.csv,479,c8fd4944a2165836ca2324432d8c3d5ca39b2fe5d703109ce5ccf57c15e711ce,10,9,0,20,7,0,2,
workbook/p2/p2_4/p4_1_data_contract/profiles/d03_v2_missing_top200.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d03_v2_missing_top200.csv,native_csv,.csv,5181,84b55f0e85c1f78d0d677bd5022626bdade7dc389d699ea3db1ecb3e9b6ef0a9,108,5,0,0,2,0,3,
workbook/p2/p2_4/p4_1_data_contract/profiles/d08_v2_dtype_profile.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d08_v2_dtype_profile.csv,native_csv,.csv,479,569fed218e0789abfb549eddadec4014d808274fff8fcecbb96ee1de469b2478,10,9,0,20,7,0,2,
workbook/p2/p2_4/p4_1_data_contract/profiles/d08_v2_missing_top200.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/d08_v2_missing_top200.csv,native_csv,.csv,8034,c7a96a8650e9cac519a1bf3786d8b2cd1a9f21f4a705733c2d841a144369d8ab,151,5,0,0,2,0,3,
workbook/p2/p2_4/p4_1_data_contract/profiles/feature_missing_by_sample.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/feature_missing_by_sample.csv,native_csv,.csv,19523,9b5f9f6ba0c6bbc135aeb1e2d7ba5c63506b3531fdc1f71f5c879900d1bc7d10,330,5,0,0,3,0,2,
workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/goms_context_unique_by_major.csv,native_csv,.csv,1711,ecde06ed89dd7817a1992e8ace1f4d06e8f75df4ee0813ca05651dd6cf99532e,8,30,0,1,29,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/major7_mapping_method_distribution.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/major7_mapping_method_distribution.csv,native_csv,.csv,117,a4a0afb0d27c09dd5282d610fff4f5043784580c9784467cf91599ef0c780d90,5,2,0,0,1,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/major_group_7_by_match_method_crosstab.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/major_group_7_by_match_method_crosstab.csv,native_csv,.csv,210,e377d7bd9e0b5100dcb5d1054ac56518613b4b4bff1541099097d6dc54c9a9b8,8,5,0,1,4,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/major_group_7_distribution.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/major_group_7_distribution.csv,native_csv,.csv,88,3903b76d27e527f403000c7f9bae3909b9a528de542fcad66a60a152ca0e1f3a,8,2,0,1,1,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/major_mapping_confidence_by_method.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/major_mapping_confidence_by_method.csv,native_csv,.csv,174,51bee6a7e6c5ac2ffbc54cc7eef0bcd29c1152d8d80af5f1fb785e757e82b090,5,3,0,0,1,0,2,
workbook/p2/p2_4/p4_1_data_contract/profiles/major_mapping_method_by_major_group_7_crosstab.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/major_mapping_method_by_major_group_7_crosstab.csv,native_csv,.csv,248,fe036dc8cecd752859774d707e72e54a9ab6a4ecf9e1f5f0ec3f4fd9bf07f1f5,5,9,0,0,8,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/split_by_major_group_7_crosstab.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/split_by_major_group_7_crosstab.csv,native_csv,.csv,151,975da2d8e50e17a36b5b1be75bd0e68b5d8db5b6979af9bc43c4a516562cf632,3,9,0,0,8,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/split_by_match_method_crosstab.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/split_by_match_method_crosstab.csv,native_csv,.csv,122,f5e70be7ef4dca062c7b16c2616e48b6cec08b76bbeddf9a943e36cb598a67de,3,5,0,0,4,0,1,
workbook/p2/p2_4/p4_1_data_contract/profiles/split_row_school_summary.csv,workbook/p2/p2_4/p4_1_data_contract/profiles/split_row_school_summary.csv,native_csv,.csv,62,03fb6a28403b9593256660e0abb829684033bd6a83b07d1ba4b90477c6c016f2,3,3,0,0,2,0,1,
