학과_계열,n,universities,admission_median,admission_mean,A_median,CD_median,employment_median,advancement_median,lift_vs_overall_median
한의예과,7,7,98.79999999999998,97.92971428571427,28.36798139911568,34.08724513987672,,,26.299999999999983
의,3,3,98.77,98.47666666666667,26.087139313592218,15.397228022478522,62.96296296296296,0.0,26.269999999999996
웹툰,1,1,98.726,98.726,71.4311743485506,5.54267611565859,44.44444444444444,0.0,26.226
농경제사회,1,1,98.5,98.5,68.2224930362117,7.121169916434541,81.08108108108108,19.565217391304348,26.0
수리과,1,1,98.5,98.5,62.23517024515872,15.63153626157852,42.85714285714285,35.294117647058826,26.0
바이오시스템・소재,1,1,98.25,98.25,57.5194038052064,11.839755477711382,55.55555555555556,64.0,25.75
화학생물공,1,1,98.25,98.25,41.5278429073857,17.911430246189916,71.42857142857143,50.0,25.75
첨단융합,1,1,98.0,98.0,90.52128865144893,0.1173708920187793,,,25.5
의예과,24,24,97.98983173076924,96.92023564796678,35.41666666666667,7.819282015476814,,,25.48983173076924
조경・지역시스템공,1,1,97.75,97.75,59.24746429693129,8.2745210338648,88.88888888888889,41.935483870967744,25.25
치의예과,7,7,97.33,93.88757142857142,25.852272727272727,30.159774436090224,,,24.83
인류,1,1,97.25,97.25,84.31832133489593,3.148892237290028,70.58823529411765,20.83333333333333,24.75
전기・정보공,1,1,97.25,97.25,50.44387864561643,16.869092239932357,62.65060240963855,45.56962025316456,24.75
약학,1,1,97.0,97.0,47.63595424806872,12.671404527989027,,,24.5
소비자아동,1,1,96.69444444444444,96.69444444444444,77.26993986390252,4.601532415466582,70.58823529411765,18.6046511627907,24.194444444444443
응용생물화,1,1,96.5,96.5,59.30377069120525,11.27769845047332,82.6086956521739,41.02564102564103,24.0
약,29,29,96.272,94.66236576299929,37.16139850506862,22.527162995830693,92.14159811985898,2.6334026334026333,23.772000000000006
미래산업약학,1,1,96.0,96.0,49.19923151735463,15.26362781205657,,,23.5
식품・동물생명공,1,1,96.0,96.0,54.49913644214162,11.36614853195164,73.91304347826087,42.85714285714285,23.5
수의예과,9,9,95.67,93.49744444444444,27.605703048180924,32.16041578873437,,,23.17
바이오의공,1,1,95.67,95.67,49.71606334841629,15.771870286576169,74.28571428571429,41.26984126984127,23.17
지능형소프트웨어,1,1,95.67,95.67,63.46393034825872,7.151741293532339,,,23.17
