학점포기제유무,rows,admission_n,admission_median,admission_mean,A_mean,CD_mean,employment_mean,advancement_mean,admission_coverage_pct
O,1149,595,86.5,84.89883933751008,44.752404227364025,14.662403979106223,64.28933631030334,12.109491685150434,51.784160139251526
X,9093,3142,69.755,66.76961222003959,41.344061348738755,19.10538623932027,61.2007275855622,7.845958326886742,34.55405256790938
