feature,n_pair,pearson,spearman,abs_spearman
대학원진학률,2850,0.24839812836992758,0.30195485177152137,0.30195485177152137
A비율,3737,0.23522273767811566,0.2990121454724874,0.2990121454724874
전체진학률,2850,0.2454950655083185,0.2925781260051073,0.2925781260051073
국내진학률,2850,0.24324005119677805,0.29076284301994204,0.29076284301994204
A_minus_CD,3737,0.19659135012822201,0.2656180557050285,0.2656180557050285
CD비율,3737,-0.09785287937509826,-0.1914133671965121,0.1914133671965121
건보가입취업률,2825,0.09235794846837955,0.13845114526214766,0.13845114526214766
국외진학률,2850,0.08780947933168483,0.13720390832235516,0.13720390832235516
전체취업률,2825,0.07364673331592807,0.13658855880677423,0.13658855880677423
F비율,3737,-0.05808246549847523,-0.12790091108296497,0.12790091108296497
전문대학진학률,2850,-0.07673731978877833,-0.07261031925761335,0.07261031925761335
취업_건보_gap,2825,-0.049718267916216315,0.06271039628517526,0.06271039628517526
대학진학률,2850,0.008533079428352816,0.048709995887342865,0.048709995887342865
