기준연도,학교명,학과_전공,학과_계열,입결_프록시,A비율,CD비율,F비율,전체취업률,건보가입취업률,전체진학률,전문대학진학률,대학진학률,대학원진학률,국내진학률,국외진학률,학점포기제유무,입결_존재,A_minus_CD,취업_건보_gap,입결_구간,example_group
2024,장로회신학대학교,신학과,신,100.0,32.60897438979631,23.58169412963933,2.1608158594459965,,,54.0,0.0,0.0,54.0,54.0,0.0,X,True,9.027280260156978,,Q4 높음,top_30
2024,우석대학교,한의예과,한의예과,99.71999999999998,35.192837465564736,19.0599173553719,4.75206611570248,,,,,,,,,X,True,16.132920110192835,,Q4 높음,top_30
2024,울산대학교,의예과,의예과,99.17,0.0,0.0,100.0,,,,,,,,,X,True,0.0,,Q4 높음,top_30
2024,서울대학교,의예과,의예과,99.0,41.48706896551724,12.823275862068964,13.79310344827586,,,,,,,,,X,True,28.663793103448274,,Q4 높음,top_30
2024,연세대학교,의예과,의예과,99.0,56.04212860310422,12.181263858093129,16.421840354767184,,,,,,,,,X,True,43.860864745011085,,Q4 높음,top_30
2024,대전대학교,한의예과,한의예과,98.96,29.47851613322925,31.405314858183708,0.0,,,,,,,,,X,True,-1.926798724954459,,Q4 높음,top_30
2024,대구한의대학교,한의예과,한의예과,98.858,27.087233075874604,34.43832348932304,4.212744207178555,,,,,,,,,X,True,-7.351090413448436,,Q4 높음,top_30
2024,아주대학교,의학과(예과),의,98.83,15.384615384615383,7.6923076923076925,76.92307692307692,62.96296296296296,59.25925925925926,0.0,0.0,0.0,0.0,0.0,0.0,O,True,7.692307692307691,3.7037037037037024,Q4 높음,top_30
2024,가천대학교,의예과,의예과,98.8,100.0,0.0,0.0,,,,,,,,,X,True,100.0,,Q4 높음,top_30
2024,삼육대학교,약학과,약,98.8,27.09125475285171,29.17300380228137,1.1501901140684412,63.888888888888886,61.11111111111112,0.0,0.0,0.0,0.0,0.0,0.0,X,True,-2.0817490494296607,2.7777777777777644,Q4 높음,top_30
2024,가천대학교,한의예과,한의예과,98.79999999999998,40.88383838383838,34.343434343434346,1.0101010101010102,,,,,,,,,X,True,6.5404040404040344,,Q4 높음,top_30
2024,중앙대학교,의학부(의예) | 의학부(의학),의,98.77,26.087139313592218,15.397228022478522,38.77755511022044,40.27777777777778,34.72222222222222,0.0,0.0,0.0,0.0,0.0,0.0,X,True,10.689911291113695,5.555555555555557,Q4 높음,top_30
2024,목원대학교,웹툰학과,웹툰,98.726,71.4311743485506,5.54267611565859,2.4739511802083904,44.44444444444444,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,X,True,65.888498232892,33.33333333333333,Q4 높음,top_30
2024,경희대학교,의예과(자연계열),의예과,98.67000000000002,0.0,0.0,100.0,,,,,,,,,O,True,0.0,,Q4 높음,top_30
2024,인하대학교,의예과,의예과,98.67,37.5,12.5,0.0,,,,,,,,,X,True,25.0,,Q4 높음,top_30
2024,한양대학교,의예과,의예과,98.67,24.34640522875817,20.26143790849673,27.77777777777778,,,,,,,,,O,True,4.084967320261438,,Q4 높음,top_30
2024,조선대학교,약학과(2+4학제) | 약학과(6년제),약,98.56,33.348227333123845,21.56692368491787,0.6353358334778414,90.625,87.5,0.0,0.0,0.0,0.0,0.0,0.0,X,True,11.781303648205974,3.125,Q4 높음,top_30
2024,계명대학교,의예과,의예과,98.5185185185185,43.75,0.0,50.0,,,,,,,,,X,True,43.75,,Q4 높음,top_30
2024,경희대학교,디지털콘텐츠학과,디지털콘텐츠,98.5,41.77196949543318,9.070136434462054,3.1367574962946074,61.971830985915496,46.478873239436616,0.0,0.0,0.0,0.0,0.0,0.0,O,True,32.701833060971126,15.49295774647888,Q4 높음,top_30
2024,서울대학교,농경제사회학부,농경제사회,98.5,68.2224930362117,7.121169916434541,0.5,81.08108108108108,78.37837837837837,19.565217391304348,0.0,0.0,19.565217391304348,19.565217391304348,0.0,X,True,61.10132311977716,2.702702702702709,Q4 높음,top_30
2024,서울대학교,수리과학부,수리과,98.5,62.23517024515872,15.63153626157852,2.142826653007214,42.85714285714285,42.85714285714285,35.294117647058826,0.0,0.0,35.294117647058826,35.294117647058826,0.0,X,True,46.6036339835802,0.0,Q4 높음,top_30
2024,이화여자대학교,의예과,의예과,98.5,68.75,3.571428571428572,10.714285714285714,,,,,,,,,X,True,65.17857142857143,,Q4 높음,top_30
2024,전북대학교,의예과,의예과,98.33,66.66666666666667,33.333333333333336,0.0,,,,,,,,,X,True,33.333333333333336,,Q4 높음,top_30
2024,서울대학교,건설환경공학부,건설환경공,98.25,59.339124096458725,9.54007977484865,0.4008989856040819,56.66666666666666,46.66666666666666,39.285714285714285,0.0,0.0,39.285714285714285,39.285714285714285,0.0,X,True,49.799044321610076,10.0,Q4 높음,top_30
2024,서울대학교,경제학부,경제,98.25,60.3526269357164,11.70122672168301,1.6967865122537396,71.05263157894737,66.66666666666667,30.994152046783626,0.0,0.0,30.994152046783626,30.4093567251462,0.5847953216374269,X,True,48.65140021403339,4.3859649122806985,Q4 높음,top_30
2024,서울대학교,바이오시스템・소재학부,바이오시스템・소재,98.25,57.5194038052064,11.839755477711382,0.1184834123222748,55.55555555555556,44.44444444444444,64.0,0.0,0.0,64.0,64.0,0.0,X,True,45.679648327495016,11.111111111111114,Q4 높음,top_30
2024,서울대학교,화학부,화,98.25,54.488602407581325,14.20697088704858,0.9241868009903528,37.5,18.75,57.5,0.0,0.0,57.5,57.5,0.0,X,True,40.28163152053274,18.75,Q4 높음,top_30
2024,서울대학교,화학생물공학부,화학생물공,98.25,41.5278429073857,17.911430246189916,1.6878663540445489,71.42857142857143,59.18367346938776,50.0,0.0,0.0,50.0,49.0,1.0,X,True,23.61641266119578,12.244897959183668,Q4 높음,top_30
2024,연세대학교,치의예과,치의예과,98.25,43.72851792951316,22.31313804955625,2.826655722567075,,,,,,,,,X,True,21.41537987995691,,Q4 높음,top_30
2024,부산대학교,의예과,의예과,98.16163265306125,23.8452787258248,6.666666666666667,48.97610921501707,,,,,,,,,X,True,17.178612059158134,,Q4 높음,top_30
2024,극동대학교,항공모빌리티학과,항공모빌리티,0.1,77.77777777777777,11.11111111111111,0.0,,,,,,,,,X,True,66.66666666666666,,Q1 낮음,bottom_30
2024,건양대학교,아동교육학과,아동교육,0.4926108374384236,29.801593755082127,4.305578142787445,2.211741746625468,,,,,,,,,X,True,25.496015612294684,,Q1 낮음,bottom_30
2024,극동대학교,호텔경영학과,호텔경영,0.5,28.553921568627448,37.622549019607845,0.0,,,,,,,,,X,True,-9.068627450980397,,Q1 낮음,bottom_30
2024,극동대학교,과학기술학부,과학기술,0.5499999999999999,36.8421052631579,31.57894736842105,0.0,,,,,,,,,X,True,5.263157894736846,,Q1 낮음,bottom_30
2024,극동대학교,항공학부,항공,0.5499999999999999,50.0,0.0,0.0,,,,,,,,,X,True,50.0,,Q1 낮음,bottom_30
2024,극동대학교,인재개발학부,인재개발,1.0,6.944444444444445,9.72222222222222,48.61111111111112,,,,,,,,,X,True,-2.777777777777775,,Q1 낮음,bottom_30
2024,극동대학교,작업치료학과,작업치료,1.0,37.37018533210398,20.13101185753801,0.7829977628635347,83.05084745762711,76.27118644067797,0.0,0.0,0.0,0.0,0.0,0.0,X,True,17.23917347456597,6.779661016949149,Q1 낮음,bottom_30
2024,부산가톨릭대학교,자율전공학부,자율,1.0,14.285714285714286,42.85714285714285,0.0,,,,,,,,,X,True,-28.571428571428562,,Q1 낮음,bottom_30
2024,영남대학교,군사학과,군사,1.0,38.00133901828817,22.62553296451601,1.6022410937665177,100.0,100.0,2.702702702702702,0.0,2.702702702702702,0.0,2.702702702702702,0.0,X,True,15.375806053772159,0.0,Q1 낮음,bottom_30
2024,건양대학교,중등특수교육과,중등특수교육과,1.1299435028248588,31.63181067694001,11.428178315905338,0.96862960924601,73.6842105263158,73.6842105263158,0.0,0.0,0.0,0.0,0.0,0.0,X,True,20.20363236103467,0.0,Q1 낮음,bottom_30
2024,건양대학교,유아교육과,유아교육과,1.646090534979424,31.97488449235873,5.187913336167306,1.3540352759988012,90.9090909090909,90.9090909090909,0.0,0.0,0.0,0.0,0.0,0.0,X,True,26.786971156191424,0.0,Q1 낮음,bottom_30
2024,건양대학교,디지털콘텐츠전공 | 디지털콘텐츠학과,디지털콘텐츠,1.834862385321101,30.292643273269206,2.137921690827801,0.8264462809917356,60.0,53.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,X,True,28.154721582441404,6.666666666666664,Q1 낮음,bottom_30
2024,영남대학교,시각디자인학과,시각디자인,2.0,53.41065767284992,6.1089376053962905,3.57929173693086,50.81967213114754,39.34426229508197,4.411764705882353,0.0,0.0,4.411764705882353,4.411764705882353,0.0,X,True,47.30172006745363,11.475409836065573,Q1 낮음,bottom_30
2024,영남대학교,체육학전공,체육학,2.0,33.78714335575393,31.46899272957448,3.030108080288214,67.85714285714286,46.42857142857143,1.5151515151515151,0.0,0.0,1.5151515151515151,1.5151515151515151,0.0,X,True,2.3181506261794524,21.42857142857143,Q1 낮음,bottom_30
2024,건양대학교,글로벌의료뷰티학과,글로벌의료뷰티,2.0202020202020203,32.3919090175941,9.76069388897118,2.1412465642950016,77.77777777777777,69.44444444444444,5.0,0.0,0.0,5.0,5.0,0.0,X,True,22.631215128622923,8.333333333333329,Q1 낮음,bottom_30
2024,건양대학교,경영학부,경영,2.3041474654377887,28.91560628742515,15.141591816367264,3.3589071856287425,,,,,,,,,X,True,13.774014471057885,,Q1 낮음,bottom_30
2024,건양대학교,재난안전소방학과,재난안전소방,2.666666666666667,27.477336336806808,11.004102959296445,0.6131150734002058,64.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,X,True,16.47323337751036,8.0,Q1 낮음,bottom_30
