major_group_7,exact_strict,exact_token_unique,manual_pending,unmatched
<NA>,0,0,73,70
ART,1258,1,262,45
EDU,687,0,34,7
ENG,2212,0,338,92
HUM,1009,1,71,27
MED,519,0,102,11
NAT,1097,1,123,37
SOC,1774,2,313,76
