sample_id,feature_column,rows,missing_n,missing_rate
GRADE_ALL,ctx24_reference_sample_n,10099,0,0.0
GRADE_ALL,ctx24_mean_income_10kkrw,10099,0,0.0
GRADE_ALL,ctx24_median_income_10kkrw,10099,0,0.0
GRADE_ALL,ctx24_income_300plus_pct,10099,0,0.0
GRADE_ALL,ctx24_income_400plus_pct,10099,0,0.0
GRADE_ALL,ctx24_large_company_pct,10099,0,0.0
GRADE_ALL,ctx24_mid_company_pct,10099,0,0.0
GRADE_ALL,ctx24_small_company_pct,10099,0,0.0
GRADE_ALL,ctx24_large_mid_company_pct,10099,0,0.0
GRADE_ALL,ctx24_public_nonprofit_pct,10099,0,0.0
GRADE_ALL,ctx24_cert_rate_pct,10099,0,0.0
GRADE_ALL,ctx24_cert_per_person,10099,0,0.0
GRADE_ALL,ctx24_log10_mean_income,10099,0,0.0
GRADE_ALL,ctx24_industry_top3_pct,10099,10099,1.0
GRADE_ALL,ctx24_industry_hhi,10099,10099,1.0
GRADE_ALL,goms_profile_start_year,10099,0,0.0
GRADE_ALL,goms_profile_end_year,10099,0,0.0
GRADE_ALL,goms_profile_years_n,10099,0,0.0
GRADE_ALL,goms_aggregation_method,10099,0,0.0
GRADE_ALL,goms_recent_employment_rate_pct,10099,0,0.0
GRADE_ALL,goms_recent_firm_300plus_pct,10099,0,0.0
GRADE_ALL,goms_recent_public_nonprofit_pct,10099,0,0.0
GRADE_ALL,goms_recent_permanent_pct,10099,0,0.0
GRADE_ALL,goms_recent_unstable_pct,10099,0,0.0
GRADE_ALL,goms_recent_self_employed_pct,10099,0,0.0
GRADE_ALL,goms_recent_industry_hhi,10099,0,0.0
GRADE_ALL,goms_recent_industry_top3_pct,10099,0,0.0
GRADE_ALL,goms_recent_professional_highskill_pct,10099,0,0.0
GRADE_ALL,goms_recent_mean_income_10kkrw,10099,0,0.0
GRADE_ALL,goms_recent_weekly_work_hours,10099,0,0.0
GRADE_ALL,goms_recent_hourly_income_proxy,10099,0,0.0
GRADE_ALL,goms_income_trend_per_year,10099,0,0.0
GRADE_ALL,goms_hours_trend_per_year,10099,0,0.0
GRADE_ALL,goms_firm_300plus_trend_per_year,10099,0,0.0
GRADE_ALL,goms_permanent_trend_per_year,10099,0,0.0
GRADE_ALL,goms_latest_2019_mean_income_10kkrw,10099,0,0.0
GRADE_ALL,goms_latest_2019_weekly_work_hours,10099,0,0.0
GRADE_ALL,goms_latest_2019_firm_300plus_pct,10099,0,0.0
