dataset,column,missing_n,missing_rate,dtype
D01_v2,졸업자_박사_여,0,0.0,int64
D01_v2,전임교원_계,0,0.0,int64
D01_v2,전임교원_남,0,0.0,int64
D01_v2,전임교원_여,0,0.0,int64
D01_v2,비전임교원_계,0,0.0,int64
D01_v2,비전임교원_남,0,0.0,int64
D01_v2,비전임교원_여,0,0.0,int64
D01_v2,시간강사_계,0,0.0,int64
D01_v2,시간강사_남,0,0.0,int64
D01_v2,시간강사_여,0,0.0,int64
D01_v2,source_excel_row,0,0.0,int64
D01_v2,analysis_year,0,0.0,Int16
D01_v2,headcount_row_id,0,0.0,str
D01_v2,headcount_grain_version,0,0.0,str
D01_v2,school_name_raw,0,0.0,string
D01_v2,school_name_std,0,0.0,string
D01_v2,campus_name_raw,0,0.0,string
D01_v2,campus_seq,0,0.0,string
D01_v2,campus_branch,0,0.0,string
D01_v2,campus_name_std,0,0.0,string
D01_v2,day_evening_raw,0,0.0,string
D01_v2,school_status_raw,0,0.0,string
D01_v2,dept_name_raw,0,0.0,string
D01_v2,dept_norm_strict,0,0.0,string
D01_v2,dept_norm_suffix_reduced,0,0.0,string
D01_v2,dept_token_signature,0,0.0,string
D01_v2,kedi_dept_code,0,0.0,string
D01_v2,school_uid,0,0.0,string
D01_v2,campus_uid,0,0.0,string
D01_v2,dept_uid,0,0.0,string
D01_v2,school_type,0,0.0,string
D01_v2,degree_course,0,0.0,string
D01_v2,major_group_raw,0,0.0,string
D01_v2,major_group_7,0,0.0,string
D01_v2,field_middle_name,0,0.0,string
D01_v2,field_small_name,0,0.0,string
D01_v2,region_sido,0,0.0,string
D01_v2,region_sigungu,0,0.0,string
D01_v2,is_undergraduate_candidate,0,0.0,boolean
D01_v2,is_p4_structure_match_candidate,0,0.0,boolean
D01_v2,admission_capacity_n,0,0.0,Int32
D01_v2,recruitment_n,0,0.0,Int32
D01_v2,applicants_n,0,0.0,Int32
D01_v2,admits_n,0,0.0,Int32
D01_v2,enrolled_students_n,0,0.0,Int32
D01_v2,leave_students_n,0,0.0,Int32
D01_v2,graduates_n,0,0.0,Int32
D01_v2,fulltime_faculty_n,0,0.0,Int32
D01_v2,nonfulltime_faculty_n,0,0.0,Int32
D01_v2,international_students_n,0,0.0,Int32
D01_v2,female_students_n,0,0.0,Int32
D01_v2,masters_students_n,0,0.0,Int32
D01_v2,doctoral_students_n,0,0.0,Int32
D01_v2,log_enrolled_students,0,0.0,Float32
D01_v2,log_graduates,0,0.0,Float32
D01_v2,headcount_grain_uid,0,0.0,string
D01_v2,grain_review_needed,0,0.0,boolean
D01_v2,grain_resolution_method,0,0.0,str
D01_v2,raw_row_lineage,0,0.0,string
