outcome_row_id,major_group_7,major7_mapping_method,major7_mapping_confidence,major7_evidence,major7_candidate_count,major7_review_needed
OC2024_00009,,ambiguous,low,"hits=MED,ART evidence=MED:재활 | ART:스포츠 ambiguous_token=False",2,True
OC2024_00125,,unknown,unknown,"no inherited, dictionary, or keyword evidence",0,True
OC2024_00135,,ambiguous,low,"hits=MED,HUM evidence=MED:재활 | HUM:언어 ambiguous_token=False",2,True
OC2024_00144,,ambiguous,low,"hits=MED,SOC evidence=MED:의료 | SOC:경영 ambiguous_token=False",2,True
OC2024_00153,,ambiguous,low,"hits=MED,SOC evidence=MED:재활 | SOC:상담 ambiguous_token=False",2,True
OC2024_00160,,unknown,unknown,"no inherited, dictionary, or keyword evidence",0,True
OC2024_00163,,ambiguous,low,"hits=ENG,SOC evidence=ENG:항공 | SOC:경영 ambiguous_token=False",2,True
OC2024_00170,,unknown,unknown,"no inherited, dictionary, or keyword evidence",0,True
OC2024_00232,,unknown,unknown,"no inherited, dictionary, or keyword evidence",0,True
OC2024_00236,,ambiguous,low,hits=ART evidence=ART:미술 ambiguous_token=True,1,True
OC2024_00237,,ambiguous,low,hits=ART evidence=ART:스포츠 ambiguous_token=True,1,True
OC2024_00238,,ambiguous,low,hits=ART evidence=ART:디자인 ambiguous_token=True,1,True
OC2024_00250,,ambiguous,low,hits=ENG evidence=ENG:공학 ambiguous_token=True,1,True
OC2024_00252,,ambiguous,low,hits=ENG evidence=ENG:인공지능/공학 ambiguous_token=True,1,True
OC2024_00253,,unknown,unknown,"no inherited, dictionary, or keyword evidence",0,True
OC2024_00258,,ambiguous,low,"hits=ENG,SOC evidence=ENG:데이터 | SOC:경영 ambiguous_token=False",2,True
OC2024_00261,,ambiguous,low,"hits=ENG,SOC evidence=ENG:데이터 | SOC:경영 ambiguous_token=False",2,True
OC2024_00626,,unknown,unknown,"no inherited, dictionary, or keyword evidence",0,True
OC2024_00631,,ambiguous,low,"hits=MED,ART evidence=MED:의료 | ART:뷰티 ambiguous_token=False",2,True
OC2024_00632,,unknown,unknown,"no inherited, dictionary, or keyword evidence",0,True
OC2024_00653,,ambiguous,low,hits=ENG evidence=ENG:it ambiguous_token=True,1,True
OC2024_00671,,ambiguous,low,"hits=MED,ENG evidence=MED:의료 | ENG:공학/it ambiguous_token=False",2,True
OC2024_00672,,ambiguous,low,"hits=MED,ART evidence=MED:의료 | ART:디자인 ambiguous_token=False",2,True
OC2024_00673,,ambiguous,low,"hits=MED,ENG evidence=MED:의료 | ENG:신소재 ambiguous_token=False",2,True
OC2024_00674,,ambiguous,low,"hits=MED,ENG evidence=MED:의료 | ENG:인공지능 ambiguous_token=False",2,True
OC2024_00706,,ambiguous,low,"hits=ENG,SOC evidence=ENG:공학 | SOC:경영 ambiguous_token=False",2,True
OC2024_00708,,ambiguous,low,"hits=ART,SOC evidence=ART:미술/서양화 | SOC:경영 ambiguous_token=False",2,True
OC2024_00717,,ambiguous,low,hits=ENG evidence=ENG:보안 ambiguous_token=True,1,True
OC2024_00718,,ambiguous,low,hits=ENG evidence=ENG:에너지/공학 ambiguous_token=True,1,True
OC2024_00740,,ambiguous,low,"hits=SOC,HUM evidence=SOC:관광 | HUM:문화콘텐츠 ambiguous_token=False",2,True
OC2024_00751,,ambiguous,low,hits=ENG evidence=ENG:iot ambiguous_token=True,1,True
OC2024_00761,,ambiguous,low,"hits=ENG,NAT evidence=ENG:공학 | NAT:동물 ambiguous_token=False",2,True
