major,employment_rate_pct_2007,employment_rate_pct_2019,employment_rate_pct_delta,unemployment_rate_labor_force_pct_2007,unemployment_rate_labor_force_pct_2019,unemployment_rate_labor_force_pct_delta,inactive_rate_pct_2007,inactive_rate_pct_2019,inactive_rate_pct_delta,economic_activity_rate_pct_2007,economic_activity_rate_pct_2019,economic_activity_rate_pct_delta,monthly_income_10k_krw_2007,monthly_income_10k_krw_2019,monthly_income_10k_krw_delta,weekly_hours_2007,weekly_hours_2019,weekly_hours_delta,firm_300plus_share_pct_2007,firm_300plus_share_pct_2019,firm_300plus_share_pct_delta,firm_1000plus_share_pct_2007,firm_1000plus_share_pct_2019,firm_1000plus_share_pct_delta,regular_employee_share_pct_2007,regular_employee_share_pct_2019,regular_employee_share_pct_delta,temporary_daily_share_pct_2007,temporary_daily_share_pct_2019,temporary_daily_share_pct_delta,private_company_share_pct_2007,private_company_share_pct_2019,private_company_share_pct_delta,public_education_research_share_pct_2007,public_education_research_share_pct_2019,public_education_research_share_pct_delta,manufacturing_share_pct_2007,manufacturing_share_pct_2019,manufacturing_share_pct_delta,professional_science_tech_share_pct_2007,professional_science_tech_share_pct_2019,professional_science_tech_share_pct_delta,education_service_share_pct_2007,education_service_share_pct_2019,education_service_share_pct_delta,health_welfare_share_pct_2007,health_welfare_share_pct_2019,health_welfare_share_pct_delta,information_communication_share_pct_2007,information_communication_share_pct_2019,information_communication_share_pct_delta,research_engineering_job_share_pct_2007,research_engineering_job_share_pct_2019,research_engineering_job_share_pct_delta,business_finance_job_share_pct_2007,business_finance_job_share_pct_2019,business_finance_job_share_pct_delta,health_medical_job_share_pct_2007,health_medical_job_share_pct_2019,health_medical_job_share_pct_delta,education_law_social_public_job_share_pct_2007,education_law_social_public_job_share_pct_2019,education_law_social_public_job_share_pct_delta,arts_design_sports_job_share_pct_2007,arts_design_sports_job_share_pct_2019,arts_design_sports_job_share_pct_delta
인문,74.68582050349536,58.33234884105569,-16.353471662439674,8.163772328637798,17.403813984610235,9.240041655972437,18.672970461065987,29.371736408099615,10.698765947033628,81.32500909201116,70.6235380289677,-10.701471063043456,180.9,269.8,88.9,43.4,39.9,-3.5,21.1,23.7,2.599999999999998,9.6,12.5,2.9000000000000004,76.1,71.6,-4.5,19.4,24.7,5.300000000000001,64.6,61.0,-3.5999999999999943,17.0,25.900000000000002,8.900000000000002,11.7,8.4,-3.299999999999999,6.0,6.2,0.20000000000000018,22.8,15.2,-7.600000000000001,4.8,3.9,-0.8999999999999999,8.3,9.5,1.1999999999999993,,4.1,,,51.7,,,0.5,,,12.4,,,6.8,
사회,78.59012323522374,64.9811190403291,-13.609004194894638,8.247485682357873,16.288077996682716,8.040592314324844,14.344789423307011,22.374526013330506,8.029736590023495,85.65446279014118,77.6246889155813,-8.02977387455988,205.8,234.6,28.799999999999983,46.6,41.9,-4.700000000000003,19.8,22.700000000000003,2.900000000000002,9.7,12.8,3.1000000000000014,81.9,78.5,-3.4000000000000057,12.5,17.8,5.300000000000001,67.3,61.0,-6.299999999999997,16.9,24.1,7.200000000000003,13.7,10.4,-3.299999999999999,6.7,8.5,1.7999999999999998,9.5,7.1,-2.4000000000000004,12.3,12.1,-0.20000000000000107,5.8,5.2,-0.5999999999999996,,3.4,,,55.1,,,1.7,,,15.4,,,2.7,
교육,76.22319956019791,64.21914525362801,-12.004054306569898,5.712342740564434,9.43484791588434,3.722505175319906,19.15582432349887,29.08733857009719,9.931514246598322,80.8411214953271,70.9093329782985,-9.931788517028608,173.7,221.8,48.10000000000002,44.3,39.6,-4.699999999999996,5.1,4.7,-0.39999999999999947,3.1,2.1,-1.0,79.3,80.8,1.5,14.799999999999999,17.5,2.700000000000001,38.9,24.3,-14.599999999999998,50.1,68.8,18.699999999999996,1.8,1.4,-0.40000000000000013,0.6,0.9,0.30000000000000004,61.5,60.4,-1.1000000000000014,22.2,22.0,-0.1999999999999993,1.6,1.8,0.19999999999999996,,0.5,,,10.7,,,1.3,,,79.4,,,2.4,
공학,80.08258497170844,67.67807978562617,-12.404505186082275,7.650997099996419,14.372835805467982,6.721838705471563,13.281122658863525,20.961087555043587,7.679964896180062,86.71732499204421,79.03809547151623,-7.679229520527983,214.4,260.6,46.20000000000002,49.1,43.7,-5.399999999999999,25.8,30.0,4.199999999999999,15.2,18.6,3.400000000000002,88.9,84.8,-4.1000000000000085,7.9,12.899999999999999,4.999999999999998,80.7,74.0,-6.700000000000003,11.0,20.400000000000002,9.400000000000002,31.1,29.7,-1.4000000000000021,12.2,14.1,1.9000000000000004,4.7,6.5,1.7999999999999998,1.2,0.8,-0.3999999999999999,12.8,13.9,1.0999999999999996,,49.3,,,18.0,,,1.1,,,4.5,,,1.6,
자연,70.27997969463861,61.9242436337511,-8.355736060887516,9.70978503524218,15.41313414933348,5.703349114091299,22.160178062399936,26.79212900135707,4.631950938957132,77.83786949900426,73.20787099864293,-4.629998500361324,190.1,225.2,35.099999999999994,46.5,42.5,-4.0,18.5,19.9,1.3999999999999986,8.5,10.5,2.0,79.1,73.8,-5.299999999999997,15.4,21.7,6.299999999999999,71.0,63.1,-7.899999999999999,17.3,26.9,9.599999999999998,19.5,19.7,0.1999999999999993,8.8,12.5,3.6999999999999993,17.4,14.4,-2.9999999999999982,4.4,3.0,-1.4000000000000004,3.7,3.4,-0.30000000000000027,,29.6,,,26.2,,,5.9,,,6.2,,,2.1,
의약,89.05696375034069,81.17321083524736,-7.883752915093325,1.7588695129284424,6.3295399566671575,4.570670443738715,9.345870809484873,13.339895730795872,3.9940249213109986,90.65140365222132,86.65828138102009,-3.99312227120123,210.1,271.8,61.70000000000002,50.4,44.8,-5.600000000000001,39.2,37.2,-2.0,21.5,22.1,0.6000000000000014,88.7,89.7,1.0,9.4,9.5,0.09999999999999964,54.7,50.9,-3.8000000000000043,15.5,16.8,1.3000000000000007,6.4,3.7,-2.7,1.2,1.6,0.40000000000000013,2.0,2.3,0.2999999999999998,78.9,80.2,1.2999999999999972,0.5,0.5,0.0,,3.9,,,4.9,,,84.2,,,1.4,,,0.7,
예체능,78.05813178153603,65.74629985784765,-12.311831923688388,9.528576948747673,14.098109909319348,4.569532960571674,13.71916105958659,23.461827912032778,9.742666852446188,86.27932351336607,76.53649970733339,-9.742823806032675,158.6,192.7,34.099999999999994,44.4,37.6,-6.799999999999997,10.0,9.4,-0.5999999999999996,4.4,4.2,-0.20000000000000018,68.5,63.1,-5.399999999999999,19.7,28.1,8.400000000000002,76.9,76.2,-0.7000000000000028,12.1,12.6,0.5,13.2,9.8,-3.3999999999999986,8.9,8.5,-0.40000000000000036,21.7,16.1,-5.599999999999998,3.7,3.1,-0.6000000000000001,8.1,11.4,3.3000000000000007,,3.0,,,20.5,,,1.9,,,9.6,,,36.2,
