topic_id,topic_name,topic_group,dataset,years,year_min,year_max,rows,null_values,dimension_values
GOMS_001,성별 경제활동 상태,경제활동 상태,distribution,13,2007,2019,312,0,3
GOMS_002,학교유형별 경제활동 상태,경제활동 상태,distribution,13,2007,2019,416,0,4
GOMS_003,전공계열별 경제활동 상태,경제활동 상태,distribution,13,2007,2019,832,0,8
GOMS_004,취업자의 성별 산업 분포,현재 일자리,distribution,13,2007,2019,1716,0,22
GOMS_005,취업자의 학교유형별 산업 분포,현재 일자리,distribution,13,2007,2019,2288,0,22
GOMS_006,취업자의 전공별 산업 분포,현재 일자리,distribution,13,2007,2019,4576,0,22
GOMS_007,취업자의 성별 직업 분포(~2016),현재 일자리,distribution,10,2007,2016,1500,0,25
GOMS_008,취업자의 성별 직업 분포(2017~),현재 일자리,distribution,3,2017,2019,198,0,11
GOMS_009,취업자의 학교유형별 직업 분포(~2016),현재 일자리,distribution,10,2007,2016,2000,0,25
GOMS_010,취업자의 학교유형별 직업 분포(2017~),현재 일자리,distribution,3,2017,2019,264,0,11
GOMS_011,취업자의 전공별 직업 분포(~2016),현재 일자리,distribution,10,2007,2016,4000,0,25
GOMS_012,취업자의 전공별 직업 분포(2017~),현재 일자리,distribution,3,2017,2019,528,0,11
GOMS_013,취업자의 성별 사업체 규모,현재 일자리,distribution,13,2007,2019,780,0,10
GOMS_014,취업자의 학교유형별 사업체 규모,현재 일자리,distribution,13,2007,2019,1040,0,10
GOMS_015,취업자의 전공별 사업체 규모,현재 일자리,distribution,13,2007,2019,2080,0,10
GOMS_016,취업자의 성별 사업체 유형,현재 일자리,distribution,13,2007,2019,780,0,10
GOMS_017,취업자의 학교유형별 사업체 유형,현재 일자리,distribution,13,2007,2019,1040,0,10
GOMS_018,취업자의 전공별 사업체 유형,현재 일자리,distribution,13,2007,2019,2080,0,10
GOMS_019,취업자의 성별 종사상 지위,현재 일자리,distribution,13,2007,2019,546,0,7
GOMS_020,취업자의 학교유형별 종사상 지위,현재 일자리,distribution,13,2007,2019,728,0,7
GOMS_021,취업자의 전공별 종사상 지위,현재 일자리,distribution,13,2007,2019,1456,0,7
GOMS_022,성별 월평균 근로소득,근로소득,continuous,13,2007,2019,39,0,3
GOMS_023,학교유형별 월평균 근로소득,근로소득,continuous,13,2007,2019,52,0,4
GOMS_024,전공계열별 월평균 근로소득,근로소득,continuous,13,2007,2019,104,0,8
GOMS_025,산업별 월평균 근로소득,근로소득,continuous,13,2007,2019,286,0,22
GOMS_026,직업별 월평균 근로소득(~2016),근로소득,continuous,10,2007,2016,250,0,25
GOMS_027,직업별 월평균 근로소득(2017~),근로소득,continuous,3,2017,2019,33,0,11
GOMS_028,사업체 규모별 월평균 근로소득,근로소득,continuous,13,2007,2019,130,0,10
GOMS_029,사업체 유형별 월평균 근로소득,근로소득,continuous,13,2007,2019,130,0,10
GOMS_030,종사상지위별 월평균 근로소득,근로소득,continuous,13,2007,2019,91,0,7
GOMS_031,성별 주당 평균 근로시간,근로시간,continuous,13,2007,2019,39,0,3
GOMS_032,학교유형별 주당 평균 근로시간,근로시간,continuous,13,2007,2019,52,0,4
GOMS_033,전공계열별 주당 평균 근로시간,근로시간,continuous,13,2007,2019,104,0,8
GOMS_034,산업별 주당 평균 근로시간,근로시간,continuous,13,2007,2019,286,0,22
GOMS_035,직업별 주당 평균 근로시간(~2016),근로시간,continuous,10,2007,2016,250,0,25
GOMS_036,직업별 주당 평균 근로시간(2017~),근로시간,continuous,3,2017,2019,33,0,11
GOMS_037,사업체 규모별 주당 평균 근로시간,근로시간,continuous,13,2007,2019,130,0,10
GOMS_038,사업체 유형별 주당 평균 근로시간,근로시간,continuous,13,2007,2019,130,0,10
GOMS_039,종사상지위별 주당 평균 근로시간,근로시간,continuous,13,2007,2019,91,0,7
