year,major,topic_id,topic_name,rank,category,share_pct
2019,공학,GOMS_012,취업자의 전공별 직업 분포(2017~),1.0,연구직 및 공학 기술직,49.3
2019,공학,GOMS_012,취업자의 전공별 직업 분포(2017~),2.0,경영·사무·금융·보험직,18.0
2019,공학,GOMS_012,취업자의 전공별 직업 분포(2017~),3.0,설치·정비·생산직,15.3
2019,교육,GOMS_012,취업자의 전공별 직업 분포(2017~),1.0,교육·법률·사회복지·경찰·소방직 및 군인,79.4
2019,교육,GOMS_012,취업자의 전공별 직업 분포(2017~),2.0,경영·사무·금융·보험직,10.7
2019,교육,GOMS_012,취업자의 전공별 직업 분포(2017~),3.0,영업·판매·운전·운송직,2.7
2019,사회,GOMS_012,취업자의 전공별 직업 분포(2017~),1.0,경영·사무·금융·보험직,55.1
2019,사회,GOMS_012,취업자의 전공별 직업 분포(2017~),2.0,교육·법률·사회복지·경찰·소방직 및 군인,15.4
2019,사회,GOMS_012,취업자의 전공별 직업 분포(2017~),3.0,영업·판매·운전·운송직,9.6
2019,예체능,GOMS_012,취업자의 전공별 직업 분포(2017~),1.0,예술·디자인·방송·스포츠직,36.2
2019,예체능,GOMS_012,취업자의 전공별 직업 분포(2017~),2.0,경영·사무·금융·보험직,20.5
2019,예체능,GOMS_012,취업자의 전공별 직업 분포(2017~),3.0,미용·여행·숙박·음식·경비·청소직,14.9
2019,의약,GOMS_012,취업자의 전공별 직업 분포(2017~),1.0,보건·의료직,84.2
2019,의약,GOMS_012,취업자의 전공별 직업 분포(2017~),2.0,경영·사무·금융·보험직,4.9
2019,의약,GOMS_012,취업자의 전공별 직업 분포(2017~),3.0,연구직 및 공학 기술직,3.9
2019,인문,GOMS_012,취업자의 전공별 직업 분포(2017~),1.0,경영·사무·금융·보험직,51.7
2019,인문,GOMS_012,취업자의 전공별 직업 분포(2017~),2.0,교육·법률·사회복지·경찰·소방직 및 군인,12.4
2019,인문,GOMS_012,취업자의 전공별 직업 분포(2017~),3.0,영업·판매·운전·운송직,12.2
2019,자연,GOMS_012,취업자의 전공별 직업 분포(2017~),1.0,연구직 및 공학 기술직,29.6
2019,자연,GOMS_012,취업자의 전공별 직업 분포(2017~),2.0,경영·사무·금융·보험직,26.2
2019,자연,GOMS_012,취업자의 전공별 직업 분포(2017~),3.0,미용·여행·숙박·음식·경비·청소직,14.4
